AbilityID,DisplayName,Description,UICategory,UseQuickslotItem,Icon,UISpellForManaCheck,StatusEffectIcon,Sound,TelegraphStatusEffect,TelegraphCountOffset,OnEquipStatusEffect,EquipWhenUnsheathed,WeaponTag,RequiredAbilityId,RequiredEquippedAbilityId,TreeId,TreeRowPosition,TreeColumnPosition,IsActiveAbility,IsGlobalAbility,IsStackableAbility,IsStackableMax,IsStackableDiminishingModifier,IsNonCombatAbility,ScalingStrength,ScalingDexterity,ScalingIntelligence,ScalingSpirit,ScalingConstitution,UnlockDefault,CanBeUnapplied,Tags,OnEventPassiveConditionsPass,OnKill,OnExecuted,OnHit,OnBlockedHit,OnHitBehind,OnCrit,OnCritTaken,OnHeadShot,OnLegShot,OnHitTaken,OnBlockedHitTaken,OnBlockBreak,OnTargetBlockBreak,OnDeath,OnDeathsDoor,OnHasDied,OnAttachedSpellTargetDied,OnHealed,LimitOnHealedToFirstCast,OnSelfDamage,OnTargetSet,OnProjPassedThrough,OnContributedKill,OnHealthChanged,OnUsedConsumable,OnGatheringComplete,OnHitTakenWhileInvulnerable,OnWeaponSwap,OnFatalDamageTaken,OnStatusEffectApplied,OnStatusEffectRemoved,OnInActionLongEnough,OnTargetStatusEffectRemoved,OnEventConditionalActivationChance,OnDismount,OnManaChanged,OnAfflictionsUpdated,GatheringTradeskill,EquipLoadCategory,RequiredEquipment,ExcludeFromGameModes,RequireReaction,NumSuccessfulHits,NumConsecutiveHits,MaxConsecutiveHits,ResetConsecutiveOnSuccess,IgnoreResetConsecutiveOnDeath,DisableConsecutivePotency,TrackHitCount,MaxTrackedHitCounts,NumberOfTrackedHits,NumberOfHitsComparisonType,ResetTrackedOnSuccess,AbilityIdToCheckForTrackedHits,DamageIsRanged,DamageIsMelee,AllowSelfDamageForHitEvents,ForceShowNameTag,HasGritActive,TargetHasGritActive,DamageTableRow,RemoteDamageTableRow,RangedAttackName,AttackType,IgnoreDisabledAttackTypes,DamageTypes,DamageCategory,IsInCombatState,IsNotInCombatState,CheckOwnedStatusEffects,StatusEffect,StatusEffectStackSize,StatusEffectComparison,StatusEffectCategories,DontHaveStatusEffect,StatusEffectBeingApplied,StatusEffectBeingRemoved,StatusEffectCategoryBeingRemoved,CheckStatusEffectsOnTargetOwned,TargetStatusEffect,TargetStatusEffectCategory,TargetStatusEffectStackSize,TargetStatusEffectComparison,TargetStatusEffectPotency,TargetStatusEffectPotencyComparison,TargetCollisionFilters,MyMarker,MySequenceMarker,TargetMarker,TargetSequenceMarker,MyHealthPercent,MyComparisonType,MyStaminaPercent,MyStaminaComparisonType,MyManaPercent,MyManaComparisonType,MyAfflictionType,MyAfflictionPercent,MyAfflictionComparisonType,TargetHealthPercent,TargetComparisonType,DistFromDefender,DistComparisonType,MaxNumAroundMe,NumAroundMe,NumAroundComparisonType,AbilityOnCooldownOptions,AbilitiesOnCooldown,AbilityCooldownComparisonType,AttachedTargetSpellIds,AbilityList,AbilityTrigger,IsConsumableIds,IsNotConsumableIds,InAction,InActionTime,AfterAction,InSequence,InSequenceTime,AfterSequence,LoadedAmmoCount,LoadedAmmoCountComparisonType,AttackerVitalsCategory,TargetVitalsCategory,SlayerScriptCondition,PostHitSlayerScriptCondition,DismountReasons,AbilityTableTagsToTriggerOn,DamageTableTagsToTriggerOn,BaseDamage,SetHealthOnFatalDamageTaken,BaseDamageReduction,CritDamageReduction,BlockDamage,BlockDamageReduction,CritDamage,CritChance,HeadshotDamage,HitFromBehindDamage,StaggerDamage,StaggerDamageReduction,HitRateDmg,HitRateDmgReduction,HealthDamageMitigation,HealthDamageMitigation_Endvalue,ThreatDamage,ArmorPenetration,CritArmorPenetration,HeadshotArmorPenetration,HitFromBehindArmorPenetration,PhysicalArmor,PhysicalArmorMaxHealthMod,ElementalArmor,LinearlyScaleToDistance,RefundAmmoPercentChance,RefundConsumablePercentChance,GiveAzothPercentChance,Azoth,Knockback,KnockbackReduction,WeaponAccuracy,Health,HealthPenaltyPerStackRemoved,DmgPctToHealth,HealScalingValueMultiplier,ConsumableHealMod,MaxHealth,Mana,ManaRate,MaxMana,ManaCostList,ManaCostMult,Stamina,DamageTableRowOverride,StatusEffectDamageTableIdForRowOverride,StatusEffectDamageTableRowOverride,ForceStatusEffectDamageTableRow,RangedAttackNameOverride,DamageTableStatusEffectOverride,PowerLevelOverride,EnableCrit,EnableTaunt,CanBlockRangedOverride,PerStatusEffectOnSelf,PerStatusEffectOnSelfMax,PerStatusEffectStackOnSelf,PerStatusEffectStackOnSelfMax,PerStatusEffectOnTarget,PerStatusEffectOnTargetMax,DisableApplyPerStatusEffectStack,DisableScalePerTargetSEStack,ForceTakeStaminaDamage,StaminaCostList,StaminaCostFlatMod,CastSpell,DisableCastSpellDurability,SelfApplyStatusEffect,OtherApplyStatusEffect,SelfApplyStatusEffectDurations,OtherApplyStatusEffectDurations,DoNotUnequipSelfAppliedSE,UseMinAttackInfoForSelfAppliedSE,ModifySelfApplyStatusEffectDuration,UseDefenderWeaponOnApplyOtherSE,NumStatusEffectsToTransfer,StatusEffectCategoryToTransfer,SetPotencyAsCount,MultiplyRemovedByPotency,OnlyChangeOwnedStatusEffects,NumStatusEffectsToRemove,NumTargetStatusEffectsToRemove,NumStatusEffectStacksToRemove,RemoveStatusEffects,StatusEffectsList,StatusEffectCategoriesList,RemoveTargetStatusEffectsList,RemoveTargetStatusEffectCats,ConsumeTargetStatusEffectMult,RemoveTargetStatusEffectsNumStacks,StatusEffectDurationReduction,StatusEffectDurationCats,StatusEffectDurationMod,StatusEffectDurationMult,TargetStatusEffectDurationList,TargetStatusEffectDurationCats,TargetStatusEffectDurationMod,TargetStatusEffectDurationMult,TargetStatusEffectPotencyList,TargetStatusEffectPotencyCats,TargetStatusEffectPotencyMod,TargetStatusEffectPotencyMult,ActivationCooldown,Duration,CooldownId,CDRImmediatelyOptions,ResetCooldownTimers,CooldownTimer,NumFreeCooldownsPerUse,TargetCooldownsExtensionModifier,TargetCooldownsExtensionMultiplier,ConsumableCooldownForReset,ResetConsumableCooldowns,MaxHitCountMultiplier,SetMannequinTag,SetMannequinTagStatus,RepairDustYieldMod,ToolDurabilityLossMod,FastTravelInnCooldownMod,FastTravelAzothCostMod,EnableHoldConditionIfTrackedSpellExistsOfType,HoldConditionButtonIcon,SupportsSmartcast,AdjustPointsAccumulatorSelf
IceMagic_Spikes,@IceSpikes,@IceSpikes_description,Attack,,lyshineui/images/icons/abilities/iceMagic_Ability1.png,IceMagic_Spell_Spikes_UI,,Play_UI_WeaponSkills_IceGauntlett_Ability_01,,,,,Ice,,,0,1,2,true,false,,,,,,,,,,,,,false,false,false,false,false,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IceMagic_Spikes,,,,,,,,,,,,,,,,,,,
SpikesRefreshingSpikes,@RefreshingSpikes,@RefreshingSpikes_description,Passive,,lyshineui/images/icons/abilities/iceMagic_Ability1_Mod1.png,,,,,,,,Ice,IceMagic_Spikes,,0,2,2,false,false,,,,,,,,,,,,,false,false,false,true,false,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,0,0,,,,false,0,,,,,,,,,,,,IceMagic_Spikes_End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IceMagic_Spikes,AbilitySpecific,,-0.1,,,,,,,,,,,,,,,,
SpikesEmpoweredSpikes,@EmpoweredSpikes,@EmpoweredSpikes_description,Passive,,lyshineui/images/icons/abilities/iceMagic_Ability1_Mod2.png,,,,,,,,Ice,IceMagic_Spikes,,0,3,2,false,false,,,,,,,,,,,,,false,false,false,true,false,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,false,0,,,,,,,,,,,,IceMagic_Spikes_End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,LessThan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpikesDeadlyPath,@DeadlyPath,@DeadlyPath_description,Passive,,lyshineui/images/icons/abilities/iceMagic_Ability1_Mod3.png,,,,,,,,Ice,IceMagic_Spikes,,0,4,2,false,false,,,,,,,,,,,,,false,false,false,true,false,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,false,0,,,,,,,,,,,IceMagic_Spikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IceMagic_Spikes_Upgrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpikesSpikyReach,@SpikyReach,@SpikyReach_description,Passive,,lyshineui/images/icons/abilities/iceMagic_Ability1_Mod4.png,,,,,,,,Ice,IceMagic_Spikes,,0,4,1,false,false,,,,,,,,,,,,,false,false,false,false,false,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IceMagic_IceStorm,@IceStorm,@IceStorm_description,Defense,,lyshineui/images/icons/abilities/iceMagic_Ability2.png,IceMagic_Spell_IceStorm,,Play_UI_WeaponSkills_IceGauntlett_Ability_02,,,,,Ice,,,0,0,4,true,false,,,,,,,,,,,,,false,false,false,false,false,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IceMagic_IceStorm,,,,,,,,,,,,,,,,,,true,
IceStormWeakeningGust,@WeakeningGust,@WeakeningGust_description,Passive,,lyshineui/images/icons/abilities/iceMagic_Ability2_Mod1.png,,,,,,,,Ice,IceMagic_IceStorm,,0,1,4,false,false,,,,,,,,,,,,,false,false,false,true,false,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,false,0,,,,,,,,,,,IceMagic_IceStorm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,LessThan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IceStormStormSummoner,@StormSummoner,@StormSummoner_description,Passive,,lyshineui/images/icons/abilities/iceMagic_Ability2_Mod2.png,,,,,,,,Ice,IceMagic_IceStorm,,0,2,4,false,false,,,,,,,,,,,,,false,false,false,false,false,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IceStormPunishingStorm,@PunishingStorm,@PunishingStorm_description,Passive,,lyshineui/images/icons/abilities/iceMagic_Ability2_Mod3.png,,,,,,,,Ice,IceMagic_IceStorm,,0,3,4,false,true,,,,,,,,,,,,,false,false,false,false,false,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,false,0,,,,,,,,,,,IceMagic_IceStorm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,GreaterThanOrEqual,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IceMagic_WindChill,@WindChill,@WindChill_description,Attack,,lyshineui/images/icons/abilities/iceMagic_Ability3.png,IceMagic_Spell_WindChill_UI,,Play_UI_WeaponSkills_IceGauntlett_Ability_03,,,,,Ice,,,0,2,0,true,false,,,,,,,,,,,,,false,false,false,true,false,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,false,0,,,,,,,,,,,"IceMagic_WindChill,IceMagic_WindChill_End,IceMagic_WindChill_Shatter,IceMagic_WindChill_SW,IceMagic_WindChill_Shatter_SW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hostile,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
