AbilityID,DisplayName,Description,UICategory,UseQuickslotItem,Icon,UISpellForManaCheck,StatusEffectIcon,Sound,TelegraphStatusEffect,TelegraphCountOffset,OnEquipStatusEffect,EquipWhenUnsheathed,WeaponTag,RequiredAbilityId,RequiredEquippedAbilityId,TreeId,TreeRowPosition,TreeColumnPosition,IsActiveAbility,IsGlobalAbility,IsStackableAbility,IsStackableMax,IsStackableDiminishingModifier,IsNonCombatAbility,ScalingStrength,ScalingDexterity,ScalingIntelligence,ScalingSpirit,ScalingConstitution,UnlockDefault,CanBeUnapplied,Tags,OnEventPassiveConditionsPass,OnKill,OnExecuted,OnHit,OnBlockedHit,OnHitBehind,OnCrit,OnCritTaken,OnHeadShot,OnLegShot,OnHitTaken,OnBlockedHitTaken,OnBlockBreak,OnTargetBlockBreak,OnDeath,OnDeathsDoor,OnHasDied,OnAttachedSpellTargetDied,OnHealed,LimitOnHealedToFirstCast,OnSelfDamage,OnTargetSet,OnProjPassedThrough,OnContributedKill,OnHealthChanged,OnUsedConsumable,OnGatheringComplete,OnHitTakenWhileInvulnerable,OnWeaponSwap,OnFatalDamageTaken,OnStatusEffectApplied,OnStatusEffectRemoved,OnInActionLongEnough,OnTargetStatusEffectRemoved,OnEventConditionalActivationChance,OnDismount,OnManaChanged,OnAfflictionsUpdated,GatheringTradeskill,EquipLoadCategory,RequiredEquipment,ExcludeFromGameModes,RequireReaction,NumSuccessfulHits,NumConsecutiveHits,MaxConsecutiveHits,ResetConsecutiveOnSuccess,IgnoreResetConsecutiveOnDeath,DisableConsecutivePotency,TrackHitCount,MaxTrackedHitCounts,NumberOfTrackedHits,NumberOfHitsComparisonType,ResetTrackedOnSuccess,AbilityIdToCheckForTrackedHits,DamageIsRanged,DamageIsMelee,AllowSelfDamageForHitEvents,ForceShowNameTag,HasGritActive,TargetHasGritActive,DamageTableRow,RemoteDamageTableRow,RangedAttackName,AttackType,IgnoreDisabledAttackTypes,DamageTypes,DamageCategory,IsInCombatState,IsNotInCombatState,CheckOwnedStatusEffects,StatusEffect,StatusEffectStackSize,StatusEffectComparison,StatusEffectCategories,DontHaveStatusEffect,StatusEffectBeingApplied,StatusEffectBeingRemoved,StatusEffectCategoryBeingRemoved,CheckStatusEffectsOnTargetOwned,TargetStatusEffect,TargetStatusEffectCategory,TargetStatusEffectStackSize,TargetStatusEffectComparison,TargetStatusEffectPotency,TargetStatusEffectPotencyComparison,TargetCollisionFilters,MyMarker,MySequenceMarker,TargetMarker,TargetSequenceMarker,MyHealthPercent,MyComparisonType,MyStaminaPercent,MyStaminaComparisonType,MyManaPercent,MyManaComparisonType,MyAfflictionType,MyAfflictionPercent,MyAfflictionComparisonType,TargetHealthPercent,TargetComparisonType,DistFromDefender,DistComparisonType,MaxNumAroundMe,NumAroundMe,NumAroundComparisonType,AbilityOnCooldownOptions,AbilitiesOnCooldown,AbilityCooldownComparisonType,AttachedTargetSpellIds,AbilityList,AbilityTrigger,IsConsumableIds,IsNotConsumableIds,InAction,InActionTime,AfterAction,InSequence,InSequenceTime,AfterSequence,LoadedAmmoCount,LoadedAmmoCountComparisonType,AttackerVitalsCategory,TargetVitalsCategory,SlayerScriptCondition,PostHitSlayerScriptCondition,DismountReasons,AbilityTableTagsToTriggerOn,DamageTableTagsToTriggerOn,BaseDamage,SetHealthOnFatalDamageTaken,BaseDamageReduction,CritDamageReduction,BlockDamage,BlockDamageReduction,CritDamage,CritChance,HeadshotDamage,HitFromBehindDamage,StaggerDamage,StaggerDamageReduction,HitRateDmg,HitRateDmgReduction,HealthDamageMitigation,HealthDamageMitigation_Endvalue,ThreatDamage,ArmorPenetration,CritArmorPenetration,HeadshotArmorPenetration,HitFromBehindArmorPenetration,PhysicalArmor,PhysicalArmorMaxHealthMod,ElementalArmor,LinearlyScaleToDistance,RefundAmmoPercentChance,RefundConsumablePercentChance,GiveAzothPercentChance,Azoth,Knockback,KnockbackReduction,WeaponAccuracy,Health,HealthPenaltyPerStackRemoved,DmgPctToHealth,HealScalingValueMultiplier,ConsumableHealMod,MaxHealth,Mana,ManaRate,MaxMana,ManaCostList,ManaCostMult,Stamina,DamageTableRowOverride,StatusEffectDamageTableIdForRowOverride,StatusEffectDamageTableRowOverride,ForceStatusEffectDamageTableRow,RangedAttackNameOverride,DamageTableStatusEffectOverride,PowerLevelOverride,EnableCrit,EnableTaunt,CanBlockRangedOverride,PerStatusEffectOnSelf,PerStatusEffectOnSelfMax,PerStatusEffectStackOnSelf,PerStatusEffectStackOnSelfMax,PerStatusEffectOnTarget,PerStatusEffectOnTargetMax,DisableApplyPerStatusEffectStack,DisableScalePerTargetSEStack,ForceTakeStaminaDamage,StaminaCostList,StaminaCostFlatMod,CastSpell,DisableCastSpellDurability,SelfApplyStatusEffect,OtherApplyStatusEffect,SelfApplyStatusEffectDurations,OtherApplyStatusEffectDurations,DoNotUnequipSelfAppliedSE,UseMinAttackInfoForSelfAppliedSE,ModifySelfApplyStatusEffectDuration,UseDefenderWeaponOnApplyOtherSE,NumStatusEffectsToTransfer,StatusEffectCategoryToTransfer,SetPotencyAsCount,MultiplyRemovedByPotency,OnlyChangeOwnedStatusEffects,NumStatusEffectsToRemove,NumTargetStatusEffectsToRemove,NumStatusEffectStacksToRemove,RemoveStatusEffects,StatusEffectsList,StatusEffectCategoriesList,RemoveTargetStatusEffectsList,RemoveTargetStatusEffectCats,ConsumeTargetStatusEffectMult,RemoveTargetStatusEffectsNumStacks,StatusEffectDurationReduction,StatusEffectDurationCats,StatusEffectDurationMod,StatusEffectDurationMult,TargetStatusEffectDurationList,TargetStatusEffectDurationCats,TargetStatusEffectDurationMod,TargetStatusEffectDurationMult,TargetStatusEffectPotencyList,TargetStatusEffectPotencyCats,TargetStatusEffectPotencyMod,TargetStatusEffectPotencyMult,ActivationCooldown,Duration,CooldownId,CDRImmediatelyOptions,ResetCooldownTimers,CooldownTimer,NumFreeCooldownsPerUse,TargetCooldownsExtensionModifier,TargetCooldownsExtensionMultiplier,ConsumableCooldownForReset,ResetConsumableCooldowns,MaxHitCountMultiplier,SetMannequinTag,SetMannequinTagStatus,RepairDustYieldMod,ToolDurabilityLossMod,FastTravelInnCooldownMod,FastTravelAzothCostMod,EnableHoldConditionIfTrackedSpellExistsOfType,HoldConditionButtonIcon,SupportsSmartcast,AdjustPointsAccumulatorSelf
Ability_Warhammer_ArmorBreaker,@ArmorBreaker,@ArmorBreaker_description,Attack,,lyshineui/images/icons/abilities/warhammer_Ability01.png,,,Play_UI_WeaponSkills_Warhammer_Ability_1,,,,,Warhammer,,,0,2,4,true,false,,,,,,,,,,,,,false,false,false,false,false,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_ArmorBreaker,0.1,,Ability_WarHammer_BlockBreaker,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_ArmorBreaker,,,,,,,,,,,,,,,,,,,
Upgrade_WarHammer_ArmBreak_Grit,@ArmorBreaker_Mod1,@ArmorBreaker_Mod1_description,Passive,,lyshineui/images/icons/abilities/warhammer_Ability01_Mod01.png,,,,,,,,Warhammer,Ability_Warhammer_ArmorBreaker,,0,3,4,false,false,,,,,,,,,,,,,false,false,false,false,false,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_ArmorBreaker,0.1,,Ability_WarHammer_BlockBreaker,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_ArmorBreaker,,,,,,,,,,,,,,,,,,,
Upgrade_WarHammer_ArmBreak_Rend,@ArmorBreaker_Mod2,@ArmorBreaker_Mod2_description,Passive,,lyshineui/images/icons/abilities/warhammer_Ability01_Mod02.png,,,,,,,,Warhammer,Upgrade_WarHammer_ArmBreak_Grit,,0,4,4,false,false,,,,,,,,,,,,,false,false,false,true,false,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IgnoreDebuffs,,NotEqual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_ArmorBreaker,0.1,,Ability_WarHammer_BlockBreaker,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WarHammer_ArmorBreaker_Rend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_ArmorBreaker,,,,,,,,,,,,,,,,,,,
Upgrade_WarHammer_ArmBreak_DmgFullHealth,@ArmorBreaker_Mod3,@ArmorBreaker_Mod3_description,Passive,,lyshineui/images/icons/abilities/warhammer_Ability01_Mod03.png,,,,,,,,Warhammer,Upgrade_WarHammer_ArmBreak_Rend,,0,4,3,false,false,,,,,,,,,,,,,false,false,false,true,false,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,GreaterThan,,,,,,,,,,,,,,Ability_WarHammer_ArmorBreaker,0.1,,Ability_WarHammer_BlockBreaker,0.1,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_ArmorBreaker,,,,,,,,,,,,,,,,,,,
Ability_WarHammer_MightyGavel,@MightyGavel,@MightyGavel_description,Attack,,lyshineui/images/icons/abilities/warhammer_Ability02.png,,,Play_UI_WeaponSkills_Warhammer_Ability_2,,,,,Warhammer,,,0,1,2,true,false,,,,,,,,,,,,,false,false,false,false,false,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_MightyGavel,0.1,,Ability_WarHammer_MightyGavel,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_MightyGavel,,,,,,,,,,,,,,,,,,,
Upgrade_WarHammer_Gavel_DmgUnder30pctHP,@MightyGavel_Mod1,@MightyGavel_Mod1_description,Passive,,lyshineui/images/icons/abilities/warhammer_Ability02_Mod01.png,,,,,,,,Warhammer,Ability_WarHammer_MightyGavel,,0,2,2,false,false,,,,,,,,,,,,,false,false,false,true,false,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,LessThan,,,,,,,,,,,,,,Ability_WarHammer_MightyGavel,0.1,,Ability_WarHammer_MightyGavel,0.1,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_MightyGavel,,,,,,,,,,,,,,,,,,,
Upgrade_WarHammer_Gavel_StaminaDmg,@MightyGavel_Mod2,@MightyGavel_Mod2_description,Passive,,lyshineui/images/icons/abilities/warhammer_Ability02_Mod02.png,,,,,,,,Warhammer,Upgrade_WarHammer_Gavel_DmgUnder30pctHP,,0,3,2,false,false,,,,,,,,,,,,,false,false,false,true,true,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,false,0,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_MightyGavel,0.1,,Ability_WarHammer_MightyGavel,0.1,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_MightyGavel,,,,,,,,,,,,,,,,,,,
Upgrade_WarHammer_Gavel_Haste,@MightyGavel_Mod3,@MightyGavel_Mod3_description,Passive,,lyshineui/images/icons/abilities/warhammer_Ability02_Mod03.png,,,,,,,,Warhammer,Upgrade_WarHammer_Gavel_StaminaDmg,,0,4,2,false,false,,,,,,,,,,,,,false,false,false,true,false,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,false,0,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_MightyGavel,0.1,,Ability_WarHammer_MightyGavel,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WarHammer_Gavel_Haste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_MightyGavel,,,,,,,,,,,,,,,,,,,
Ability_Warhammer_MightyGavel_Upg,@JusticeForAll,@JusticeForAll_description,Passive,,lyshineui/images/icons/abilities/warhammer_Ult01.png,,,Play_UI_WeaponSkills_Warhammer_Ultimate_1,,,,,Warhammer,Upgrade_WarHammer_Gavel_Haste,,0,5,2,false,false,,,,,,,,,,,,,false,false,false,true,false,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,true,0,0,0,,,,false,0,,,,,,,,,,,Warhammer_Damage_MightyGavel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Ability_WarHammer_MightyGavel,AllExcept,,-0.1,,,,,,,,,,,,,,,,
Ability_WarHammer_WreckingBall,@WreckingBall,@WreckingBall_description,Attack,,lyshineui/images/icons/abilities/warhammer_Ability03.png,,,Play_UI_WeaponSkills_Warhammer_Ability_3,,,,,Warhammer,,,0,0,0,true,false,,,,,,,,,,,,,false,false,false,true,true,,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_WreckingBall,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_WarHammer_WreckingBall,,,,,,,,,,,,,,,,,,,
