Level,Health,HealthRate,Stamina,StaminaRate,Mana,ManaRate,CastSpeed,EquipLoad,NumAttuneSlots,Encumbrance,AbsFalling,DefStandard,DefSlash,DefThrust,DefStrike,DefMagic,DefFire,DefLightning,DefCorruption,ResFrostbite,ResPoison,ResBleed,ResDisease,ResCurse,ScalingValue
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,2,0.7
7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,4,0.7
8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,6,0.7
9,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,8,0.7
10,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,10,0.7
11,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,12,0.7
12,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,14,0.7
13,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,16,0.7
14,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,0,0,18,0.7
15,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,20,0.7
16,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0,22,0.6
17,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0,0,0,0,24,0.6
18,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85,0,0,0,0,26,0.6
19,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,0,0,0,28,0.6
20,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,30,0.6
21,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0,0,0,32,0.6
22,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,34,0.6
23,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,0,36,0.6
24,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,38,0.6
25,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,0,40,0.6
26,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,41,0.5
27,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,42,0.5
