CameraShakeID,ShakeShiftX,ShakeShiftY,ShakeShiftZ,ShakeAngleX,ShakeAngleY,ShakeAngleZ,SustainDuration,FadeInDuration,FadeOutDuration,Frequency,Randomness,ShakeChannel,FlipVec,UpdateOnly,Permanent,IsSmooth
Small,0.01,0.01,0.01,0,0.005,0,0.1,0,0.1,0.015,0,1,1,0,0,1
Large,0.04,0.04,0.04,0.01,0.01,0.01,0.2,0.1,0.1,0.03,0,2,1,0,0,1
Small_short,0.02,0.02,0.02,0,0,0,0.15,0.1,0.1,0.03,0,3,1,0,0,1
Large_short,0.02,0.02,0.02,0.005,0.005,0.005,0.1,0.05,0.05,0.015,0,4,1,0,0,1
Large_long,0.04,0.04,0.04,0.01,0.01,0.01,0.25,0.1,0.1,0.03,0,5,1,0,0,1
Small_long,0.02,0.02,0.02,0,0,0,0.25,0.1,0.1,0.03,0,6,1,0,0,1
WH_Hit_L1,0,0.015,0.015,0,0.003,0,0,0,0.2,0.03,0.15,7,1,0,0,1
WH_Hit_L2,0,0.03,0.03,0,0.01,0,0,0,0.6,0.07,0.3,7,1,0,0,1
WH_Hit_L3,0,0.03,0.03,0,0.015,0,0,0,0.8,0.07,0.3,7,1,0,0,1
WH_Hit_L4,0,0.03,0.03,0,0.018,0,0,0,1,0.08,0.3,7,1,0,0,1
WH_Jump,0,0.01,0.04,0,0.002,0,0,0,1.1,0.095,0.3,7,1,0,0,1
WH_Swing_Light,0,0.02,0.03,0,0.003,0,0,0,0.6,0.08,0.1,7,1,0,0,1
WH_Swing_Med,0,0.03,0.06,0,0.004,0,0,0,0.75,0.09,0.2,7,1,0,0,1
WH_Swing_Heavy,0,0.04,0.09,0,0.007,0,0,0,1.25,0.1,0.3,7,1,0,0,1
WH_Swing_Fade,0,0.015,0.05,0,0.004,0,0,0,1.35,0.09,0.3,7,1,0,0,1
GravityWell,0.005,0,0.005,0.003,0.0036,0,0.3,0.1,0.1,0.03,0,0,1,0,0,1
Azothstaff_during,0.003,0,0.003,0.003,0.003,0,0.5,0.1,1,0.03,0,0,1,0,1,1
Minor_mono_death,0.1,0.25,0.1,0.01,0,0,0.1,0,1,0,0,0,1,0,0,0
Minor_mono_small,0.01,0.01,0.01,0.005,0,0,0.1,0,0.3,0,0,0,1,0,0,0
Minor_port_wave,0,0,0,0.01,0.01,0.002,0,0,0.5,0,0,0,1,0,0,0
PrimaryAttack,0.05,0,0.05,0.01,0,0.01,0.1,0,0,0.03,0,0,1,0,0,0
Brute_Footsteps,0.005,0,0.005,0.005,0.005,0.005,0.01,0.01,0.01,0.015,0,0,1,0,0,1
Lightning01,0.1,0,0.1,0.005,0,0,0.15,0,0,0.01,0,0,1,0,0,1
AE_Naga_MassiveAOE_Tell,0.01,0,0.01,0.002,0,0,3.2,1,0,0.03,0,9,1,0,0,1
Torso_Boss_Intro,0.0025,0,0.0025,0.001,0,0,5,1,0,0.03,0,9,1,0,0,1
