CategoricalProgressionId,DisplayName,MaxLevel,Expansion01MaxLevel,AutoRankUp,InfiniteLevels,RepeatMaxLevel,AllowOverflow,RankTableId,ProgressionPointPool,PreSkillCapSkill,PostSkillCapSkill,EconomyTrackerType,GameEventId,AchievementIdOnMaxRank,MinTrackedLevel,ShowAsObjectiveReward,IconPath,UsesGlobalProgressionMod,ItemClass,DisplayDescription,EventId
Syndicate,@ui_faction_name1,4,5,false,false,false,false,MerchantGuild,,,,,,,,true,lyshineui/images/icons/objectives/reward_factionReputation1.dds,true,,,
Marauder,@ui_faction_name2,4,5,false,false,false,false,ProcurerGuild,,,,,,,,true,lyshineui/images/icons/objectives/reward_factionReputation2.dds,true,,,
Covenant,@ui_faction_name3,4,5,false,false,false,false,ExplorerGuild,,,,,,,,true,lyshineui/images/icons/objectives/reward_factionReputation3.dds,true,,,
Repair_T1,@ui_repairparts,0,,false,false,false,false,Repair_T1,,,,,,,,,lyshineui/images/icons/items/resource/repairpartst1.dds,,,,
2,@Brightwood,300,,true,false,false,false,Territory_Standing,TerritoryRankBonus_2,,,,,,,,,true,,,
4,@Everfall,300,,true,false,false,false,Territory_Standing,TerritoryRankBonus_4,,,,,,,,,true,,,
5,@Reekwater,300,,true,false,false,false,Territory_Standing,TerritoryRankBonus_5,,,,,,,,,true,,,
6,@Windsward,300,,true,false,false,false,Territory_Standing,TerritoryRankBonus_6,,,,,,,,,true,,,
8,@Queensport,300,,true,false,false,false,Territory_Standing,TerritoryRankBonus_8,,,,,,,,,true,,,
9,@FirstLight,0,,,,,,,,,,,,,,,,true,,,
10,@CutlassKeys,300,,true,false,false,false,Territory_Standing,TerritoryRankBonus_10,,,,,,,,,true,,,
11,@Mourningdale,300,,true,false,false,false,Territory_Standing,TerritoryRankBonus_11,,,,,,,,,true,,,
12,@MonarchsBluffs,300,,true,false,false,false,Territory_Standing,TerritoryRankBonus_12,,,,,,,,,true,,,
