Rank,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,AvailableProgressionPoint1,AvailableProgressionPoint2,AvailableProgressionPoint3,AvailableProgressionPoint4,XpReward
0,@territory_standing_title_1,0,150,0,0,,,TB_GainStanding,TB_GainXP,TB_GainGatherRate,TB_PurchaseHouse,0
1,@territory_standing_title_2,0,375,150,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_GainStorage,TB_PurchaseHouse,100
2,,0,600,375,0,true,,TB_GainStanding,TB_TaxStations,TB_GainGatherRate,TB_PurchaseHouse,150
3,,0,825,600,0,true,,TB_TaxTradingPost,TB_GainXP,TB_GainStorage,TB_PurchaseHouse,200
4,,0,1050,825,0,true,,TB_GainStanding,TB_TaxStations,TB_GainGatherRate,TB_PurchaseHouse,250
5,@territory_standing_title_3,0,1275,1050,0,true,,TB_GainXP,TB_TaxTradingPost,TB_GainStorage,TB_PurchaseHouse,300
6,,0,1500,1275,0,true,,TB_GainStanding,TB_TaxStations,TB_GainGatherRate,TB_PurchaseHouse,350
7,,0,1725,1500,0,true,,TB_TaxTradingPost,TB_GainXP,TB_GainStorage,TB_PurchaseHouse,400
8,,0,1950,1725,0,true,,TB_GainStanding,TB_TaxStations,TB_GainGatherRate,TB_PurchaseHouse,450
9,,0,2175,1950,0,true,,TB_TaxTradingPost,TB_GainXP,TB_GainStorage,TB_PurchaseHouse,500
10,@territory_standing_title_4,0,2400,2175,0,true,,TB_GainStanding,TB_TaxStations,TB_GainGatherRate,TB_PurchaseHouse,600
11,,0,2625,2400,0,true,,TB_TaxTradingPost,TB_GainFactionRep,TB_GainStorage,TB_PurchaseHouse,700
12,,0,2850,2625,0,true,,TB_GainStanding,TB_TaxStations,TB_GainGatherRate,TB_PurchaseHouse,800
13,,0,3075,2850,0,true,,TB_TaxTradingPost,TB_GainFactionRep,TB_GainStorage,TB_PurchaseHouse,900
14,,0,3300,3075,0,true,,TB_GainStanding,TB_TaxStations,TB_GainGatherRate,TB_PurchaseHouse,1000
15,@territory_standing_title_5,0,3525,3300,0,true,,TB_TaxTradingPost,TB_GainFactionRep,TB_GainStorage,TB_PurchaseHouse,1100
16,,0,3750,3525,0,true,,TB_TaxProperty,TB_TaxTradingPost,TB_TaxStations,TB_PurchaseHouse,1200
17,,0,3975,3750,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainStorage,TB_PurchaseHouse,1300
18,,0,4200,3975,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,1400
19,,0,4425,4200,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,1500
20,@territory_standing_title_6,0,4650,4425,0,true,,TB_TaxStations,TB_GainHousePoints,TB_TaxProperty,TB_PurchaseHouse,1600
21,,0,4875,4650,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,1700
22,,0,5100,4875,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_GainStorage,TB_PurchaseHouse,1800
23,,0,5325,5100,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,1900
24,,0,5550,5325,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,2000
25,@territory_standing_title_7,0,5775,5550,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,2100
26,,0,6000,5775,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,2200
27,,0,6225,6000,0,true,,TB_GainStanding,TB_GainStorage,TB_GainGatherRate,TB_PurchaseHouse,2300
28,,0,6450,6225,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,2400
29,,0,6675,6450,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,2500
30,,0,6900,6675,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,2600
31,,0,7125,6900,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,2700
32,,0,7350,7125,0,true,,TB_TaxStations,TB_GainStorage,TB_TaxProperty,TB_PurchaseHouse,2800
33,,0,7575,7350,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,2900
34,,0,7800,7575,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
35,@territory_standing_title_8,0,8025,7800,0,true,,TB_GainStanding,TB_GainHousePoints,TB_GainGatherRate,TB_PurchaseHouse,3000
36,,0,8250,8025,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
37,,0,8475,8250,0,true,,TB_GainStorage,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
38,,0,8700,8475,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
39,,0,8925,8700,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
40,@territory_standing_title_9,0,9150,8925,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
41,,0,9375,9150,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
42,,0,9600,9375,0,true,,TB_GainStorage,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
43,,0,9825,9600,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
44,,0,10050,9825,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
45,,0,10275,10050,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
46,,0,10500,10275,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
47,,0,10725,10500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainStorage,TB_PurchaseHouse,3000
48,,0,10950,10725,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
49,,0,11175,10950,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
50,@territory_standing_title_10,0,11400,11175,0,true,,TB_TaxStations,TB_GainHousePoints,TB_TaxProperty,TB_PurchaseHouse,3000
51,,0,11625,11400,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
52,,0,11850,11625,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_GainStorage,TB_PurchaseHouse,3000
53,,0,12075,11850,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
54,,0,12300,12075,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
55,,0,12525,12300,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
56,,0,12750,12525,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
57,,0,12975,12750,0,true,,TB_GainStanding,TB_GainStorage,TB_GainGatherRate,TB_PurchaseHouse,3000
58,,0,13200,12975,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
59,,0,13425,13200,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
60,@territory_standing_title_11,0,13650,13425,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
61,,0,13875,13650,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
62,,0,14100,13875,0,true,,TB_TaxStations,TB_GainStorage,TB_TaxProperty,TB_PurchaseHouse,3000
63,,0,14325,14100,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
64,,0,14550,14325,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
65,,0,14775,14550,0,true,,TB_GainStanding,TB_GainHousePoints,TB_GainGatherRate,TB_PurchaseHouse,3000
66,,0,15000,14775,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
67,,0,15225,15000,0,true,,TB_GainStorage,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
68,,0,15450,15225,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
69,,0,15675,15450,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
70,@territory_standing_title_12,0,15900,15675,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
71,,0,16125,15900,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
72,,0,16350,16125,0,true,,TB_GainStorage,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
73,,0,16575,16350,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
74,,0,16800,16575,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
75,,0,17025,16800,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
76,,0,17250,17025,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
77,,0,17475,17250,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainStorage,TB_PurchaseHouse,3000
78,,0,17700,17475,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
79,,0,17925,17700,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
80,@territory_standing_title_13,0,18150,17925,0,true,,TB_TaxStations,TB_GainHousePoints,TB_TaxProperty,TB_PurchaseHouse,3000
81,,0,18375,18150,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
82,,0,18600,18375,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_GainStorage,TB_PurchaseHouse,3000
83,,0,18825,18600,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
84,,0,19050,18825,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
85,,0,19275,19050,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
86,,0,19500,19275,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
87,,0,19725,19500,0,true,,TB_GainStanding,TB_GainStorage,TB_GainGatherRate,TB_PurchaseHouse,3000
88,,0,19950,19725,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
89,,0,20175,19950,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
90,@territory_standing_title_14,0,20400,20175,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
91,,0,20625,20400,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
92,,0,20850,20625,0,true,,TB_TaxStations,TB_GainStorage,TB_TaxProperty,TB_PurchaseHouse,3000
93,,0,21075,20850,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
