Rank,DisplayName,MaximumInfluence,RequiredLevel,InfluenceCost,CurrencyCost,SanityCheck,AdditionalProgressionPoints,AzothRespecCost
0,,50,0,0,0,,0,0
1,,100,0,50,0,true,0,0
2,,200,0,100,0,true,0,0
3,,400,0,200,0,true,0,0
4,,700,0,400,0,true,0,0
5,,1100,0,700,0,true,0,0
6,,1600,0,1100,0,true,0,0
7,,2000,0,1600,0,true,0,0
8,,2500,0,2000,0,true,0,0
9,,3000,0,2500,0,true,0,0
10,,3600,0,3000,0,true,0,6
11,,4200,0,3600,0,true,0,6
12,,4900,0,4200,0,true,0,13
13,,5600,0,4900,0,true,0,13
14,,6400,0,5600,0,true,0,19
15,,7200,0,6400,0,true,0,25
16,,8100,0,7200,0,true,0,31
17,,9000,0,8100,0,true,0,38
18,,10000,0,9000,0,true,0,44
19,,12500,0,10000,0,true,0,50
