WeaponName,ProfileType,ProfileName,CameraLockProfileName
2HAxe,Weapon,Axe2HGeneric,Axe2HCameraLock
Blunderbuss,Weapon,BlunderbussGeneric,BlunderbussCameraLock
Bow,Weapon,BowGeneric,BowCameraLock
FireStaff,Weapon,FireStaffGeneric,FireStaffCameraLock
Flail,Weapon,FlailGeneric,FlailCameraLock
GreatSword,Weapon,GreatSwordGeneric,GreatSwordCameraLock
2HHammer,Weapon,Hammer2HGeneric,Hammer2HCameraLock
Hatchet,Weapon,HatchetGeneric,HatchetCameraLock
IceMagic,Weapon,IceMagicGeneric,IceMagicCameraLock
LifeStaff,Weapon,LifeStaffGeneric,LifeStaffCameraLock
Musket,Weapon,MusketGeneric,MusketCameraLock
Rapier,Weapon,RapierGeneric,RapierCameraLock
Spear,Weapon,SpearGeneric,SpearCameraLock
Sword,Weapon,SwordGeneric,SwordCameraLock
VoidGauntlet,Weapon,VoidGauntletGeneric,VoidGauntletCameraLock
Heartgem,Weapon,HeartgemGeneric,HeartgemGeneric
Unarmed,Unarmed,UnarmedGeneric,UnarmedGeneric
Ballista,SiegeWeapon,TurretGeneric,TurretGeneric
Repeater,SiegeWeapon,TurretGeneric,TurretGeneric
Explosive,SiegeWeapon,TurretGeneric,TurretGeneric
Ability_Bow_PoisonShot,AbilityAimPose,AbilityGeneric,AbilityGeneric
Ability_Bow_RainofArrows,AbilityAimPose,AbilityGeneric,AbilityGeneric
Ability_Bow_PenetratingShot,AbilityAimPose,AbilityGeneric,AbilityGeneric
Ability_Musket_ShootersStance,AbilityAimPose,AbilityGeneric,AbilityGeneric
Ability_Blunderbuss_MortarShot,AbilityAimPose,AbilityGeneric,AbilityGeneric
Ability_Bow_RapidShot,ActiveAbility,AbilityGeneric,AbilityGeneric
Ability_Bow_EvadeShot,ActiveAbility,AbilityGeneric,AbilityGeneric
Ability_Bow_SplinterShot,ActiveAbility,AbilityGeneric,AbilityGeneric
