ContributionId,Category,Value,Shared,Expires
Spawn_Killed,default,100,false,false
Spawn_Killed : Damned_Cultist,default,250,false,false
Spawn_Killed : Damned_Cultist_DT1,default,250,false,false
Spawn_Killed : Damned_Cultist_DT2,default,250,false,false
Spawn_Killed : Damned_Cultist_DT3,default,250,false,false
Spawn_Killed : Damned_Cultist_DT4,default,250,false,false
Spawn_Killed : Damned_Cultist_DT5,default,250,false,false
Spawn_Killed : Damned_Cultist_DT6,default,250,false,false
Spawn_Killed : Damned_Acolyte,default,500,false,false
Spawn_Killed : Damned_Acolyte_DT1,default,500,false,false
Spawn_Killed : Damned_Acolyte_DT2,default,500,false,false
Spawn_Killed : Damned_Acolyte_DT3,default,500,false,false
Spawn_Killed : Damned_Acolyte_DT4,default,500,false,false
Spawn_Killed : Damned_Acolyte_DT5,default,500,false,false
Spawn_Killed : Damned_Acolyte_DT6,default,500,false,false
Spawn_Killed : Elk_Corrupted,default,750,false,false
Spawn_Killed : Elk_Corrupted_DT1,default,750,false,false
Spawn_Killed : Elk_Corrupted_DT2,default,750,false,false
Spawn_Killed : Elk_Corrupted_DT3,default,750,false,false
Spawn_Killed : Elk_Corrupted_DT4,default,750,false,false
Spawn_Killed : Elk_Corrupted_DT5,default,750,false,false
Spawn_Killed : Elk_Corrupted_DT6,default,750,false,false
Spawn_Killed : Corruption_Heavy,default,750,false,false
Spawn_Killed : Corruption_Heavy_DT1,default,750,false,false
Spawn_Killed : Corruption_Heavy_DT2,default,750,false,false
Spawn_Killed : Corruption_Heavy_DT3,default,750,false,false
Spawn_Killed : Corruption_Heavy_DT4,default,750,false,false
Spawn_Killed : Corruption_Heavy_DT5,default,750,false,false
Spawn_Killed : Corruption_Heavy_DT6,default,750,false,false
Spawn_Killed : Corrupted_Ogre,default,1000,false,false
Spawn_Killed : Corrupted_Ogre_DT1,default,1000,false,false
Spawn_Killed : Corrupted_Ogre_DT2,default,1000,false,false
Spawn_Killed : Corrupted_Ogre_DT3,default,1000,false,false
Spawn_Killed : Corrupted_Ogre_DT4,default,1000,false,false
Spawn_Killed : Corrupted_Ogre_DT5,default,1000,false,false
Spawn_Killed : Corrupted_Ogre_DT6,default,1000,false,false
Spawn_Killed : Tendril_Corruption,default,1000,false,false
Spawn_Killed : Tendril_Corruption_DT1,default,1000,false,false
Spawn_Killed : Tendril_Corruption_DT2,default,1000,false,false
Spawn_Killed : Tendril_Corruption_DT3,default,1000,false,false
Spawn_Killed : Tendril_Corruption_DT4,default,1000,false,false
Spawn_Killed : Tendril_Corruption_DT5,default,1000,false,false
Spawn_Killed : Tendril_Corruption_DT6,default,1000,false,false
Spawn_Killed : Darkness_Hive_Membrane,default,1000,false,false
Spawn_Killed : Darkness_Hive_Membrane_DT1,default,1000,false,false
Spawn_Killed : Darkness_Hive_Membrane_DT2,default,1000,false,false
Spawn_Killed : Darkness_Hive_Membrane_DT3,default,1000,false,false
Spawn_Killed : Darkness_Hive_Membrane_DT4,default,1000,false,false
Spawn_Killed : Darkness_Hive_Membrane_DT5,default,1000,false,false
Spawn_Killed : Darkness_Hive_Membrane_DT6,default,1000,false,false
Spawn_Killed : Darkness_Monolith_Shell,default,750,false,false
Spawn_Killed : Darkness_Monolith_Shell_DT1,default,750,false,false
Spawn_Killed : Darkness_Monolith_Shell_DT2,default,750,false,false
Spawn_Killed : Darkness_Monolith_Shell_DT3,default,750,false,false
Spawn_Killed : Darkness_Monolith_Shell_DT4,default,750,false,false
Spawn_Killed : Darkness_Monolith_Shell_DT5,default,750,false,false
Spawn_Killed : Darkness_Monolith_Shell_DT6,default,750,false,false
