ContributionId,Category,Value,Shared,Expires
Spawn_Killed,default,1,false,false
Damage_Received,default,1,false,false
Support,default,1,false,false
Killed,default,1,false,false
Wave_Started,default,1,false,false
Spawn_Interacted,default,1,false,false
Damage_Dealt,default,1,false,false
Encounter_Activated,default,1,false,false
Spawn_Interacted : BoatEncounter_Cannon_01,interaction,100,true,false
Spawn_Interacted:98_Syndicate_03_Well_A,interaction,100,true,false
Spawn_Interacted:98_Syndicate_03_Well_B,interaction,100,true,false
Spawn_Interacted:95A_S02_Geyser_Puzzle_Boulder_Interact,interaction,100,true,false
Spawn_Interacted:DepositBoulder,interaction,100,true,false
