ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
0204_00_Overseer,Linear_Objective,true,@0204_00_Overseer_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0204_01_Overseer,Linear_Objective,false,@0204_01_Overseer_DefaultDialogue,,,24,,,,0204_0101_UndyingAppetite,,,,,,,,,,,,,,,,,,,,,,
0204_02_Overseer,Linear_Objective,false,@0204_02_Overseer_DefaultDialogue,,,,02_Quest_06,,,0202_0103_HeldBelowtheSurface,,,,,,,,,,,,,,,,,,,,,,
0204_03_Overseer,Linear_Objective,false,@0204_03_Overseer_DefaultDialogue,,,,02_Quest_04,,,0204_0102_OfOurOwnFleshandBlood,,,,,,,,,,,,,,,,,,,,,,
0204_04_Overseer,Linear_Objective,false,@0204_04_Overseer_DefaultDialogue,,,,02_Quest_09,,,0204_0103_IsleofMadness,,,,,,,,,,,,,,,,,,,,,,
0204_04a_Overseer,Linear_Objective,false,@0204_04_Overseer_DefaultDialogue,,GreatAxeAbilityTable 9 0,40,02_Quest_09,,,0204_0103_IsleofMadness,0204_0104_Executioner_lvl40_Weapon,,,,,,,,,,,,,,,,,,,,,
0204_05_Overseer,Linear_Objective,false,@0204_05_Overseer_DefaultDialogue,,,,02_Quest_10,,,,,,,,,,,,,,,,,,,,,,,,,
0204_06_Overseer,Linear_Objective,false,@0204_06_Overseer_DefaultDialogue,,GreatAxeAbilityTable 9 0,40,02_Quest_10,,,0204_0104_Executioner_lvl40_Weapon,,,,,,,,,,,,,,,,,,,,,,
0204_07_Overseer,Linear_Objective,false,@0204_07_Overseer_DefaultDialogue,,,,WeaponQuest_Executioner_00,,,0204_0103_IsleofMadness,,,,,,,,,,,,,,,,,,,,,,
0202_00_Magistrate,Linear_Objective,true,@0202_00_Magistrate_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0202_01_Magistrate,Linear_Objective,false,@0202_01_Magistrate_DefaultDialogue,,,24,,,,0202_0101_BlindingLight,,,,,,,,,,,,,,,,,,,,,,
0202_02_Magistrate,Linear_Objective,false,@0202_02_Magistrate_DefaultDialogue,,,,02_Quest_01,,,0202_0102_PreacherJohannes,,,,,,,,,,,,,,,,,,,,,,
0202_03_Magistrate,Linear_Objective,false,@0202_03_Magistrate_DefaultDialogue,,,,02_Quest_03,,,,,,,,,,,,,,,,,,,,,,,,,
0202_04_Magistrate,Linear_Objective,false,@0202_04_Magistrate_DefaultDialogue,,,28,02_Quest_03,,,0202_0104_Weavers_Vector,,,,,,,,,,,,,,,,,,,,,,
0202_05_Magistrate,Linear_Objective,false,@0202_05_Magistrate_DefaultDialogue,,,,02_Quest_15,,,,,,,,,,,,,,,,,,,,,,,,,
0210_00_Barkeep,Linear_Objective,true,@0210_00_Barkeep_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0210_01_Barkeep,Linear_Objective,false,@0210_01_Barkeep_DefaultDialogue,,,,02_Quest_08,,,0210_0101_UnholyGreenThumb,,,,,,,,,,,,,,,,,,,,,,
0210_02_Barkeep,Linear_Objective,false,@0210_02_Barkeep_DefaultDialogue,,,,02_Quest_06,,,,,,,,,,,,,,,,,,,,,,,,,
0210_03_Barkeep,Linear_Objective,false,@0210_03_Barkeep_DefaultDialogue,,,33,02_Quest_10,,,0210_0102_ReapersLocus,,,,,,,,,,,,,,,,,,,,,,
0210_04_Barkeep,Linear_Objective,false,@0210_04_Barkeep_DefaultDialogue,,,,02_Quest_Obelisk_11,,,,,,,,,,,,,,,,,,,,,,,,,
0203_00_Survivalist,Linear_Objective,true,@0203_00_Survivalist_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0203_01_Survivalist,Linear_Objective,false,@0203_01_Survivalist_DefaultDialogue,,,,02_Quest_03,,,0203_0101_PocketfulofMemories,,,,,,,,,,,,,,,,,,,,,,
0203_02_Survivalist,Linear_Objective,false,@0203_02_Survivalist_DefaultDialogue,,,,02_Quest_04,,,0203_0102_AncientProblemsAncientSolutions,,,,,,,,,,,,,,,,,,,,,,
0203_03_Survivalist,Linear_Objective,false,@0203_03_Survivalist_DefaultDialogue,,,,02_Quest_05,,,,,,,,,,,,,,,,,,,,,,,,,
0203_04_Survivalist,Linear_Objective,false,@0203_04_Survivalist_DefaultDialogue,,LifeMagicAbilityTable 9 0,40,02_Quest_05,,,0203_0103_Hope_Manifest_lvl40_Weapon,,,,,,,,,,,,,,,,,,,,,,
0203_05_Survivalist,Linear_Objective,false,@0203_05_Survivalist_DefaultDialogue,,,,WeaponQuest_HopeManifest_00,,,,,,,,,,,,,,,,,,,,,,,,,
0205_00_Artificer,Linear_Objective,true,@0205_00_Artificer_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0205_01_Artificer,Linear_Objective,false,@0205_01_Artificer_DefaultDialogue,,,,02_Quest_03,,,0205_0101_RuinousLabor,,,,,,,,,,,,,,,,,,,,,,
0205_02_Artificer,Linear_Objective,false,@0205_02_Artificer_DefaultDialogue,,,38,02_Quest_07,,,0205_0102_Battles_Embrace_Gear,,,,,,,,,,,,,,,,,,,,,,
0205_03_Artificer,Linear_Objective,false,@0205_03_Artificer_DefaultDialogue,,,,02_Quest_Armor_12,,,,,,,,,,,,,,,,,,,,,,,,,
0207_00_Commander,Linear_Objective,true,@0207_00_Commander_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0207_01_Commander,Linear_Objective,false,@0207_01_Commander_DefaultDialogue,Marauder,,24,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
0207_01pre_Commander,Linear_Objective,false,@0207_01pre_Commander_DefaultDialogue,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0207_02_Commander,Linear_Objective,false,@0207_02_Commander_DefaultDialogue,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0207_03_Commander,Linear_Objective,false,@0207_03_Commander_DefaultDialogue,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0208_00_Alchemist,Linear_Objective,true,@0208_00_Alchemist_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0208_01_Alchemist,Linear_Objective,false,@0208_01_Alchemist_DefaultDialogue,Syndicate,,24,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
0208_01pre_Alchemist,Linear_Objective,false,@0208_01pre_Alchemist_DefaultDialogue,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0208_02_Alchemist,Linear_Objective,false,@0208_02_Alchemist_DefaultDialogue,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0208_03_Alchemist,Linear_Objective,false,@0208_03_Alchemist_DefaultDialogue,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
