ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
1102_01_Magistrate,Linear_Objective,true,@1102_01_Magistrate,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102_02_Magistrate,Linear_Objective,false,@1102_02_Magistrate,,,,11_Quest_11,1102_0201_abandonedduties,,,,,,,,,,,,,,,,,,,,,,
1102_03_Magistrate,Linear_Objective,false,@1102_03_Magistrate,,,,11_Quest_01,1102_0301_musslebeard,,,,,,,,,,,,,,,,,,,,,,
1102_04_Magistrate,Linear_Objective,false,@1102_04_Magistrate,,,,11_Quest_05,1102_0401_march,,,,,,,,,,,,,,,,,,,,,,
1102_05_Magistrate,Linear_Objective,false,@1102_05_Magistrate,,,,11_Quest_09,,,,,,,,,,,,,,,,,,,,,,,
1103_01_Survivalist,Linear_Objective,true,@1103_01_Survivalist,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104_01_Overseer,Linear_Objective,true,@1104_01_Overseer,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104_01a_Overseer,Linear_Objective,false,@1104_01a_Overseer,,,43,,1104_01a01_crashing,,,,,,,,,,,,,,,,,,,,,,
1104_02_Overseer,Linear_Objective,false,@1104_02_Overseer,,,,11_Quest_11,1104_0201_waterfalls,,,,,,,,,,,,,,,,,,,,,,
1104_03_Overseer,Linear_Objective,false,@1104_03_Overseer,,,,11_Quest_03,,,,,,,,,,,,,,,,,,,,,,,
1105_01_Artificer,Linear_Objective,true,@1105_01_Artificer,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105_02_Artificer,Linear_Objective,false,@1105_02_Artificer,,,,11_Quest_11,1105_0201_teardropgems,,,,,,,,,,,,,,,,,,,,,,
1105_03_Artificer,Linear_Objective,false,@1105_03_Artificer,,,,11_Quest_04,1105_0202_excommunication,,,,,,,,,,,,,,,,,,,,,,
1105_04_Artificer,Linear_Objective,false,@1105_04_Artificer,,,,11_Quest_06,,,,,,,,,,,,,,,,,,,,,,,
1110_01_Barkeep,Linear_Objective,true,@1110_01_Barkeep,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111_01_Stranger,Linear_Objective,true,@1111_01_Stranger,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111_02_Stranger,Linear_Objective,false,@1111_02_Stranger,,,,11_Quest_11,1111_0201_deluge,,,,,,,,,,,,,,,,,,,,,,
1111_03_Stranger,Linear_Objective,false,@1111_03_Stranger,,,,11_Quest_02,1111_0301_roadtotruth,,,,,,,,,,,,,,,,,,,,,,
1111_04_Stranger,Linear_Objective,false,@1111_04_Stranger,,,,11_Quest_07,1111_0401_ancienttruth,,,,,,,,,,,,,,,,,,,,,,
1111_05_Stranger,Linear_Objective,false,@1111_05_Stranger,,,,11_Quest_08,1111_0402_corruptedenergy,,,,,,,,,,,,,,,,,,,,,,
1111_06_Stranger,Linear_Objective,false,@1111_06_Stranger,,,,11_Quest_10,,,,,,,,,,,,,,,,,,,,,,,
1107_00_Commander,Linear_Objective,true,@1107_00_DefaultDialogue_Commander,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107_01pre_Commander,Linear_Objective,false,@1107_01pre_DefaultDialogue_Commander,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,
1107_01_Commander,Linear_Objective,false,@1107_01_DefaultDialogue_Commander,Marauder,,43,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
1107_02_Commander,Linear_Objective,false,@1107_02_DefaultDialogue_Commander,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,
1107_03_Commander,Linear_Objective,false,@1107_03_DefaultDialogue_Commander,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,
1108_00_Alchemist,Linear_Objective,true,@1108_00_DefaultDialogue_Alchemist,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108_01pre_Alchemist,Linear_Objective,false,@1108_01pre_DefaultDialogue_Alchemist,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,
1108_01_Alchemist,Linear_Objective,false,@1108_01_DefaultDialogue_Alchemist,Syndicate,,43,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
1108_02_Alchemist,Linear_Objective,false,@1108_02_DefaultDialogue_Alchemist,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,
1108_03_Alchemist,Linear_Objective,false,@1108_03_DefaultDialogue_Alchemist,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,
1108_04pre_Alchemist,Linear_Objective,false,@1108_04pre_DefaultDialogue_Alchemist,Syndicate,Syndicate 2 26000,,syndicate_faction_quest_01b,98_S_02_necromanticchemistry,,,,,,,,,,,,,,,,,,,,,,
1108_04_Alchemist,Linear_Objective,false,@1108_04_DefaultDialogue_Alchemist,Syndicate,Syndicate 2 26000,43,syndicate_faction_quest_01b,98_S_02_necromanticchemistry,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
1108_05pre_Alchemist,Linear_Objective,false,@1108_05pre_DefaultDialogue_Alchemist,Syndicate,,,syndicate_faction_quest_02,,,,,,,,,,,,,,,,,,,,,,,
1108_05_Alchemist,Linear_Objective,false,@1108_05_DefaultDialogue_Alchemist,Syndicate,,43,syndicate_faction_quest_02,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
1109_00_Adjudicator,Linear_Objective,true,@1109_00_DefaultDialogue_Adjudicator,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109_01pre_Adjudicator,Linear_Objective,false,@1109_01pre_DefaultDialogue_Adjudicator,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,
1109_01_Adjudicator,Linear_Objective,false,@1109_01_DefaultDialogue_Adjudicator,Covenant,,43,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
1109_02_Adjudicator,Linear_Objective,false,@1109_02_DefaultDialogue_Adjudicator,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,
1109_03_Adjudicator,Linear_Objective,false,@1109_03_DefaultDialogue_Adjudicator,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,
1122_00_Innkeep,Linear_Objective,true,@1122_00_Innkeep,,,,,,,,,,,,,,,,,,,,,,,,,Inn,,
1123_01_BLANK,Linear_Objective,true,@1123_01_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123_02_BLANK,Linear_Objective,false,@1123_02_DefaultDialogue,,,,FishingQuest_09,1123_0101_FQ10,,,,,,,,,,,,,,,,,,,,,,
1123_03_BLANK,Linear_Objective,false,@1123_03_DefaultDialogue,,,,FishingQuest_10,,,,,,,,,,,,,,,,,,,,,,,
