ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,RequiredFaction,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
9901_00_MSQ_Yonas,Linear_Objective,true,@9901_00_MSQ_Yonas_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9901_01_MSQ_Yonas,Linear_Objective,false,@9901_01_MSQ_Yonas_DefaultDialog,,,MSQ_00_Init,,,,,,,,,,,,,,,,,,,,,,,,,
9901_02_MSQ_Yonas,Linear_Objective,false,@9901_02_MSQ_Yonas_DefaultDialog,,,99_MSQ_8,,,,,,,,,,,,,,,,,,,,,,,,,
9901_03_MSQ_Yonas,Linear_Objective,false,@9901_03_MSQ_Yonas_DefaultDialog,,,99_MSQ_9,,,,,,,,,,,,,,,,,,,,,,,,,
9901_04_MSQ_Yonas,Linear_Objective,false,@9901_04_MSQ_Yonas_DefaultDialog,,,99_MSQ_10,,,,,,,,,,,,,,,,,,,,,,,,,
9901_05_MSQ_Yonas,Linear_Objective,false,@9901_05_MSQ_Yonas_DefaultDialog,,,99_MSQ_11,,,,,,,,,,,,,,,,,,,,,,,,,
9901_07_MSQ_Yonas,Linear_Objective,false,@9901_07_MSQ_Yonas_DefaultDialog,,,99_MSQ_12,,,,,,,,,,,,,,,,,,,,,,,,,
9901_08_MSQ_Yonas,Linear_Objective,false,@9901_08_MSQ_Yonas_DefaultDialog,,,99_MSQ_14,,,,,,,,,,,,,,,,,,,,,,,,,
9901_06_MSQ_Yonas,Linear_Objective,false,@9901_06_MSQ_Yonas_DefaultDialog,,,99_MSQ_18,,,,,,,,,,,,,,,,,,,,,,,,,
9901_09_MSQ_Yonas,Linear_Objective,false,@9901_09_MSQ_Yonas_DefaultDialog,,,99_MSQ_13,,,,,,,,,,,,,,,,,,,,,,,,,
9901_10_MSQ_Yonas,Linear_Objective,false,@9901_10_MSQ_Yonas_DefaultDialog,,,99_MSQ_19a,,,,,,,,,,,,,,,,,,,,,,,,,
9901_11_MSQ_Yonas,Linear_Objective,false,@9901_11_MSQ_Yonas_DefaultDialog,,,99_MSQ_20,,,,,,,,,,,,,,,,,,,,,,,,,
9901_12_MSQ_Yonas,Linear_Objective,false,@9901_12_MSQ_Yonas_DefaultDialog,,,99_MSQ_21,,,,,,,,,,,,,,,,,,,,,,,,,
9901_13_MSQ_Yonas,Linear_Objective,false,@9901_13_MSQ_Yonas_DefaultDialog,,,99_MSQ_22,,,9901_0023_agreatmovement,,,,,,,,,,,,,,,,,,,,,,
9901_14_MSQ_Yonas,Linear_Objective,true,@9901_14_MSQ_Yonas_DefaultDialog,,,,,,9901_0027_thesyndicatesupport,,,,,,,,,,9901_Yonas_Fort,,,,,,,,,,,,
9901_15_MSQ_Yonas,Linear_Objective,false,@9901_15_MSQ_Yonas_DefaultDialog,,,99_MSQ_30,,,9901_0031_themaraudersupport,,,,,,,,,,9901_Yonas_Fort,,,,,,,,,,,,
9901_16_MSQ_Yonas,Linear_Objective,false,@9901_16_MSQ_Yonas_DefaultDialog,,,99_MSQ_34,,,9901_0035_herewestand,,,,,,,,,,9901_Yonas_Friends,,,,,,,,,,,,
9901_17_MSQ_Yonas,Linear_Objective,false,@9901_17_MSQ_Yonas_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9901_18_MSQ_Yonas,Linear_Objective,false,@9901_18_MSQ_Yonas_DefaultDialog,,,,,,,,,,,,,,,,9901_Yonas_Friends,,,,,,,,,,,,
9901_19_MSQ_Yonas,Linear_Objective,false,@9901_19_MSQ_Yonas_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9901_20_MSQ_Yonas,Linear_Objective,false,@9901_20_MSQ_Yonas_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9901_21_MSQ_Yonas,Linear_Objective,false,@9901_21_MSQ_Yonas_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9901_22_MSQ_Yonas,Linear_Objective,false,@9901_22_MSQ_Yonas_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9902_00_MSQ_Adiana,Linear_Objective,true,@9902_00_MSQ_Adiana_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9902_01_MSQ_Adiana,Linear_Objective,false,@9902_01_MSQ_Adiana_DefaultDialog,,,99_MSQ_14,,,9902_0015_itmustflow,,,,,,,,,,,,,,,,,,,,,,
9902_02_MSQ_Adiana,Linear_Objective,false,@9902_02_MSQ_Adiana_DefaultDialog,,,99_MSQ_15,,,9902_0016_corruptiontincture,,,,,,,,,,,,,,,,,,,,,,
9902_03_MSQ_Adiana,Linear_Objective,false,@9902_03_MSQ_Adiana_DefaultDialog,,,99_MSQ_16,,,9902_0017_landcriesout,,,,,,,,,,,,,,,,,,,,,,
9902_04_MSQ_Adiana,Linear_Objective,false,@9902_04_MSQ_Adiana_DefaultDialog,,,99_MSQ_17,,,,,,,,,,,,,,,,,,,,,,,,,
9902_05_MSQ_Adiana,Linear_Objective,true,@9902_05_MSQ_Adiana_DefaultDialog,,,,,,9902_0046_stemthetide,,,,,,,,,,,,,,,,,,,,,,
9902_06_MSQ_Adiana,Linear_Objective,false,@9902_06_MSQ_Adiana_DefaultDialog,,,99_MSQ_46,,,9904_0047_greatminds,,,,,,,,,,,,,,,,,,,,,,
9902_07_MSQ_Adiana,Linear_Objective,false,@9902_07_MSQ_Adiana_DefaultDialog,,,99_MSQ_48,,,9902_0049_recipeforfailure,,,,,,,,,,,,,,,,,,,,,,
9902_08_MSQ_Adiana,Linear_Objective,false,@9902_08_MSQ_Adiana_DefaultDialog,,,99_MSQ_51,,,9902_0052_saboteur_v2,,,,,,,,,,,,,,,,,,,,,,
