ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
0502_00_Magistrate,Linear_Objective,true,@0502_00_Magistrate_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0503_00_Survivalist,Linear_Objective,true,@0503_00_Survivalist_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0504_00_Overseer,Linear_Objective,true,@0504_00_Overseer_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0505_00_Artificer,Linear_Objective,true,@0505_00_Artificer_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0511_00_Stranger,Linear_Objective,true,@0511_00_Stranger_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0524_00_Stranger,Linear_Objective,true,@0524_00_Stranger_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0507_00_Commander,Linear_Objective,true,@0507_00_Commander_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0507_01_Commander,Linear_Objective,false,@0507_01_Commander_DefaultDialog,,Marauder,,56,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
0507_01pre_Commander,Linear_Objective,false,@0507_01pre_Commander_DefaultDialog,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0507_02_Commander,Linear_Objective,false,@0507_02_Commander_DefaultDialog,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0507_03_Commander,Linear_Objective,false,@0507_03_Commander_DefaultDialog,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0508_00_Alchemist,Linear_Objective,true,@0508_00_Alchemist_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0508_01_Alchemist,Linear_Objective,false,@0508_01_Alchemist_DefaultDialog,,Syndicate,,56,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
0508_01pre_Alchemist,Linear_Objective,false,@0508_01pre_Alchemist_DefaultDialog,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0508_02_Alchemist,Linear_Objective,false,@0508_02_Alchemist_DefaultDialog,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0508_03_Alchemist,Linear_Objective,false,@0508_03_Alchemist_DefaultDialog,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0509_00_Adjudicator,Linear_Objective,true,@0509_01_Adjudicator_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0509_01_Adjudicator,Linear_Objective,false,@0509_01_Adjudicator_DefaultDialog,,Covenant,,56,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
0509_01pre_Adjudicator,Linear_Objective,false,@0509_01pre_Adjudicator_DefaultDialog,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0509_02_Adjudicator,Linear_Objective,false,@0509_02_Adjudicator_DefaultDialog,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0509_03_Adjudicator,Linear_Objective,false,@0509_03_Adjudicator_DefaultDialog,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510_00_Barkeep,Linear_Objective,true,@0510_00_Barkeep_DefaultDialog_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0522_00_Innkeep,Linear_Objective,true,@0522_00_Innkeep_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inn,,
Reekwater_Dungeon_Scylla_01,Conversation,true,@Reekwater_Dungeon_Scylla_DefaultDialogue_01,,,,,,,,,,,,,,,,,,Reekwater_Dungeon_Scylla_Offering,,,,,,,,,,,,
Reekwater_Dungeon_Scylla_02,Conversation,true,@Reekwater_Dungeon_Scylla_DefaultDialogue_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reekwater_Dungeon_Scylla_03,Conversation,true,@Reekwater_Dungeon_Scylla_DefaultDialogue_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reekwater_Dungeon_Scylla_04,Conversation,true,@Reekwater_Dungeon_Scylla_DefaultDialogue_04,,,,,,,,,,,,,,,,,,Reekwater_Dungeon_Scylla_Worthy,,,,,,,,,,,,
0525_00_Druid,Linear_Objective,true,@0525_00_Druid_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0525_01_Druid,Linear_Objective,false,@0525_01_Druid_DefaultDialog,,,,60,,,,0525_EXP_AncientHearts,,,,,,,,,,,,,,,,,,,,,,
0525_02_Druid,Linear_Objective,false,@0525_02_Druid_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
