ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredFactionCooldown,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
9801_Florina_Default,Linear_Objective,true,@9801_Florina_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9801_Florina_2,Linear_Objective,false,@9801_Florina_2_a,,!Covenant,,,17,,,,FactionIntro_Covenant_01,,,,,,,,,,,,,,,,,,,,,,
9801_Florina_VectorQuest,Linear_Objective,false,@9801_Florina_VectorQuest_a,,,,,,FactionIntro_Covenant_01,,,FactionIntro_Covenant_Vector_01,,,,,,,,,,,,,,,,,,,,,,
9801_Florina_3,Linear_Objective,false,@9801_Florina_3_a,,,,,,,FactionIntro_Covenant_Vector_01,FactionIntro_Covenant_Vector_01_Container,,,,,,,,,,,,,,,,,,,,,,,
9801_Florina_4,Linear_Objective,true,@9801_Florina_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9801_Florina_Recruitment,Linear_Objective,false,@9801_florina_02_recruitment_a,,,,,,FactionIntro_Covenant_03,,,FactionIntro_Covenant_Recruitment,,,,,,,,,,,,,,,,,,,,,,
9801_Florina_5,Linear_Objective,false,@9801_Florina_5,,Covenant,,,,FactionIntro_Covenant_03,,,,,,,,,,,,,,,,,,,,,,,,,
9801_Florina_Maxed,Linear_Objective,false,@9801_Florina_Maxed_a,,Covenant,,,60,FactionIntro_Covenant_03,,,,,,,,,,,,,,,,,,,,,,,,,
9802_Lethold_Default,Linear_Objective,true,@9802_Lethold_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9802_Lethold_2,Linear_Objective,false,@9802_Lethold_2_a,,,,,,FactionIntro_Covenant_Vector_01,,,FactionIntro_Covenant_02,,,,,,,,,,,,,,,,,,,,,,
9802_Lethold_VectorQuest,Linear_Objective,false,@9802_Lethold_VectorQuest_a,,,,,,FactionIntro_Covenant_02,,,FactionIntro_Covenant_Vector_02,,,,,,,,,,,,,,,,,,,,,,
9802_Lethold_3,Linear_Objective,false,@9802_Lethold_3,,,,,,,FactionIntro_Covenant_Vector_02,FactionIntro_Covenant_Vector_02_Container,,,,,,,,,,,,,,,,,,,,,,,
9802_Lethold_4,Linear_Objective,false,@9802_Lethold_4_a,,,,,,FactionIntro_Covenant_03,,,,,,,,,,,,,,,,,,,,,,,,,
9802_Lethold_5,Linear_Objective,false,@9802_Lethold_5,,Covenant,,,,FactionIntro_Covenant_03,,,,,,,,,,,,,,,,,,,,,,,,,
9802_Lethold_Maxed,Linear_Objective,false,@9802_Lethold_Maxed_a,,Covenant,,,60,FactionIntro_Covenant_03,,,,,,,,,,,,,,,,,,,,,,,,,
9803_Morellus_Default,Linear_Objective,true,@9803_Morellus_Default_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9803_Morellus_2,Linear_Objective,false,@9803_Morellus_2_a,,,,,,FactionIntro_Covenant_Vector_02,,,FactionIntro_Covenant_03,,,,,,,,,,,,,,,,,,,,,,
9803_Morellus_3,Linear_Objective,false,@9803_Morellus_3,,,,,,,FactionIntro_Covenant_03,FactionIntro_Covenant_03_Task4,,,,,,,,,,,,,,,,,,,,,,,
9803_Morellus_4,Linear_Objective,false,@9803_Morellus_4_a,,,,,,FactionIntro_Covenant_03,,,,,,,,,,,,,,,,,,,,,,,,,
