ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,Comment,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
99E_Sun_p1_00,Linear_Objective,true,@99E_Sun_p1_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p1_01,Linear_Objective,false,@99E_Sun_p1_01_a,,,,,99D_MSQ_10,,,Bestowal of EG MSQ01,99E_MSQ_01_EnterEdengrove,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p2_00,Linear_Objective,true,@99E_Sun_p2_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p3_01,Linear_Objective,false,@99E_Sun_p2_00,,,,,,99E_MSQ_01_EnterEdengrove,99E_MSQ_01_d_03_01_03_TalkTo_Sun_00,,,,,,,,,,,,Topic_99E_Sun_p2_01,,,,,,,,,,,,
99E_Sun_p4_01,Linear_Objective,false,@99E_MSQ_01_EnterEdengrove_sun_01_StartTalkTo_a,,,,,,99E_MSQ_01_EnterEdengrove,99E_MSQ_01_d_03_02_05_TalkTo_Sun_01,,,,,,,,,,,,Topic_99E_Sun_p4_01,,,,,,,,,,,,
99E_Sun_p5_01,Linear_Objective,false,@99E_MSQ_01_EnterEdengrove_sun_02_StartTalkTo_a,,,,,,99E_MSQ_01_EnterEdengrove,99E_MSQ_01_d_03_05_01_TalkTo_Sun_02,,,,,,,,,,,,Topic_99E_Sun_p5_01,,,,,,,,,,,,
99E_Sun_p6v1_00,Linear_Objective,true,@99E_Sun_p6v1_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p6v1_01,Linear_Objective,false,@99E_MSQ_01_EnterEdengrove_complete_available_response_a,,,,,,99E_MSQ_01_EnterEdengrove,99E_MSQ_01_d_04_03_TalkTo_Sun_02a,Rewired TalkTo at end of MSQ01,,,,,,,,,,,Topic_99E_Sun_p6v1_01,,,,,,,,,,,,
99E_Sun_p7_00,Linear_Objective,true,@99E_Sun_p7_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p7_01,Linear_Objective,false,@99E_MSQ_03_CollectSamples_sun_03_StartTalkTo_a,,,,,,99E_MSQ_03_CollectSamples,99E_MSQ_03_d_01_05_TalkTo_Sun_03,,,,,,,,,,,,Topic_99E_Sun_p7_01,,,,,,,,,,,,
99E_Sun_p8_00,Linear_Objective,true,@99E_Sun_p8_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p8_01,Linear_Objective,false,@99E_MSQ_03_CollectSamples_sun_04_StartTalkTo_a,,,,,,99E_MSQ_03_CollectSamples,99E_MSQ_03_d_02_05_TalkTo_Sun_04,,,,,,,,,,,,Topic_99E_Sun_p8_01,,,,,,,,,,,,
99E_Sun_p9_00,Linear_Objective,true,@99E_Sun_p9_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p9_01,Linear_Objective,false,@99E_MSQ_03_CollectSamples_sun_05_StartTalkTo_a,,,,,,99E_MSQ_03_CollectSamples,99E_MSQ_03_d_03_02_05_TalkTo_Sun_05,,,,,,,,,,,,Topic_99E_Sun_p9_01,,,,,,,,,,,,
