ConversationTopicId,PlayerPrompt,NPCResponse,AchievementUnlock,RequiredAchievement,RequiredFaction,RequiredLevel
1201_Watcher_Death,@1201_Watcher_Death_Prompt,@1201_Watcher_Death_Response,,,,
1201_Watcher_Corruption,@1201_Watcher_Corruption_Prompt,@1201_Watcher_Corruption_Response,,,,
1202_Magistrate_Monarchs,@1202_Magistrate_Monarchs_Prompt,@1202_Magistrate_Monarchs_Response,,,,
1202_Magistrate_Factions,@1202_Magistrate_Factions_Prompt,@1202_Magistrate_Factions_Response,S_factionchoiceready,S_factiontalkedto,,
1222_Innkeep_WhereNow,@1222_Innkeep_WhereNow_Prompt,@1222_Innkeep_WhereNow_Response,,,,
1222_Innkeep_WhyHouse,@1222_Innkeep_WhyHouse_Prompt,@1222_Innkeep_WhyHouse_Response,,,,
Survivalist1203_01,@Survivalist1203_01_Prompt,@Survivalist1203_01_Response,,,,
1202_Marauder_talk,@1202_Marauder_talk_Prompt,@1202_Marauder_talk_Response,S_introtomarauders,S_introtoallfactions_accepted,,
1202_Syndicate_talk,@1202_Syndicate_talk_Prompt,@1202_Syndicate_talk_Response,S_introtosyndicate,S_introtoallfactions_accepted,,
1202_Covenant_talk,@1202_Covenant_talk_Prompt,@1202_Covenant_talk_Response,S_introtocovenant,S_introtoallfactions_accepted,,
1202_Marauder_dye_talk,@1202_Marauder_dye_talk_Prompt,@1202_Marauder_dye_talk_Response,,S_marauderquest1,,
1202_Syndicate_dye_talk,@1202_Syndicate_dye_talk_Prompt,@1202_Syndicate_dye_talk_Response,,S_syndicatequest1,,
1202_Covenant_dye_talk,@1202_Covenant_dye_talk_Prompt,@1202_Covenant_dye_talk_Response,,S_covenantquest1,,
1204_Constable_EncroachingCorruption,@1204_Constable_EncroachingCorruption_prompt,@1204_Constable_EncroachingCorruption,S_encroachingconstable,,,
1225_Giacomo_HousingGeneral,@1225_Giacomo_HousingGeneral_Prompt,@1225_Giacomo_HousingGeneral_Response,,S_downpayment,,
1225_Giacomo_HousingStorage,@1225_Giacomo_HousingStorage_Prompt,@1225_Giacomo_HousingStorage_Response,,12_Quest_Housing_3b,,
1225_Giacomo_HousingTrophy,@1225_Giacomo_HousingTrophy_Prompt,@1225_Giacomo_HousingTrophy_Response,,12_Quest_Housing_6,,
