ConversationTopicId,PlayerPrompt,NPCResponse,AchievementUnlock,RequiredAchievement,RequiredFaction,RequiredLevel
12A_Don,@12A_Don_Prompt,@12A_Don_Response,,,,
12A_Shae,@12A_Shae_Prompt,@12A_Shae_Response,,,,
12A_Shazaan,@12A_Shazaan_Prompt,@12A_Shazaan_Response,,,,
12A_Tomira,@12A_Tomira_Prompt,@12A_Tomira_Response,,,,
12A_Chandu,@12A_Chandu_Prompt,@12A_Chandu_Response,,,,
12_01_MSQ_04_SerPayneBennett,@12A_MSQ_04_TalktoPayne_prompt,@12A_MSQ_04_TalktoPayne,12A_PayneTalk01,,,
12_02_MSQ_12_SerPayneBennett,@12A_MSQ_12_CampTutorial_TalkTo_Prompt,@12A_MSQ_12_CampTutorial_TalkTo_Response,12A_PayneTalk02,,,
12_03_MSQ_10_Lochnir_Explains,@12A_MSQ_10_Lochnir_Explains_prompt,@12A_MSQ_10_Lochnir_Explains,12A_LochnirTalk01,,,
12_11_MSQ_15_GraceOMalley,@12A_MSQ_15_DefeatNavigator_TalkTo_Prompt,@12A_MSQ_15_DefeatNavigator_TalkTo_Response,12A_Grace15,,,
12A_MSQ_17_LochnirsNotes_TalkLochnir,@12A_MSQ_17_LochnirsNotes_TalkLochnir_Prompt,@12A_MSQ_17_LochnirsNotes_TalkLochnir_Response,12A_Lochnir17,,,
12A_MSQ_17_YoungeGeiser,@12A_MSQ_17_LochnirsNotes_TalkTo_Prompt,@12A_MSQ_17_LochnirsNotes_TalkTo_Response,12A_Geiser17,,,
12A_MSQ_19_RegentJinJae,@12A_MSQ_19_MeetPercilla_TalkTo_Prompt,@12A_MSQ_19_MeetPercilla_TalkTo_Response,12A_Regent19,,,
12_12_MSQ_15_GraceOMalley,@12A_MSQ_15_DefeatNavigator_Obj_Proposal_Next3_prompt,@12A_MSQ_15_DefeatNavigator_Obj_Proposal_Next3,12A_Grace15A,,,
