ConversationTopicId,PlayerPrompt,NPCResponse,AchievementUnlock,RequiredAchievement,RequiredFaction,RequiredLevel,ProvidedTopics
Topic_95_s01_02_TalkTo_Skye_HelpAidyn,@95_s01_02_TEMP_FirstCustomer_TalkToSkye_prompt,@95_s01_02_TEMP_FirstCustomer_TalkToSkye_next,,,,,
Topic_95_s01_02a_TalkTo_Shailyn_HelpCurse,@95_s01_02a_TEMP_TheCurse_TalkToShailyn_prompt,@95_s01_02a_TEMP_TheCurse_TalkToShailyn_next,,,,,
Topic_95_s01_02a_TalkTo_Skye_AnswerCurse,@95_s01_02a_TEMP_TheCurse_TalkToSkye_prompt,@95_s01_02a_TEMP_TheCurse_TalkToSkye_next,Topic_95_s01_02a_TalkTo_Skye_AnswerCurse,,,,
Topic_95_s01_03a_TalkTo_Grace_ReadyInterviews,@95_s01_03_CROW_BestOfAeternum_tavern_prompt,@95_s01_03_CROW_BestOfAeternum_tavern_talkto,,,,,
Topic_95_s01_04_TalkTo_Zander_FirstMeet,@95_s01_04_CROW_ZanderTheRed_TalkTo_FirstMeet_prompt,@95_s01_04_CROW_ZanderTheRed_TalkTo_FirstMeet_next,,,,,
Topic_95_s01_04_TalkTo_Eynon_HelpSalve,@95_s01_04_CROW_ZanderTheRed_TalkToEynon_HelpSalve_prompt,@95_s01_04_CROW_ZanderTheRed_TalkToEynon_HelpSalve_next,,,,,
Topic_95_s01_05_TalkTo_Granny_Zander,@95_s01_05_CROW_CanonAndCoin_TalkTo_Granny_Zander_prompt,@95_s01_05_CROW_CanonAndCoin_TalkTo_Granny_Zander_next,,,,,
Topic_95_s01_05_TalkTo_Marty,@95_s01_05_CROW_CanonAndCoin_TalkTo_Marty_prompt,@95_s01_05_CROW_CanonAndCoin_TalkTo_Marty_next,,,,,
Topic_95_s01_05_TalkTo_Amis,@95_s01_05_CROW_CanonAndCoin_TalkTo_Amis_prompt,@95_s01_05_CROW_CanonAndCoin_TalkTo_Amis_next,,,,,
Topic_95_s01_05_TalkTo_Dicun_Investigate,@95_s01_05_CROW_CanonAndCoin_TalkTo_Dicun_Investigate_prompt,@95_s01_05_CROW_CanonAndCoin_TalkTo_Dicun_Investigate_next,,,,,
Topic_95_s01_05_TalkTo_Dicun_CaughtStealing,@95_s01_05_CROW_CanonAndCoin_TalkTo_Dicun_CaughtStealing_prompt,@95_s01_05_CROW_CanonAndCoin_TalkTo_Dicun_CaughtStealing_next,,,,,
Topic_95_s01_05_TalkTo_Granny_ZanderCanJoin,@95_s01_05_CROW_CanonAndCoin_TalkTo_Granny_ZanderCanJoin_prompt,@95_s01_05_CROW_CanonAndCoin_TalkTo_Granny_ZanderCanJoin_next,,,,,
Topic_95_s01_05_TalkTo_Zander_CanJoin,@95_s01_05_CROW_CanonAndCoin_TalkTo_Zander_CanJoin_prompt,@95_s01_05_CROW_CanonAndCoin_TalkTo_Zander_CanJoin_next,,,,,Topic_95_s01_05_TalkTo_Zander_CaughtPriest
Topic_95_s01_05_TalkTo_Zander_CaughtPriest,@95_s01_05_CROW_CanonAndCoin_TalkTo_Zander_CaughtPriest_topicprompt,@95_s01_05_CROW_CanonAndCoin_TalkTo_Zander_CaughtPriest_cue,,!95_s01_05_DicunGetsAwayTimeline,,,
Topic_95_s01_06_TalkTo_Skye_Impatient,@95_s01_06_TEMP_SupplyChains_TalkTo_Skye_Impatient_prompt,@95_s01_06_TEMP_SupplyChains_TalkTo_Skye_Impatient_next,,,,,"Topic_95_s01_06_TalkTo_Skye_Straight,Topic_95_s01_06_TalkTo_Skye_Joke,Topic_95_s01_06_TalkTo_Skye_Flirt"
