ConversationTopicId,PlayerPrompt,NPCResponse,AchievementUnlock,RequiredAchievement,RequiredFaction,RequiredLevel,ProvidedTopics
Topic_95_s04_01_Talk_Quam_Varang,@95_s04_01_SearchRing_Talk_Quam_Varang_prompt,@95_s04_01_SearchRing_Talk_Quam_Varang_response,,,,,
Topic_95_s04_01_Talk_Mordred_Haughty,@95_s04_01_SearchRing_Talk_Mordred_Haughty_prompt,@95_s04_01_SearchRing_Talk_Mordred_Haughty_response,,,,,
Topic_95_s04_01_Talk_Morgaine_Cabin,@95_s04_01_SearchRing_Talk_Morgaine_Cabin_prompt,@95_s04_01_SearchRing_Talk_Morgaine_Cabin_response,,,,,
Topic_95_s04_02_Talk_Daichi_Enenra,@95_s04_02_GetDaichi_Talk_Daichi_Enenra_prompt,@95_s04_02_GetDaichi_Talk_Daichi_Enenra_response,,,,,
Topic_95_s04_02_Talk_Daichi_sealed,@95_s04_02_GetDaichi_Talk_Daichi_sealed_prompt,@95_s04_02_GetDaichi_Talk_Daichi_sealed_response,,,,,
Topic_95_s04_02_Talk_Daichi_fight,@95_s04_02_GetDaichi_Talk_Daichi_fight_prompt,@95_s04_02_GetDaichi_Talk_Daichi_fight_response,,,,,
Topic_95_s04_02_Talk_Daichi_onboarded,@95_s04_02_GetDaichi_Talk_Daichi_onboarded_prompt,@95_s04_02_GetDaichi_Talk_Daichi_onboarded_response,,,,,
Topic_95_s04_05_Talk_Zander_RuneForge,@95_s04_05_RetrieveRune_Talk_Zander_RuneForge_prompt,@95_s04_05_RetrieveRune_Complete,,,,,
Topic_95_s04_03_Talk_Daichi_GiveCharm,@95_s04_03_EnterCastle_Talk_Daichi_GiveCharm_prompt,@95_s04_03_EnterCastle_Talk_Daichi_GiveCharm_response,,,,,
Topic_95_s04_03_Talk_Morgaine_IceResearch,@95_s04_03_EnterCastle_Talk_Morgaine_IceResearch_prompt,@95_s04_03_EnterCastle_Talk_Morgaine_IceResearch_response,,,,,
Topic_95_s04_04_Talk_Mordred_CantStopMe,@95_s04_04_FightMage_Talk_Mordred_CantStopMe_prompt,@95_s04_04_FightMage_Talk_Mordred_CantStopMe_response,,,,,
Topic_95_s04_06_Talk_Daichi_JournalRunes,@95_s04_06_StopDevice_Talk_Daichi_JournalRunes_prompt,@95_s04_06_StopDevice_Talk_Daichi_JournalRunes_response,,,,,
Topic_95_s04_06_Talk_Daichi_HelpFallsDoor,@95_s04_06_StopDevice_Talk_Daichi_HelpFallsDoor_prompt,@95_s04_06_StopDevice_Talk_Daichi_HelpFallsDoor_response,,,,,
Topic_95_s04_07_Talk_Daichi_DefeatedMordred,@95_s04_07_WrapFrost_Talk_Daichi_DefeatedMordred_prompt,@95_s04_07_WrapFrost_Talk_Daichi_DefeatedMordred_response,,,,,
