ConversationTopicId,PlayerPrompt,NPCResponse,AchievementUnlock,RequiredAchievement,RequiredFaction,RequiredLevel
Topic_99E_Sun_p2_01,@99E_MSQ_01_EnterEdengrove_sun_00_prompt,@99E_Sun_p3_01,,,,
Topic_99E_Sun_p4_01,@99E_MSQ_01_EnterEdengrove_sun_01_prompt,@99E_MSQ_01_EnterEdengrove_sun_01_TalkTo_next,,,,
Topic_99E_Sun_p5_01,@99E_MSQ_01_EnterEdengrove_sun_02_prompt,@99E_MSQ_01_EnterEdengrove_sun_02_TalkTo_next,,,,
Topic_99E_Sun_p6v1_01,@99E_MSQ_01_EnterEdengrove_complete_available_response_next_prompt,@99E_MSQ_01_EnterEdengrove_complete_available_response_next,,,,
Topic_99E_Sun_p7_01,@99E_MSQ_03_CollectSamples_sun_03_prompt,@99E_MSQ_03_CollectSamples_sun_03_TalkTo_next,,,,
Topic_99E_Sun_p8_01,@99E_MSQ_03_CollectSamples_sun_04_prompt,@99E_MSQ_03_CollectSamples_sun_04_TalkTo_next,,,,
Topic_99E_Sun_p9_01,@99E_MSQ_03_CollectSamples_sun_05_prompt,@99E_MSQ_03_CollectSamples_sun_05_TalkTo_next,,,,
Topic_99E_Sun_p11_01,@99E_MSQ_04_MotherwellClues_sun_06_prompt,@99E_MSQ_04_MotherwellClues_sun_06_TalkTo_next,,,,
Topic_99E_Sun_p6v2_01,@99E_MSQ_04_MotherwellClues_sun_07_prompt,@99E_MSQ_04_MotherwellClues_sun_07_TalkTo_next,,,,
Topic_99E_Sun_p15_01,@99E_MSQ_08_AdianaPermission_sun_08_prompt,@99E_MSQ_08_AdianaPermission_sun_08_TalkTo_next,,,,
Topic_99E_Morgaine_p1_01,@99E_MSQ_01_EnterEdengrove_morgaine_01_prompt,@99E_MSQ_01_EnterEdengrove_morgaine_01_TalkTo_next,,,,
Topic_99E_Morgaine_p1_02,@99E_MSQ_01_EnterEdengrove_morgaine_02_prompt,@99E_MSQ_01_EnterEdengrove_morgaine_02_TalkTo_next,,,,
Topic_99E_Morgaine_p3_01,@99E_MSQ_02_MyrddinClues_morgaine_03_prompt,@99E_MSQ_02_MyrddinClues_morgaine_03_TalkTo_next,,,,
Topic_99E_Morgaine_p4_01,@99E_MSQ_02_MyrddinClues_morgaine_04_prompt,@99E_MSQ_02_MyrddinClues_morgaine_04_TalkTo_next,,,,
Topic_99E_Morgaine_p5_01,@99E_MSQ_02_MyrddinClues_morgaine_05_prompt,@99E_MSQ_02_MyrddinClues_morgaine_05_TalkTo_next,,,,
Topic_99E_Morgaine_p8_01,@99E_MSQ_05_UnlockPrison_morgaine_06_prompt,@99E_MSQ_05_UnlockPrison_morgaine_06_TalkTo_next,,,,
Topic_99E_Morgaine_p10_01,@99E_MSQ_06_MyrddinsPrison_morgaine_07_prompt,@99E_MSQ_06_MyrddinsPrison_morgaine_07_TalkTo_next,,,,
Topic_99E_Morgaine_p10_02,@99E_MSQ_06_MyrddinsPrison_morgaine_08_prompt,@99E_MSQ_06_MyrddinsPrison_morgaine_08_TalkTo_next,,,,
Topic_99E_Galahad_p1_01,@99E_MSQ_05_UnlockPrison_galahad_01_prompt,@99E_MSQ_05_UnlockPrison_galahad_01_TalkTo_next,,,,
Topic_99E_Galahad_p3_01,@99E_MSQ_05_UnlockPrison_galahad_02_prompt,@99E_MSQ_05_UnlockPrison_galahad_02_TalkTo_next,,,,
Topic_99E_Galahad_p4a_01,@99E_MSQ_06_MyrddinsPrison_galahad_04a_prompt,@99E_MSQ_06_MyrddinsPrison_galahad_04a_TalkTo_next,,,,
Topic_99E_Myrddin_01,@99E_MSQ_06_MyrddinsPrison_myrddin_01_prompt,@99E_MSQ_06_MyrddinsPrison_myrddin_01_TalkTo_next,,,,
Topic_99E_Adiana_01,@99E_MSQ_08_AdianaPermission_adiana_01_prompt,@99E_MSQ_08_AdianaPermission_adiana_01_TalkTo_next,,,,
Topic_99E_Yash_p1_01,@99E_MSQ_10_ToCaerDun_yash_01_prompt,@99E_MSQ_10_ToCaerDun_yash_01_TalkTo_next,,,,
Topic_99E_Yash_p2_01,@99E_MSQ_10_ToCaerDun_yash_02_prompt,@99E_MSQ_10_ToCaerDun_yash_02_TalkTo_next,,,,
