ConversationTopicId,PlayerPrompt,NPCResponse,AchievementUnlock,RequiredAchievement,RequiredFaction,RequiredLevel
99G_FreePrisoner_Yash_TalkTo_01,@99G_MSQ01_FreePrisoner_Yash_TalkTo_Start_prompt,@99G_MSQ01_FreePrisoner_Yash_TalkTo01,,,,
99G_FreePrisoner_Russo_TalkTo_01,@99G_MSQ01_FreePrisoner_Russo_TalkToA_Start_prompt,@99G_MSQ01_FreePrisoner_Russo_TalkToA_01,,,,
99G_FreePrisoner_Russo_TalkTo_02,@99G_MSQ01_FreePrisoner_Russo_TalkToB_Start_prompt,@99G_MSQ01_FreePrisoner_Russo_TalkToB_01,,,,
99G_AttackMentally_Russo_TalkTo_01,@99G_MSQ03_AttackMentally_Russo_TalkToA_Start_prompt,@99G_MSQ03_AttackMentally_Russo_TalkToA_01,,,,
99G_AttackMentally_Russo_TalkTo_02,@99G_MSQ03_AttackMentally_Russo_TalkToB_Start_prompt,@99G_MSQ03_AttackMentally_Russo_TalkToB_01,,,,
99G_HealAlly_Phaeris_TalkTo_01,@99G_MSQ04_HealAlly_Phaeris_TalkToA_Start_prompt,@99G_MSQ04_HealAlly_Phaeris_TalkToA_01,,,,
99G_HealAlly_Phaeris_TalkTo_02,@99G_MSQ04_HealAlly_Phaeris_TalkToB_Start_prompt,@99G_MSQ04_HealAlly_Phaeris_TalkToB_01,,,,
99G_HealAlly_Adiana_TalkTo_01,@99G_MSQ04_HealAlly_Adiana_TalkTo_Start_prompt,@99G_MSQ04_HealAlly_Adiana_TalkTo_Start01,,,,
99G_HealAlly_Phaeris_TalkTo_03,@99G_MSQ04_HealAlly_Phaeris_TalkToC_Start_prompt,@99G_MSQ04_HealAlly_Phaeris_TalkToC_01,,,,
99G_HealAlly_Morgaine_TalkTo_00,@99G_MSQ04_HealAlly_Morgaine_TalkTo00_Start_Greet_prompt,@99G_MSQ04_HealAlly_Morgaine_TalkTo00,,,,
99G_HealAlly_Morgaine_TalkTo_01,@99G_MSQ04_HealAlly_Morgaine_TalkTo_Start_prompt,@99G_MSQ04_HealAlly_Morgaine_TalkTo01,,,,
99G_HealAlly_Phaeris_TalkTo_04,@99G_MSQ04_HealAlly_Phaeris_TalkToD_Start_prompt,@99G_MSQ04_HealAlly_Phaeris_TalkToD_01,,,,
99G_ReconnectHive_Morgaine_TalkTo_01,@99G_MSQ05_ReconnectHive_Morgaine_TalkTo_Start_prompt,@99G_MSQ05_ReconnectHive_Morgaine_TalkTo01,,,,
99G_ReconnectHive_Phaeris_TalkTo_01,@99G_MSQ05_ReconnectHive_Phaeris_TalkTo_Start_prompt,@99G_MSQ05_ReconnectHive_Phaeris_TalkTo01,,,,
99G_ActivateCrystals_Yash_TalkTo_01,@99G_MSQ06_ActivateCrystals_Yash_TalkTo_Start_prompt,@99G_MSQ06_ActivateCrystals_Yash_TalkTo_Start01,,,,
99G_PlantBombs_Sun_TalkTo_01,@99G_MSQ07_PlantBombs_Sun_TalkToA_Start_prompt,@99G_MSQ07_PlantBombs_Sun_TalkToA_Start01,,,,
99G_PlantBombs_Sun_TalkTo_02,@99G_MSQ07_PlantBombs_Sun_TalkToB_Start_prompt,@99G_MSQ07_PlantBombs_Sun_TalkToB_Start00,,,,
99G_PrepareWarfare_Morgaine_TalkTo_01,@99G_MSQ09_PrepareWarfare_Morgaine_TalkTo_Start_prompt,@99G_MSQ09_PrepareWarfare_Morgaine_TalkTo_Start01,,,,
99G_PrepareWarfare_Sun_TalkTo_01,@99G_MSQ09_PrepareWarfare_Sun_TalkTo_Start_prompt,@99G_MSQ09_PrepareWarfare_Sun_TalkTo_Start01,,,,
99G_PrepareWarfare_Phaeris_TalkTo_01,@99G_MSQ09_PrepareWarfare_Phaeris_TalkTo_Start_Prompt,@99G_MSQ09_PrepareWarfare_Phaeris_TalkTo01,,,,
99G_PrepareWarfare_Yash_TalkTo_01,@99G_MSQ09_PrepareWarfare_Yash_TalkTo_Start_Prompt,@99G_MSQ09_PrepareWarfare_Yash_TalkTo01,,,,
99G_AssaultStronghold_Grace_TalkTo_01,@99G_MSQ10_AssaultStronghold_Grace_TalkTo_Start_prompt,@99G_MSQ10_AssaultStronghold_Grace_TalkTo01,,,,
99G_BidFarewell_Grace_TalkTo_01,@99G_MSQ12_BidFarewell_Grace_TalkTo_Start_prompt,@99G_MSQ12_BidFarewell_Grace_TalkTo_Start01,,,,
