ConversationTopicId,PlayerPrompt,NPCResponse,AchievementUnlock,RequiredAchievement,RequiredFaction,RequiredLevel
C10A_Patricia_M1,@C10A_Patricia_TalkTo_Prompt,@C10A_Patricia_TalkTo_Topic,,,,
C10A_Patricia_PvP,@C10A_Patricia_Prompt_PvP,@C10A_Patricia_Topic_PvP,,,,
C10A_Perseus_1_a,@C10A_Perseus_1_a_Prompt,@C10A_Perseus_1_a_Topic,,,,
C10A_Perseus_1_S,@C10A_Perseus_1_S_Prompt,@C10A_Perseus_1_S_Topic,,,,
C10A_Perseus_1_M,@C10A_Perseus_1_M_Prompt,@C10A_Perseus_1_M_Topic,,,,
C10A_Perseus_1_C,@C10A_Perseus_1_C_Prompt,@C10A_Perseus_1_C_Topic,,,,
C10A_Perseus_2_a,@C10A_Perseus_2_a_Prompt,@C10A_Perseus_2_a_Topic,,,,
C10A_Perseus_2_S,@C10A_Perseus_2_S_Prompt,@C10A_Perseus_2_S_Topic,,,,
C10A_Perseus_2_M,@C10A_Perseus_2_M_Prompt,@C10A_Perseus_2_M_Topic,,,,
C10A_Perseus_2_C,@C10A_Perseus_2_C_Prompt,@C10A_Perseus_2_C_Topic,,,,
C10A_Perseus_3_a,@C10A_Perseus_3_a_Prompt,@C10A_Perseus_3_a_Topic,,,,
C10A_Perseus_3_S,@C10A_Perseus_3_S_Prompt,@C10A_Perseus_3_S_Topic,,,,
C10A_Perseus_3_M,@C10A_Perseus_3_M_Prompt,@C10A_Perseus_3_M_Topic,,,,
C10A_Perseus_3_C,@C10A_Perseus_3_C_Prompt,@C10A_Perseus_3_C_Topic,,,,
Dungeon_CutlassKeys00_Scalleywag_01,@Dungeon_CutlassKeys00_Scalleywag_01_Prompt,@Dungeon_CutlassKeys00_Scalleywag_01_Response,,,,
Dungeon_CutlassKeys00_Scalleywag_02,@Dungeon_CutlassKeys00_Scalleywag_02_Prompt,@Dungeon_CutlassKeys00_Scalleywag_02_Response,,,,
Dungeon_CutlassKeys00_Scalleywag_03,@Dungeon_CutlassKeys00_Scalleywag_03_Prompt,@Dungeon_CutlassKeys00_Scalleywag_03_Response,,,,
Dungeon_CutlassKeys00_Mariner_01,@Dungeon_CutlassKeys00_Mariner_01_Prompt,@Dungeon_CutlassKeys00_Mariner_01_Response,,,,
