RecipeID,FirstCraftAchievementId,RecipeNameOverride,CraftingCategory,CraftingGroup,AdditionalFilterText,RecipeTags,DisplayIngredients,bKnownByDefault,bListedByDefault,CraftAll,IsRefining,IsProcedural,AttributeOnlyPerkItemSlotCount,MaxPerkItemsAllowed,PerkItemsBucketPush,IsTemporary,CraftingFee,UseCraftingTax,Tradeskill,RecipeLevel,StationType1,StationType2,StationType3,StationType4,OutputQty,ItemID,SkipGrantItems,SkipGrantItemsDesc,SkipGrantItemsTitle,SkipGrantItemsBody,BaseGearScore,BaseTier,RequiredAchievementID,UnlockedAchievementID,UnlockedAchievementBlocksRecrafting,Ingredient1,Type1,Ingredient2,Type2,Ingredient3,Type3,Ingredient4,Type4,Ingredient5,Type5,Ingredient6,Type6,Ingredient7,Type7,Qty1,Qty2,Qty3,Qty4,Qty5,Qty6,Qty7,GameEventID,Game Event Validation,CooldownSeconds,CooldownQuantity,GearScoreBonus,GearScoreReduction,BonusItemChance,BonusItemChanceIncrease,BonusItemChanceDecrease,PerkCost,RequiredExpansion
Artisan_HealthRecoveryT5,FC_Artisan_Procedural_HealthRecoveryT5,@Artisan_HealthRecoveryT5_MasterName,ArtisanCrafting,FoodRecovery,@ui_food,,,true,true,true,true,false,,,,false,0,1,Cooking,200,cooking2,,,,1,Artisan_HealthRecoveryT5,,,,,,5,,,,FlourT1,Item,YeastT1,Item,CheeseT1,Item,SeasoningBlendT1,Item,WaterT1,Item,,,,,1,1,1,1,1,,,Craft_CookingT5_special,true,,,,,1,,,,
Artisan_FoodCONT5,FC_Artisan_FoodCONT5,@Artisan_FoodCONT5_MasterName,ArtisanCrafting,FoodCON,@ui_food,,,true,true,true,true,false,,,,false,90,1,Cooking,200,cooking2,,,,1,Artisan_FoodCONT5,,,,,,,,,,RabbitT1,Item,ButterT1,Item,BroccoliT1,Item,CauliflowerT1,Item,SquashT1,Item,TarragonT1,Item,OreganoT1,,1,1,1,1,1,1,1,Craft_CookingT5_special,true,,,,,,,,,
Procedural Cooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,
Procedural_HealthRecoveryT1,FC_Procedural_HealthRecoveryT1,@Procedural_HealthRecoveryT1,BasicCooking,FoodRecovery,@ui_food,,,true,true,true,true,true,,,,false,0,1,Cooking,0,cooking2,camp1,,,1,FoodHealthRecoveryT1,,,,,,1,,,,FoodIngredientT1,Category_Only,,,,,,,,,,,,,1,,,,,,,Craft_CookingT1,true,,,,,0,"0.25,0.35,0.45,0.5,0.55","-0.05,-0.1,-0.15,-0.2,-0.25",,
Procedural_HealthRecoveryT2,FC_Procedural_HealthRecoveryT2,@Procedural_HealthRecoveryT2,BasicCooking,FoodRecovery,@ui_food,,,true,true,true,true,true,,,,false,0,1,Cooking,1,cooking2,camp2,,,5,FoodHealthRecoveryT2,,,,,,2,,,,FoodIngredientT2,Category_Only,FoodIngredient,Category_Only,,,,,,,,,,,5,5,,,,,,Craft_CookingT2,true,,,,,0,"0.25,0.35,0.45,0.5,0.55","-0.05,-0.1,-0.15,-0.2,-0.25",,
Procedural_HealthRecoveryT3,FC_Procedural_HealthRecoveryT3,@Procedural_HealthRecoveryT3,BasicCooking,FoodRecovery,@ui_food,,,true,true,true,true,true,,,,false,0,1,Cooking,50,cooking2,camp3,,,5,FoodHealthRecoveryT3,,,,,,3,,,,FoodIngredientT3,Category_Only,FoodIngredient,Category_Only,FoodIngredient,Category_Only,,,,,,,,,5,5,5,,,,,Craft_CookingT3,true,,,,,-0.02,"0.25,0.35,0.45,0.5,0.55","-0.05,-0.1,-0.15,-0.2,-0.25",,
Procedural_HealthRecoveryT4,FC_Procedural_HealthRecoveryT4,@Procedural_HealthRecoveryT4,BasicCooking,FoodRecovery,@ui_food,,,true,true,true,true,true,,,,false,0,1,Cooking,100,cooking2,camp4,,,5,FoodHealthRecoveryT4,,,,,,4,,,,FoodIngredientT4,Category_Only,FoodIngredient,Category_Only,FoodIngredient,Category_Only,FoodIngredient,Category_Only,,,,,,,5,5,5,5,,,,Craft_CookingT4,true,,,,,-0.05,"0.25,0.35,0.45,0.5,0.55","-0.05,-0.1,-0.15,-0.2,-0.25",,
Procedural_HealthRecoveryT5,FC_Procedural_HealthRecoveryT5,@Procedural_HealthRecoveryT5,BasicCooking,FoodRecovery,@ui_food,,,true,true,true,true,true,,,,false,0,1,Cooking,150,cooking2,camp5,,,5,FoodHealthRecoveryT5,,,,,,5,,,,FoodIngredientT5,Category_Only,FoodIngredient,Category_Only,FoodIngredient,Category_Only,FoodIngredient,Category_Only,Seasoning,Category_Only,,,,,5,5,5,5,5,,,Craft_CookingT5,true,,,,,-0.07,"0.25,0.35,0.45,0.5,0.55","-0.05,-0.1,-0.15,-0.2,-0.25",,
Procedural_ManaRecoveryT1,FC_Procedural_ManaRecoveryT1,@Procedural_ManaRecoveryT1,BasicCooking,FoodRecovery,@ui_food,,,true,true,true,true,true,,,,false,0,1,Cooking,1,cooking2,camp1,,,1,FoodManaT1,,,,,,1,,,,FoodIngredientT1,Category_Only,,,,,,,,,,,,,1,,,,,,,Craft_CookingT1,true,,,,,0,"0.25,0.35,0.45,0.5,0.55","-0.05,-0.1,-0.15,-0.2,-0.25",,
Procedural_ManaRecoveryT2,FC_Procedural_ManaRecoveryT2,@Procedural_ManaRecoveryT2,BasicCooking,FoodRecovery,@ui_food,,,true,true,true,true,true,,,,false,0,1,Cooking,2,cooking2,camp2,,,5,FoodManaT2,,,,,,2,,,,FoodIngredientT2,Category_Only,FoodIngredient,Category_Only,,,,,,,,,,,5,5,,,,,,Craft_CookingT2,true,,,,,0,"0.25,0.35,0.45,0.5,0.55","-0.05,-0.1,-0.15,-0.2,-0.25",,
Procedural_ManaRecoveryT3,FC_Procedural_ManaRecoveryT3,@Procedural_ManaRecoveryT3,BasicCooking,FoodRecovery,@ui_food,,,true,true,true,true,true,,,,false,0,1,Cooking,50,cooking2,camp3,,,5,FoodManaT3,,,,,,3,,,,FoodIngredientT3,Category_Only,FoodIngredient,Category_Only,FoodIngredient,Category_Only,,,,,,,,,5,5,5,,,,,Craft_CookingT3,true,,,,,-0.02,"0.25,0.35,0.45,0.5,0.55","-0.05,-0.1,-0.15,-0.2,-0.25",,
Procedural_ManaRecoveryT4,FC_Procedural_ManaRecoveryT4,@Procedural_ManaRecoveryT4,BasicCooking,FoodRecovery,@ui_food,,,true,true,true,true,true,,,,false,0,1,Cooking,100,cooking2,camp4,,,5,FoodManaT4,,,,,,4,,,,FoodIngredientT4,Category_Only,FoodIngredient,Category_Only,FoodIngredient,Category_Only,FoodIngredient,Category_Only,,,,,,,5,5,5,5,,,,Craft_CookingT4,true,,,,,-0.05,"0.25,0.35,0.45,0.5,0.55","-0.05,-0.1,-0.15,-0.2,-0.25",,
Procedural_ManaRecoveryT5,FC_Procedural_ManaRecoveryT5,@Procedural_ManaRecoveryT5,BasicCooking,FoodRecovery,@ui_food,,,true,true,true,true,true,,,,false,0,1,Cooking,150,cooking2,camp5,,,5,FoodManaT5,,,,,,5,,,,FoodIngredientT5,Category_Only,FoodIngredient,Category_Only,FoodIngredient,Category_Only,FoodIngredient,Category_Only,Seasoning,Category_Only,,,,,5,5,5,5,5,,,Craft_CookingT5,true,,,,,-0.07,"0.25,0.35,0.45,0.5,0.55","-0.05,-0.1,-0.15,-0.2,-0.25",,
Cooking Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,
FlourT1,FC_FlourT1,,BasicCooking,FoodComponents,,,,true,true,true,true,false,,,,false,5,1,Cooking,5,cooking2,,,,1,FlourT1,,,,,,1,,,,Grain,Category_Only,,,,,,,,,,,,,2,,,,,,,Craft_CookingT1,true,,,,,0,,,,
CookingOilT1,FC_CookingOilT1,,BasicCooking,FoodComponents,,,,true,true,true,true,false,,,,false,5,1,Cooking,5,cooking2,,,,1,CookingOilT1,,,,,,,,,,FishOilT1,Item,NutT1,Item,,,,,,,,,,,2,1,,,,,,Craft_CookingT1,true,,,,,0,,,,
CheeseT1,FC_CheeseT1,,BasicCooking,FoodComponents,,,,true,true,true,true,false,,,,false,5,1,Cooking,5,cooking2,,,,1,CheeseT1,,,,,,,,,,MilkT1,Item,YeastT1,Item,,,,,,,,,,,2,1,,,,,,Craft_CookingT1,true,,,,,0,,,,
ButterT1,FC_ButterT1,,BasicCooking,FoodComponents,,,,true,true,true,true,false,,,,false,5,1,Cooking,5,cooking2,,,,1,ButterT1,,,,,,,,,,MilkT1,Item,,,,,,,,,,,,,2,,,,,,,Craft_CookingT1,true,,,,,0,,,,
PastaT1,FC_PastaT1,,BasicCooking,FoodComponents,,,,true,true,true,true,false,,,,false,5,1,Cooking,5,cooking2,,,,1,PastaT1,,,,,,,,,,FlourT1,Item,EggT1,Item,,,,,,,,,,,1,1,,,,,,Craft_CookingT1,true,,,,,0,,,,
BreadT1,FC_BreadT1,,BasicCooking,FoodComponents,,,,true,true,true,true,false,,,,false,5,1,Cooking,5,cooking2,,,,1,BreadT1,,,,,,,,,,FlourT1,Item,YeastT1,Item,,,,,,,,,,,1,1,,,,,,Craft_CookingT1,true,,,,,0,,,,
SausageT1,FC_SausageT1,,BasicCooking,FoodComponents,,,,true,true,true,true,false,,,,false,5,1,Cooking,5,cooking2,,,,1,SausageT1,,,,,,1,,,,Meats,Category_Only,Seasoning,Category_Only,,,,,,,,,,,1,2,,,,,,Craft_CookingT1,true,,,,,0,,,,
SeasoningBlendT1,FC_SeasoningBlendT1,,BasicCooking,FoodComponents,,,,true,true,true,true,false,,,,false,5,1,Cooking,5,cooking2,,,,1,SeasoningBlendT1,,,,,,1,,,,Seasoning,Category_Only,Seasoning,Category_Only,Seasoning,Category_Only,,,,,,,,,1,1,1,,,,,Craft_CookingT1,true,,,,,0,,,,
PastryCrustT1,FC_PastryCrustT1,,BasicCooking,FoodComponents,,,,true,true,true,true,false,,,,false,5,1,Cooking,5,cooking2,,,,1,PastryCrustT1,,,,,,,,,,FlourT1,Item,SaltT1,Item,WaterT1,Item,,,,,,,,,1,1,1,,,,,Craft_CookingT1,true,,,,,0,,,,
EnrichedMeatPortionT5,FC_EnrichedMeatPortionT5,@EnrichedMeatPortionT5_MasterName,BasicCooking,FoodComponents,,,,true,true,true,true,false,,,,false,5,1,Cooking,100,cooking2,,,,4,EnrichedMeatPortionT5,,,,,,1,,,,EnrichedRedMeatT5,Item,,,,,,,,,,,,,1,,,,,,,Craft_CookingT1,true,,,,,0,,,,
FishSauceT1,FC_FishSauceT1,,BasicCooking,FoodComponents,,,,true,true,true,true,false,,,,false,5,1,Cooking,100,cooking2,,,,1,FishSauceT1,,,,,,,,,,FishRoeT1,Item,FishT4,Item,FishOilT1,Item,SeasoningBlendT1,,,,,,,,2,2,1,1,,,,Craft_CookingT1,true,,,,,0,,,,
Bait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,
BaitFreshMeatT1_V2,FC_BaitFreshMeatT1_V2,,BasicCooking,Bait,,,,true,true,true,true,false,,,,false,5,1,Cooking,5,cooking2,camp1,,,2,BaitFreshMeatT1,,,,,,1,,,,Meats,Category_Only,,,,,,,,,,,,,1,,,,,,,Craft_CookingT1,true,,,,,0,"0.25,0.35,0.45,0.5,0.55","-0.05,-0.1,-0.15,-0.2,-0.25",,
BaitSaltFishT1_V2,FC_BaitSaltFishT1_V2,,BasicCooking,Bait,,,,true,true,true,true,false,,,,false,5,1,Cooking,5,cooking2,camp1,,,2,BaitSaltFishT1,,,,,,1,,,,Fish,Category_Only,,,,,,,,,,,,,1,,,,,,,Craft_CookingT1,true,,,,,0,"0.25,0.35,0.45,0.5,0.55","-0.05,-0.1,-0.15,-0.2,-0.25",,
BaitFreshBreadT1_V2,FC_BaitFreshBreadT1_V2,,BasicCooking,Bait,,,,true,true,true,true,false,,,,false,5,1,Cooking,5,cooking2,camp1,,,2,BaitFreshBreadT1,,,,,,1,,,,BreadT1,Item,,,,,,,,,,,,,1,,,,,,,Craft_CookingT1,true,,,,,0,"0.25,0.35,0.45,0.5,0.55","-0.05,-0.1,-0.15,-0.2,-0.25",,
BaitSaltCheeseT1_V2,FC_BaitSaltCheeseT1_V2,,BasicCooking,Bait,,,,true,true,true,true,false,,,,false,5,1,Cooking,5,cooking2,camp1,,,2,BaitSaltCheeseT1,,,,,,1,,,,CheeseT1,Item,,,,,,,,,,,,,1,,,,,,,Craft_CookingT1,true,,,,,0,"0.25,0.35,0.45,0.5,0.55","-0.05,-0.1,-0.15,-0.2,-0.25",,
RareBaitMeatT4,FC_RareBaitMeatT4,,BasicCooking,Bait,,,FishPheromonesT1,false,true,true,true,false,,,,false,10,1,Cooking,100,cooking2,,,,5,RareBaitMeatT4,,,,,,1,,,,Meats,Category_Only,FishSauceT1,Item,FishPheromonesT1,Item,,,,,,,,,10,1,1,,,,,Craft_CookingT1,true,,,,,0,"0.25,0.35,0.45,0.5,0.55","-0.05,-0.1,-0.15,-0.2,-0.25",,
