CutsceneCameraId,CameraState,CameraStateOrigin,CameraStateLookAt,EnterBlendTime,ExitBlendTime,ForceInstantExitTransition,HideUIOnTrigger,OriginEnterBlendTime,OriginExitBlendTime,NpcLookAtInfo,PlayerFadeRate,HidePlayerAvatar,HideNearbyPlayerAvatars,HideNearbyAIAvatars,ForceInstantLookAts,DepthOfFieldOverride,LookAtSmoothTimeOverride,DummyPresetPos,DummyPresetRot,DummyIsArmed,DummyLookAtInfo,BlockPlayerInput,CancelInventory,InterruptInCombat,InterruptOnMovement,CanSkip,PlayFadeEffect,BannerTitleLabelText,BannerTitleText,BannerDescriptionText
NSR_MNP_MED_2SHT_OTS_Primary,NPC_FOV20_CamState,-0.35 2.45 1.75,0.26 0.1 1.47,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.45,0.8,2,0.8,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_MED_2SHT_OTS_Primary_reverse,NPC_FOV20_CamState,s -1.1 -0.9 1.7,p -.25 .1 1.44,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2,0.8,3,0.8,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_MCU_2SHT_OTS_Primary,NPC_FOV18_CamState,-0.25 2.3 1.67,0.19 0.1 1.51,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.3,0.8,1.8,0.8,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_MCU_2SHT_OTS_Primary_reverse,NPC_FOV19_CamState,s -0.7 -0.6 1.67,p -0.15 0.1 1.51,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2,0.8,2.5,0.8,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_CUP_2SHT_OTS_Primary,NPC_FOV17_CamState,-0.08 2.02 1.68,0.12 0.1 1.57,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.16,0.8,1.9,0.8,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_CUP_2SHT_OTS_Primary_reverse,NPC_FOV17_CamState,s -0.57 -0.55 1.67,p -0.08 0.1 1.558,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.16,0.8,1.9,0.8,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_COW_2SHT_OTS_Primary,NPC_FOV30_CamState,-0.5 2.4 1.67,0.35 0.1 1.32,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.4,0.8,2,0.8,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_COW_2SHT_OTS_Primary_reverse,NPC_FOV30_CamState,s -0.85 -0.71 1.76,p -0.35 0.1 1.29,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.2,0.8,2,0.8,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_COW_WID_2SHT_OTS_Primary,NPC_FOV45_CamState,-0.6 2.3 1.55,0.35 0.1 1.15,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.3,0.8,2.21,0.7,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_COW_WID_2SHT_OTS_Primary_reverse,NPC_FOV45_CamState,s -0.9 -0.5 1.76,p -0.35 0.1 1.13,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.3,0.8,2.21,0.7,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_MED_2SHT_OTS_SIT_Primary,NPC_FOV25_CamState,-0.28 2.25 2,0.35 0.1 1.13,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.25,0.8,2.1,0.8,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_MED_2SHT_SPRO_Primary,NPC_FOV20_CamState,-3.5 1.2 1.29,0.2 0.65 1.29,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,,,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_MED_2SHT_SPRO,NPC_FOV25_CamState,-2.4 2.4 1.35,0.2 0.65 1.28,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.4,0.8,0,0,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSL_MNP_MED_2SHT_SPRO,NPC_FOV25_CamState,2.9 -0.8 1.35,0.15 0.65 1.26,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.4,0.8,0,0,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_CUP_SNGL_Primary,NPC_FOV16_CamState,s 0 1.5 1.6,s 0.05 0.1 1.61,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"1.5,0.8,1.5,0.8,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSL_MNP_CUP_SNGL_Primary,NPC_FOV30_CamState,s .3 1 1.55,s -0.03 0.1 1.6,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"1.44,0.8,0,0,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSL_MNP_MED_2SHT_OTS_Primary,NPC_FOV25_CamState,1.45 2 1.7,0.12 0.65 1.46,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.2,0.8,2.1,1,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSL_MNP_MED_2SHT_OTS_Primary_reverse,NPC_FOV20_CamState,0.65 -1.2 1.75,-0.22 2 1.36,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.2,0.8,1.9,1.6,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSL_MNP_MCU_2SHT_OTS_Primary,NPC_FOV20_CamState,1.3 1.9 1.7,0.15 0.65 1.53,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.0,0.8,1.8,1,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSL_MNP_MCU_2SHT_OTS_Primary_reverse,NPC_FOV18_CamState,0.45 -0.9 1.65,0.2 0.65 1.56,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.0,0.8,1.6,1,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSL_MNP_CUP_2SHT_OTS_Primary,NPC_FOV19_CamState,1.1 1.8 1.7,0.17 0.65 1.58,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"1.88,0.8,1.7,1,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSL_MNP_CUP_2SHT_OTS_Primary_reverse,NPC_FOV17_CamState,0.33 -0.65 1.66,0.17 0.65 1.59,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.0,0.8,1.7,1,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_MED_2SHT_OTS_SEATED_Primary,NPC_FOV20_CamState,-0.4 2.5 2.1,0.26 0.1 1.15,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.5,0.8,2.4,0.8,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.2,true,,,,,false,,,
NSR_MNP_MED_2SHT_OTS_SEATED_Primary_reverse,NPC_FOV20_CamState,s -1.1 -1.1 1.3,p -0.28 0.1 1.39,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.7,0.8,2.6,0.8,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1,true,,,,,false,,,
NSR_MNP_MCU_2SHT_OTS_SEATED_Primary,NPC_FOV19_CamState,-0.3 2.26 2.0,0.2 0.1 1.2,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.26,0.8,2.16,1,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.2,true,,,,,false,,,
NSR_MNP_MCU_2SHT_OTS_SEATED_Primary_reverse,NPC_FOV19_CamState,s -1 -0.9 1.3,p -0.2 0.1 1.45,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.26,0.8,2.16,1.42,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1,true,,,,,false,,,
NSR_MNP_CUP_2SHT_OTS_SEATED_Primary,NPC_FOV16_CamState,-0.38 2.32 1.95,0.16 0.1 1.22,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.32,0.8,2.2,1.2,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.2,true,,,,,false,,,
NSR_MNP_CUP_2SHT_OTS_SEATED_Primary_reverse,NPC_FOV16_CamState,s -0.65 -0.6 1.25,p -0.1 0.1 1.545,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.32,0.8,2.2,0.9,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1,true,,,,,false,,,
NSR_MNP_CUP_SNGL_SEATED_solo,NPC_FOV12_CamState,-0.45 2.2 2.2,0.08 0.1 1.26,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.2,0.8,0,0,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.2,true,,,,,false,,,
NSR_MNP_CUP_SNGL_SEATED_reverse_solo,NPC_FOV15_CamState,s -0.6 -0.2 1.27,p 0.08 0.2 1.535,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"0.2,0.8,0,0,10",,s .25 1.3 0,s 0 0 180,false,s 0 0 1,true,,,,,false,,,
NSR_MNP_BKW_MED_2SHT_OTS_SEATED_Primary,NPC_FOV20_CamState,-1.2 -2.8 1.6,-0.85 0 0.22,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.8,0.8,1.8,1.6,8",,s -1.4 -1.6 -0.6,s 0 0 0,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_BKW_MCU_2SHT_OTS_SEATED_Primary,NPC_FOV19_CamState,-1.2 -2.4 1.4,-0.85 0 0.26,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.4,0.8,1.8,1,8",,s -1.4 -1.6 -0.6,s 0 0 0,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_BKW_MCU_2SHT_OTS_SEATED_alt,NPC_FOV20_CamState,-1.5 -2 1.8,-.2 0 1.2,0,0,false,false,0,0,p .1 0 1.4,-1,true,true,true,true,"2.8,0.8,1.8,1.6,8",,s -1 -.3 -.1,s 0 0 310,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_BKW_MCU_2SHT_OTS_SEATED_alt2,NPC_FOV20_CamState,0 -2.5 1.8,-.2 0 1.2,0,0,false,false,0,0,p .1 0 1.42,-1,true,true,true,true,"2.8,0.8,1.8,1.6,8",,s -.5 -1 -.1,s 0 0 0,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_WID_2SHT_CROP_Primary,NPC_FOV30_CamState,-2.6 2.5 1.1,0.2 0.65 1.15,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.5,0.5,0,0,30",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_WID_2SHT_CROP_Primary_reverse,NPC_FOV30_CamState,-2.7 -0.4 1.4,0.3 0.65 1.13,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.5,0.5,0,0,30",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSL_MNP_WID_2SHT_CROP_Primary,NPC_FOV30_CamState,3.3 1.2 1.3,0.0 0.65 1.14,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"1.2,0.5,0,0,30",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSL_MNP_WID_2SHT_CROP_Primary_reverse,NPC_FOV30_CamState,2.8 -1.0 1.2,0.05 0.65 1.12,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"1.2,0.5,0,0,30",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_WID_2SHT_Primary,NPC_FOV24old_CamState,-2 2.5 1,0.2 0.65 0.94,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.5,0.4,0,0,80",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSR_MNP_WID_2SHT_Primary_reverse,NPC_FOV24old_CamState,-2.5 -0.8 1.07,.2 0.65 0.93,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"2.5,0.4,0,0,80",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSL_MNP_WID_2SHT_Primary,NPC_FOV24old_CamState,2.75 1.75 1,0.2 0.65 0.9,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"1.75,0.4,0,0,80",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
NSL_MNP_WID_2SHT_Primary_reverse,NPC_FOV24old_CamState,2.1 -1.2 1.07,.2 0.65 0.93,0,0,false,false,0,0,p 0 0 1.57,-1,true,true,true,true,"1.75,0.4,0,0,80",,s .25 1.3 0,s 0 0 180,false,s 0 0 1.57,true,,,,,false,,,
