DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,DeflectDamageID,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,AddDmg,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,UseAttackerPosForReaction,HitRuneCharge,HitBlockedRuneCharge
Attack_Swipe_R,GhostMelee,0,0,,Bullet,Light,Ice,,,,,FALSE,0.3,1,1,0,0,0,15,10,15,0,0.7,0,0.8,0,0,0,0.8,0,1,0,0.8,0,,0.3,0,0,1,0.2,1,,,0,,0.1625,0.325
Attack_Flurry,GhostMelee,0,0,,Bullet,Light,Ice,,,,,FALSE,0.45,1,1,0,0,0,20,15,20,0,0.5,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,,0.15,0,0,1,0.1,1,,,0,,0.1625,0.325
Attack_Overhead,GhostMelee,0,0,,Bullet,Heavy,Ice,,,,,FALSE,1,1,1,3,3,3,35,30,35,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,1.2,,0.4,0,0,1,0.3,1,,,1,,0.1625,0.325
Spell_Frozen_Ice_Wall,GhostSpell_Ice,0,0,,Bullet,Magic,Ice,,,FrozenGhost_FrostAura,TRUE,FALSE,0.5,1,1,3,3,3,35,30,35,2,1.25,0,0.8,0,0,0,0.8,2,1.25,0,0.8,0.35,,1.8,0,0,1,0.35,1,,,1,true,0.1625,0.325
Spell_Frozen_Summon_Icicle,GhostSpell_Ice,0,0,true,Bullet,Magic,Ice,,,AI_Snare_30percent_3sec,TRUE,FALSE,0.4,1,1,0,0,0,30,25,30,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0.4,,1.2,0,0,1,0.4,1,,,1,,0.1625,0.325
Spell_Frozen_Ice_Shot,GhostSpell_Ice,0,0,true,Bullet,Light,Ice,,,FrozenGhost_FrostAura,TRUE,FALSE,0.5,1,1,0,0,0,10,10,10,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0.2,,1.8,0,0,1,0.2,1,,,1,,0.1625,0.325
Reaction_Breakout_Attack,GhostMelee,0,0,,Bullet,Heavy,Ice,,,,,FALSE,0.7,1,1,3,3,3,35,30,35,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0.6,,10,0,0,1,0.6,1,,,1,,0.1625,0.325
Attack_Thrust,GhostMelee,0,0,,Bullet,Heavy,Ice,,,,,FALSE,1.3,1,,3,3,3,35,30,35,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0.35,,0.35,0,0,1,0.35,1,,,1,,0.1625,0.325
Ghost_Frozen_Ice_Storm,GhostSpell_Ice,0,0,,Bullet,Magic,Ice,,,FrozenGhost_FrostAura,TRUE,FALSE,1.82,1,,3,3,3,35,30,35,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0.35,,1.5,0,0,1,0.35,1,,,1,,0.1625,0.325
Fall,Fall,1,1,,Bullet,,Falling,,,,,FALSE,1,1,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,,,1,,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,FALSE,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,0,0,1,,,,,1,,0.1625,0.325
Deflect_Default,GhostMelee,1,0,,,,Standard,,,,,FALSE,0,0,,2,2,2,0,0,0,0,1,0,0.8,0,0,0,0,0,1,0,0.8,0,,0,0,,0,1,1,,,1,,0.1625,0.325
