DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,Unblockable,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement
Claw_Swipe,ClubSpriggan,0,0,,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.6,1,,0,0,0,15,10,10,0,1.5,0,0.8,0,0.5,0,0.8,0,1,0,0.8,0,0.6,,1,,,1,0.6,1,1
Claw_Overhead,ClubSpriggan,0,0,,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,1,1,,3,3,3,30,25,30,0,2,0,0.8,0,1.5,0,0.8,0,2,0,0.8,0,0.8,,1,,,1,0.8,1,1
Claw_Combo_1,ClubSpriggan,0,0,,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.4,1,,0,0,0,15,10,10,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,0.6,,1,,,1,0.6,1,1
Claw_Combo_2,ClubSpriggan,0,0,,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.5,1,,0,0,0,15,10,10,0,1.5,0,0.8,0,1,0,0.8,0,1,0,0.8,0,0.6,,1,,,1,0.6,1,1
Claw_Combo_3,ClubSpriggan,0,0,,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.8,1,,3,3,3,30,25,30,0,2,0,0.8,0,1.5,0,0.8,0,2,0,0.8,0,0.8,,1,,,1,0.8,1,1
Slithering_Arm,ClubSpriggan,0,0,,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.7,1,,4,4,4,40,35,40,0,3,0,0.8,0,2,0,0.8,0,3,0,0.8,0,1,,1,,,1,1,1,1
Bug_Swarm,ClubSpriggan,0,1,,,Bullet,Heavy,Nature,,,,,,,Deflect_Default,false,0.04,1,,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,1,,,1,0,1,1
Boiling_Bog,ClubSpriggan,0,0,true,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,1,1,,4,4,4,35,45,35,-1,3,0,0.8,-1,4,0,0.8,-1,3,0,0.8,0,2,,1,,,1,2,1,1
Swamps_Revenge,ClubSpriggan,0,0,,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.6,1,,4,4,4,40,35,40,1.5,3,0,0.8,0,3,0,0.8,1.5,3,0,0.8,0,1.2,,1,,,1,1.2,1,1
Swamps_Revenge_Splash,ClubSpriggan,0,0,,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0,1,,4,4,4,40,35,40,0,5,0,0.8,0,3,0,0.8,0,5,0,0.8,0,0.8,,1,,,1,0.8,1,1
Muddy_Roots,ClubSpriggan,0,0,,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.2,1,,4,4,4,0,0,0,0,3,0,0.8,0,3,0,0.8,0,3,0,0.8,0,0,,1,,,1,0,1,1
Muddy_Roots_Wipe,ClubSpriggan,1,0,,true,Bullet,Heavy,Strike,,,,,StatusEffect_Boss_TeamWipe,false,Deflect_Default,false,999,1,,5,4,5,0,0,0,0,5,0,0.8,0,5,0,0.8,0,5,0,0.8,0,0,,1,,,1,0,1,1
Muddy_Roots_KnockBack,ClubSpriggan,0,0,,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0,1,,4,4,4,0,0,0,0,5,0,0.8,0,5,0,0.8,0,5,0,0.8,0,0,,1,,,1,0,1,1
Adds_Wipe,ClubSpriggan,1,0,,true,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,999,1,,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,1,,,1,0,1,1
Deflect_Default,Unarmed,1,0,,,,,Deflect,,,,,,,Deflect_Default,,0,0,0,2,2,2,0,0,0,0,1,0,0.8,0,0,0,0,0,1,0,0.8,0,0,0,0,Small,Small,0,0.45,1,1
