DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CritTargetCameraShakeID,TargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,DamageGuildAndGroup,HitRuneCharge,HitBlockedRuneCharge
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,,,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,0,1,1,1,,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,1,,,1,,0.1625,0.325
Elite_GRIT,Sword,0,0,,Bullet,,Slash,,,,,,,Deflect_Default,,0,0,1,1,1,1,20,15,20,0,0,0,0.8,0,0.75,0,0.8,0,0,0,0.8,0,1.95,,10,Small,Small,0,1,1,1,,0.1625,0.325
Attack_Elite_Double_Slash_1st_Hit,Sword,0,0,,Bullet,Heavy,Slash,AfflictionErosion,3,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.8,1,1,3,2,3,30,20,30,0,1,0,0.8,0,0.5,0,0.8,0,1,0,0.8,0,0,,5,Small,Small,2,1.2,1,1,,0.1625,0.325
Attack_Elite_Double_Slash_2nd_Hit,Sword,0,0,,Bullet,Heavy,Slash,AfflictionErosion,3,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.8,1,1,3,3,3,30,35,30,0,1.2,0,0.8,0,0.65,0,0.8,0,1.2,0,0.8,0,0,,5,Small,Small,2,1,1,1,,0.1625,0.325
Attack_Elite_Charge,Sword,0,0,,Bullet,Light,Strike,AfflictionErosion,3,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.4,1,1,4,4,4,35,40,35,0,2.5,0,0.8,0,0.65,0,0.8,0,2.5,0,0.8,0,0,,5,Small,Small,3,0.5,1,1,,0.1625,0.325
Attack_Elite_Charge_Stab,Sword,0,0,,Bullet,Light,Thrust,AfflictionErosion,8,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.45,1,1,3,3,3,30,30,30,0,0.85,0,0.8,0,0.65,0,0.8,0,0.85,0,0.8,0,0,,5,Small,Small,5,1,1,1,,0.1625,0.325
Attack_Elite_Flurry,Sword,0,0,,Bullet,Light,Slash,AfflictionErosion,3,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.45,1,1,2,2,2,20,20,20,0,0.4,0,0.8,0,0.5,0,0.8,0,0.4,0,0.8,0,0,,5,Small,Small,2,0.7,1,1,,0.1625,0.325
Attack_Elite_Swipe_R_L_1st_Hit,Sword,0,0,,Bullet,Heavy,Slash,AfflictionErosion,3,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.7,1,1,2,2,2,20,25,20,0,0.65,0,0.8,0,0.5,0,0.8,0,0.65,0,0.8,0,0,,5,Small,Small,2,0.7,1,1,,0.1625,0.325
Attack_Elite_Swipe_R_L_2nd_Hit,Sword,0,0,,Bullet,Heavy,Slash,AfflictionErosion,3,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.6,1,1,2,2,2,20,20,20,0,0.55,0,0.8,0,0.5,0,0.8,0,0.55,0,0.8,0,0,,5,Small,Small,2,0.6,1,1,,0.1625,0.325
Attack_Elite_Stab,Sword,0,0,,Bullet,Light,Thrust,AfflictionErosion,8,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.55,1,1,2,2,2,20,20,20,0,0.5,0,0.8,0,0.5,0,0.8,0,0.5,0,0.8,0,0,,5,Small,Small,3,1,1,1,,0.1625,0.325
Attack_Elite_Swipe_L_R_1st_Hit,Sword,0,0,,Bullet,Heavy,Slash,AfflictionErosion,3,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.7,1,1,2,2,2,20,25,20,0,0.5,0,0.8,0,0.5,0,0.8,0,0.5,0,0.8,0,0,,5,Small,Small,2,0.7,1,1,,0.1625,0.325
Attack_Elite_Swipe_L_R_2nd_Hit,Sword,0,0,,Bullet,Light,Slash,AfflictionErosion,3,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.6,1,1,2,2,2,20,20,20,0,0.55,0,0.8,0,0.5,0,0.8,0,0.55,0,0.8,0,0,,5,Small,Small,2,0.6,1,1,,0.1625,0.325
Attack_Elite_Swipe_L,Sword,0,0,,Bullet,Light,Slash,AfflictionErosion,3,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.7,1,1,2,2,2,20,20,20,0,0.5,0,0.8,0,0.5,0,0.8,0,0.5,0,0.8,0,0,,5,Small,Small,2,0.6,1,1,,0.1625,0.325
Attack_Elite_Backhand_R,Sword,0,0,,Bullet,Light,Slash,AfflictionErosion,3,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.6,1,1,3,3,3,30,30,30,0,0.9,0,0.8,0,0.5,0,0.8,0,0.9,0,0.8,0,0,,5,Small,Small,3,1,1,1,,0.1625,0.325
Attack_Elite_Overhead,Sword,0,0,,Bullet,Heavy,Strike,AfflictionErosion,18,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.9,1,1,4,3,4,35,40,35,0,1,0,0.8,0,0.5,0,0.8,0,1,0,0.8,0,0,,5,Small,Small,3,1.85,1,1,,0.1625,0.325
Attack_Elite_Overhead_Burning_2nd_Hit,Sword,0,0,,Bullet,Heavy,Standard,AfflictionErosion,3,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.5,1,1,3,3,3,30,30,30,0,1,0,0.8,0,0.5,0,0.8,0,1,0,0.8,0,0,,5,Small,Small,3,1,1,1,,0.1625,0.325
Attack_Spawn_Landing,Sword,0,0,,Bullet,Heavy,Standard,AfflictionErosion,3,,AI_ArcaneDMG_25,,,Deflect_Default,false,0,1,1,3,3,3,30,30,30,0,1,0,0.8,0,0.5,0,0.8,0,1,0,0.8,0,0,,5,Small,Small,3,1,1,1,,0.1625,0.325
Attack_ScrapingUppercut,Sword,0,0,,Bullet,Heavy,Slash,AfflictionErosion,8,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.8,1,1,4,3,4,25,30,25,0,3.1,0,0.8,0,0.5,0,0.8,0,3.1,0,0.8,0,0,,5,Small,Small,3,1.25,1,1,,0.1625,0.325
Attack_ClearingSweep,Sword,0,0,,Bullet,Heavy,Slash,AfflictionErosion,3,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.6,1,1,4,3,4,25,30,25,0,0.85,0,0.8,0,0.5,0,0.8,0,0.85,0,0.8,0,0,,5,Small,Small,3,1.25,1,1,,0.1625,0.325
Attack_ShoulderRush,Sword,0,0,,Bullet,Light,Strike,AfflictionErosion,3,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.35,1,1,3,3,3,30,15,30,0,1.1,0,0.8,0,0.5,0,0.8,0,1.1,0,0.8,0,0,,5,Small,Small,2,0.35,1,1,,0.1625,0.325
HeavyJump_Stab,,0,0,,,Heavy,Thrust,AfflictionErosion,8,,,,,Deflect_Default,false,0.75,1,1,5,3,5,35,40,35,0,1.5,0,0.8,0,0.5,0,0.8,0,1.5,0,0.8,0,0,,5,,,3,10,1,1,,0.1625,0.325
HeavyJump_Shockwave,,0,0,true,,Heavy,Standard,AfflictionErosion,8,,,AI_Snare_4sec,true,Deflect_Default,false,0.5,1,1,3,3,3,30,25,30,0,3,0,0.8,0,0.5,0,0.8,0,3,0,0.8,0,0,,5,,,2,10,1,1,,0.1625,0.325
BoneThrow_1,Spear,0,0,true,Bullet,,Thrust,AfflictionErosion,3,,,,,Deflect_Default,false,0,0,1,1,1,1,,,,,2,,,,,,,,,,,,,,5,Small,Small,2,,,,,0.1625,0.325
Attack_Projectile_Shockwave,Sword,0,0,,Bullet,Light,Slash,AfflictionErosion,3,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.3,1,1,0,0,0,20,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,Small,Small,0,0.5,1,1,,0.1625,0.325
BoneThrow_2,Spear,0,0,true,Bullet,,Thrust,,,,,,,Deflect_Default,false,0,0,1,1,1,1,,,,,2,,,,,,,,,,,,,,5,Small,Small,2,,,,,0.1625,0.325
Adds_Wipe,,1,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,999,1,,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,1,,,1,0,1,1,true,0.1625,0.325
