DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,AttackDealsNoDurability,SurfaceImpactEffect,AttackType,DamageType,IsRanged,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,TargetCameraShakeID,BlockCameraShakeID,BlockTargetCameraShakeID,CritCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,HitRuneCharge,HitBlockedRuneCharge
Left_Hand_Ground_Pound,Unarmed,0,0,,Bullet,Heavy,Strike,,,,,Deflect_Default,false,0.5,0.5,0.5,3,3,3,30,30,30,0,0.5,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0.8,,1.5,Small,Small,Small,Small,Large_short,Large_short,,0.7,1,0.1625,0.325
Spell_Bloodbath,Unarmed,0,0,true,Bullet,Magic,Corruption,,,,,Deflect_Default,false,0.2,0.2,0.2,4,3,4,0,0,0,0,3,1,0.8,0,0,0,0,0,0,0,0,0,0,,0,Large_short,Large_short,Large_short,Large_short,Large_short,Large_short,,0,0,0.1625,0.325
Doomfist,Unarmed,0,0,,Bullet,Magic,Corruption,,,CorruptedLegion_Cyclops_ExhaustT5_Doomfist,true,Deflect_Default,false,1,1,1,4,3,4,20,25,20,0,3,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1.5,,1.5,Large_short,Large_short,Large_short,Large_short,Large_short,Large_short,,1,1,0.1625,0.325
UnhallowedGrounds_Fist,Unarmed,0,0,,Bullet,Heavy,Strike,,,,,Deflect_Default,false,0.6,0.6,0.6,2,3,8,20,25,20,0,1,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1.5,,1.5,Large_short,Large_short,Large_short,Large_short,Large_short,Large_short,,1,1,0.1625,0.325
UnhallowedGrounds_AoE,Unarmed,0,0,,Bullet,Heavy,Strike,,,,,Deflect_Default,false,0.6,0.6,0.6,3,3,3,20,25,20,0,1,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1.5,,1.5,Large_short,Large_short,Large_short,Large_short,Large_short,Large_short,,1,1,0.1625,0.325
Rolling_Blockade_AoE,Unarmed,0,0,,Bullet,Magic,Corruption,,,,,Deflect_Default,false,0.3,0.3,0.3,3,3,4,20,15,20,1,1,0,0.8,0,0,0,0.8,1,3,0,0.8,0,0.8,,1,Small,Small,Small,Small,Large_short,Large_short,,1,1,0.1625,0.325
Rolling_Blockade_Ender,Unarmed,0,0,,Bullet,Magic,Corruption,,,,,Deflect_Default,false,0.5,0.5,0.5,4,4,4,20,15,20,1,1,0,0.8,0,0,0,0.8,1,3,0,0.8,0,0.8,,1,Small,Small,Small,Small,Large_short,Large_short,,1,1,0.1625,0.325
Bloodshot,Unarmed,0,0,true,Bullet,Magic,Corruption,true,,CorruptedLegion_Cyclops_Rend_BloodShot,true,Deflect_Default,false,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,Small,Small,Small,Small,0.13,1,0.1625,0.325
Overhead_Slam,Unarmed,0,0,,Bullet,Heavy,Strike,,,AI_Stun_2sec,true,Deflect_Default,false,0.5,0.5,0.5,3,3,3,20,25,20,0,0.5,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1.5,,1.5,Large_short,Large_short,Large_short,Large_short,Large_short,Large_short,,0.9,1,0.1625,0.325
Swipe_Left,Unarmed,0,0,,Bullet,Light,Slash,,,,,Deflect_Default,false,0.3,0.3,0.3,0,0,0,20,15,20,0.5,0.5,0,0.8,0,0,0,0.8,1,2,0,0.8,0,0.5,,1,Small,Small,Small,Small,Large_short,Large_short,,0.5,1,0.1625,0.325
Swipe_Right,Unarmed,0,0,,Bullet,Light,Slash,,,,,Deflect_Default,false,0.3,0.3,0.3,0,0,0,20,15,20,-0.5,0.5,0,0.8,0,0,0,0.8,-1,2,0,0.8,0,0.5,,1,Small,Small,Small,Small,Large_short,Large_short,,0.5,1,0.1625,0.325
Shoulder_Charge,Unarmed,0,0,,Bullet,Heavy,Strike,,,,,Deflect_Default,false,0.7,0.7,0.7,4,4,4,20,15,20,0.5,0.5,0,0.8,0,0,0,0.8,1,3,0,0.8,0,0.8,,1,Small,Small,Small,Small,Large_short,Large_short,,1,1,0.1625,0.325
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,1,1,,2,2,,0,0,,0,0,0,0,0,0,0,0,,,,,0,,,,Small,Small,Small,Small,Large_short,Large_short,,0,1,0.1625,0.325
