DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,DeflectDamageID,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,HungerDmg,ThirstDmg,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Attack_SwanStrike,Blunt_AI,0,0,,Bullet,Unarmed,Light,Slash,,,,AI_CorruptionDMG_25,,,false,0.6,0.7,1.4,3,2,3,30,20,30,0,2.5,0,0.8,0,0,0,0.8,0,4,0,0.8,0,0.75,,1,0,0,0,3,0.75,1,Large_short,Small,Large_short,1,0.1625,0.325
Attack_Swipe,Blunt_AI,0,0,,Bullet,Unarmed,Light,Slash,,,,AI_CorruptionDMG_25,,,false,0.4,0.3,0.6,1,0,1,15,20,30,0,0.5,0,0.8,0,0,0,0.8,0,4,0,0.8,0,0.75,,1,0,0,0,3,0.45,1,Large_short,Small,Large_short,1,0.1625,0.325
Attack_FurySwipes,Blunt_AI,0,0,,Bullet,Unarmed,Light,Slash,,,,,AI_CorruptedLeviathan_IchorCoating,TRUE,false,0.3,0.3,0.6,0,0,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.5,,0,0,0,0,3,0.35,1,Small,Small,Large_short,1,0.1625,0.325
Attack_IchorSpit,Blunt_AI,0,0,,Bullet,Unarmed,Heavy,Corruption,,,,,AI_CorruptedLeviathan_IchorBurn,TRUE,false,0.4,0.5,1,1,1,1,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.5,,0,0,0,0,3,0.5,1,Small,Small,Large_short,1,0.1625,0.325
Attack_IchorSpew,Blunt_AI,0,0,true,Bullet,Unarmed,Heavy,Corruption,,,,AI_CorruptionDMG_10_Additive,,,false,0.05,0.05,0.05,0,0,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.5,,0,0,0,0,3,0.04,1,Small,Small,Large_short,1,0.1625,0.325
Attack_IchorSplash,Blunt_AI,0,0,true,Bullet,Unarmed,Light,Corruption,,,,,AI_CorruptedLeviathan_IchorCoating,TRUE,false,0.2,0.2,0.4,0,0,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.5,,0,0,0,0,3,0.2,1,Small,Small,Large_short,1,0.1625,0.325
Attack_IchorWave,Blunt_AI,0,0,true,Bullet,Unarmed,Heavy,Corruption,,,,,,,false,0.5,0.5,1,0,0,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.5,,0,0,0,0,3,0.5,1,Small,Small,Large_short,1,0.1625,0.325
Attack_IchorBombs,Blunt_AI,0,0,true,Bullet,Unarmed,Magic,Corruption,,,,,,,false,0.5,0.5,1,4,4,4,30,20,30,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.5,,0,0,0,0,3,0.5,1,Small,Small,Large_short,1,0.1625,0.325
Attack_BodyCheck,Blunt_AI,0,0,,Bullet,Unarmed,Light,Strike,,,,AI_CorruptionDMG_25,,,false,0.5,0.5,0.5,2,0,2,20,20,30,0,2,0,0.8,0,1,0,0.8,0,4,0,0.8,0,0.75,,1,0,0,0,3,0.5,1,Large_short,Small,Large_short,1,0.1625,0.325
SideDamage,Blunt_AI,0,0,,Bullet,,Light,Strike,,,,AI_CorruptionDMG_25,,,false,0.35,0.35,0.35,0,0,0,10,10,15,0.5,0,0,0.8,0.5,0,0,0.8,0,0,0,0.8,0,0.5,,0,0,0,0,3,0.35,1,Small,Small,Large_short,1,0.1625,0.325
FurySwipes_InitialHit_Knockback,Blunt_AI,0,0,,Bullet,,Light,Strike,,,,,,,false,0.1,0.1,0.2,0,0,0,10,10,15,0,2,0,0.8,2,0,0,0.8,0,0,0,0.8,0,0.5,,0,0,0,0,3,0.1,1,Small,Small,Large_short,1,0.1625,0.325
