DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CritTargetCameraShakeID,TargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,,,1,0,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,0,1,1,1
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,1,,,1
Elite_GRIT,Sword,0,0,,Bullet,,Slash,,,,,,,Deflect_Default,,0,0,,1,1,1,20,15,20,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1.95,,10,Small,Small,0,1,1,1
Attack_Spawn_Landing,Sword,0,0,,Bullet,,Standard,,,,,,,Deflect_Default,false,0,1,,3,3,3,30,30,30,0,1.8,0,0.8,0,0,0,0.8,0,1.8,0,0.8,0,0,,5,Small,Small,4,1,1,1
Attack_SwipeL,Sword,0,0,,Bullet,Light,Slash,,,,AI_CorruptionDMG_25,,,Deflect_Default,false,0.7,1,,1,2,1,15,21,30,0,1.9,0,0.75,0,0,0,0.75,0,1.9,0,0.75,0,0,,5,Small,Small,1,0.65,1,1
Attack_SpinSlashL,Sword,0,0,,Bullet,Heavy,Slash,,,,AI_CorruptionDMG_50,,,Deflect_Default,false,0.85,1,,2,2,2,22,26,30,0,2.3,0,0.7,0,0,0,0.7,0,2.3,0,0.7,0,0,,5,Small,Small,2,0.85,1,1
Attack_SwipeR,Sword,0,0,,Bullet,Light,Slash,,,,AI_CorruptionDMG_25,,,Deflect_Default,false,0.7,1,,1,2,1,15,21,35,0,2,0,0.75,0,0,0,0.75,0,2,0,0.75,0,0,,5,Small,Small,1,0.65,1,1
Attack_SpinSlashR,Sword,0,0,,Bullet,Heavy,Slash,,,,AI_CorruptionDMG_50,,,Deflect_Default,false,0.9,1,,2,2,2,22,26,30,0,2.35,0,0.7,0,0,0,0.7,0,2.35,0,0.7,0,0,,5,Small,Small,2,0.85,1,1
Attack_Overhead,Sword,0,0,,Bullet,Heavy,Strike,,,,AI_CorruptionDMG_50,,,Deflect_Default,false,1.15,1,,5,3,5,40,37,20,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0,,5,Large,Large,4,1.35,1,1
Attack_ScrapingUppercut,Sword,0,0,,Bullet,Heavy,Slash,,,,AI_CorruptionDMG_50,,,Deflect_Default,false,0.9,1,,4,3,4,25,30,25,0,6,0,0.5,0,0,0,0.65,0,6,0,0.5,0,0,,5,Large,Large,3,1.2,1,1
Attack_ClearingSweep,Sword,0,0,,Bullet,Heavy,Slash,,,,AI_CorruptionDMG_50,,,Deflect_Default,false,0.5,1,,4,3,4,25,30,25,0,2.4,0,0.7,0,0,0,0.75,0,2.4,0,0.7,0,0,,5,Small,Small,3,0.9,1,1
Attack_ShoulderRush,Sword,0,0,,Bullet,Light,Strike,,,,AI_CorruptionDMG_75,,,Deflect_Default,false,0.25,1,,2,2,2,22,25,22,0,2.2,0,0.75,0,0,0,0.75,0,2.2,0,0.75,0,0,,5,Small,Small,2,0.5,1,1
