DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,UseAttackerPosForReaction
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,,false,1,0,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,1,1,1,
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,,false,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,Small,1,,,1,
Elite_GRIT,Sword+Fire,0,0,,Bullet,,Standard,,,,,,,Deflect_Default,false,0,0,,1,1,1,20,15,20,0,0,0,0.8,0,0.75,0,0.8,0,0,0,0.8,0,1.95,,10,Small,Small,Small,0,1,1,1,
Attack_Force_Grab,CorruptedMagic,0,0,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,0,1,,3,3,3,34,30,34,0,-1,-2,0.7,0,-1,-2,0.7,0,-1,-2,0.7,0,0,,0,Large,Large,Large,4,0,0,0,true
Attack_Force_Grab_Attach,CorruptedMagic,0,1,,Bullet,Magic,Corruption,,,,,AI_Thorpe_Force_Grab_Tracker,false,Deflect_Default,false,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,0,0,0,
Attack_Darkness_Calls,CorruptedMagic,0,0,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,0.25,1,,2,2,2,27,21,27,0,-2,0,0.7,0,-1.7,0,0.7,0,-2,0,0.7,0,0,,0,Large,Large,Large,3,0.6,0,0,
Attack_Darkness_Calls_Affliction,CorruptedMagic,0,1,,Bullet,Magic,Corruption,,,,,AI_Thorpe_Darkness_Calls_Corruption,false,Deflect_Default,false,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,0,0,0,
Attack_Flame_Wall,Fire,0,1,,Bullet,Magic,Fire,,,,,AI_Thorpe_Burn,false,Deflect_Default,false,0.3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,0,0,0,
Attack_Core_Explosion,CorruptedMagic,0,0,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,0.8,1,,4,4,4,40,48,40,0,6.5,0,0.75,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Large,Large,Large,3,1.65,0,0,
Attack_Core_Stab,Sword+Fire,0,0,,Bullet,Heavy,Thrust,,,,,AI_Thorpe_Burn,true,Deflect_Default,false,0.9,1,,5,5,5,40,48,40,0,0.3,0,0.75,0,0.6,0,0.75,0,0.3,0,0.75,0,0,,0,Large,Large,Large,3,0.65,0,0,
Attack_Hunger_Of_The_Void,CorruptedMagic,0,1,,Bullet,Magic,Corruption,,,,,AI_Thorpe_Hunger_Of_The_Void_Corruption,false,Deflect_Default,false,1.2,1,,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,0,0,0,0,
Attack_SwipeL_01,Sword+Fire,0,0,,Bullet,Light,Slash,,,,AI_FireDMG_25,,,Deflect_Default,false,0.85,1,,0,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.35,1,1,
Attack_SwipeL_02,Sword+Fire,0,0,,Bullet,Light,Slash,,,,AI_FireDMG_25,,,Deflect_Default,false,0.95,1,,0,1,0,12,15,12,0,1.1,0,0.8,0,1.2,0,0.8,0,1.1,0,0.8,0,0,,0,Small,Small,Small,1,0.45,1,1,
Attack_SwipeR_01,Sword+Fire,0,0,,Bullet,Light,Slash,,,,AI_FireDMG_25,,,Deflect_Default,false,1,1,,0,1,0,11,12,11,0,1,0,0.8,0,1.1,0,0.8,0,1,0,0.8,0,0,,0,Small,Small,Small,1,0.4,1,1,
Attack_SwipeR_02,Sword+Fire,0,0,,Bullet,Light,Slash,,,,AI_FireDMG_25,,,Deflect_Default,false,1.1,1,,0,1,0,13,14,13,0,1.15,0,0.8,0,1.15,0,0.8,0,1.15,0,0.8,0,0,,0,Small,Small,Small,1,0.5,1,1,
Attack_Stab_01,Sword+Fire,0,0,,Bullet,Light,Thrust,,,,AI_FireDMG_25,,,Deflect_Default,false,1.05,1,,0,2,0,14,21,14,0,1.45,0,0.8,0,1.4,0,0.8,0,1.45,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,
Attack_Stab_02,Sword+Fire,0,0,,Bullet,Light,Thrust,,,,AI_FireDMG_25,,,Deflect_Default,false,1.15,1,,0,2,0,15,25,15,0,1.65,0,0.8,0,1.5,0,0.8,0,1.65,0,0.8,0,0,,0,Small,Small,Small,2,0.65,1,1,
Attack_Double_Spin_Combo,Sword+Fire,0,0,,Bullet,Light,Slash,,,,AI_FireDMG_50,,,Deflect_Default,false,1,1,,1,1,1,13,18,13,0,1.1,0,0.8,0,0.9,0,0.8,0,1.1,0,0.8,0,0,,0,Small,Small,Small,1,0.4,1,1,
Attack_Double_Spin_Finisher,Sword+Fire,0,0,,Bullet,Heavy,Slash,,,,AI_FireDMG_75,AI_Thorpe_Burn,true,Deflect_Default,false,1.3,1,,2,2,2,22,28,22,0,1.8,0,0.8,0,1.55,0,0.75,0,1.8,0,0.8,0,0,,0,Small,Small,Small,2,0.75,1,1,
Attack_Overhead_Slash,Sword+Fire,0,0,,Bullet,Heavy,Slash,,,,AI_FireDMG_25,,,Deflect_Default,false,1.15,1,,5,3,5,24,32,24,0,1.1,0,0.8,0,1.2,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Large,2,0.7,1,1,
Attack_Overhead_Slash_Fire,Sword+Fire,0,0,,Bullet,Heavy,Fire,,,,,AI_Thorpe_Burn,true,Deflect_Default,false,1.3,1,,2,3,2,27,30,27,0,2.2,0,0.8,0,2.35,0,0.8,0,2.2,0,0.8,0,0,,0,Large,Large,Large,2,0.85,1,1,
Attack_Flip_Overhead_Slash,Sword+Fire,0,0,,Bullet,Heavy,Slash,,,,AI_FireDMG_75,,,Deflect_Default,false,1.25,1,,2,3,2,25,34,25,0,1.2,0,0.75,0,1,0,0.75,0,1.2,0,0.75,0,0,,0,Small,Small,Small,2,0.7,1,1,
Attack_Flip_Overhead_Fire,Sword+Fire,0,0,,Bullet,Heavy,Fire,,,,,AI_Thorpe_Burn,true,Deflect_Default,false,1.5,1,,3,4,3,32,40,32,0,2.3,0,0.75,0,2.6,0,0.75,0,2.3,0,0.75,0,0,,0,Large,Large,Large,3,1,1,1,
Attack_Flurry_Combo,Sword+Fire,0,0,,Bullet,Light,Slash,,,,AI_FireDMG_25,,,Deflect_Default,false,0.75,1,,0,1,0,15,12,15,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.45,1,1,
Attack_Flurry_Finisher,Sword+Fire,0,0,,Bullet,Light,Slash,,,,AI_FireDMG_50,,,Deflect_Default,false,1.15,1,,2,1,2,22,18,22,0,1.25,0,0.8,0,1.4,0,0.8,0,1.25,0,0.8,0,0,,0,Small,Small,Small,2,0.55,1,1,
Attack_Upwards_Slash,Sword+Fire,0,0,,Bullet,Heavy,Slash,,,,AI_FireDMG_75,AI_Thorpe_Burn,true,Deflect_Default,false,2.2,1,,4,4,4,44,40,44,0,5.5,0,0.6,0,4.25,0,0.65,0,5.5,0,0.6,0,0,,0,Large,Large,Large,4,1.5,1,1,
Attack_Upwards_Slash_Short,Sword+Fire,0,0,,Bullet,Heavy,Slash,,,,AI_FireDMG_75,AI_Thorpe_Burn,true,Deflect_Default,false,1.9,1,,3,4,3,36,40,36,0,0.8,0,0.75,0,1,0,0.75,0,0.8,0,0.75,0,0,,0,Large,Large,Large,4,1.35,1,1,
