DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Attack_Arcane_Bolt_1,Sword,0,0,true,Bullet,Magic,Arcane,,,,false,0.15,1,1,0,1,0,15,10,0,0,0.25,0,0.8,0,0.125,0,0.8,0,0,0,0.8,0,0.2,,0,0,1,0.1,1,,,0,0.1625,0.325
Attack_Arcane_Bolt_2,Sword,0,0,true,Bullet,Magic,Arcane,,,,false,0.15,1,1,0,1,0,15,10,0,0,0.25,0,0.8,0,0.125,0,0.8,0,0,0,0.8,0,0.2,,0,0,1,0.1,1,,,0,0.1625,0.325
Attack_Arcane_Blast,Sword,0,0,true,Bullet,Magic,Arcane,,,,false,0.25,1,1,1,1,1,20,15,0,0,0.4,0,0.8,0,0.2,0,0.8,0,0,0,0.8,0,0.15,,0,0,1,0.2,1,,,0,0.1625,0.325
Attack_Arcane_Wave,Sword,0,0,true,Bullet,Magic,Arcane,,,,false,0.5,1,1,3,3,3,30,25,0,0,2.5,0,0.8,0,1.25,0,0.8,0,0,0,0.8,0,0.15,,0,0,1,0.5,1,,,0,0.1625,0.325
Attack_Arcane_Wave_Medium,Sword,0,0,true,Bullet,Magic,Arcane,,,,false,0.4,1,1,2,2,2,25,20,0,0,2,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.15,,0,0,1,0.4,1,,,0,0.1625,0.325
Attack_Arcane_Wave_Small,Sword,0,0,true,Bullet,Magic,Arcane,,,,false,0.3,1,1,1,1,1,20,15,0,0,1.5,0,0.8,0,0.75,0,0.8,0,0,0,0.8,0,0.15,,0,0,1,0.3,1,,,0,0.1625,0.325
Attack_Arcane_Wave_Fang_Rush,Sword,0,0,true,Bullet,Magic,Arcane,,,,false,0.4,1,1,2,2,2,20,15,0,0,2,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.15,,0,0,1,0.35,1,,,0,0.1625,0.325
Attack_Banish,Sword,1,0,,Bullet,Magic,Arcane,,AI_Trial_Quest_Dracula_Banish_PlayerDefeat,TRUE,false,0.37,1,1,3,3,3,30,25,0,0,1.75,0,0.8,0,0.875,0,0.8,0,0,0,0.8,0,0.2,,0,0,3,2,1,Large_l,,0,0.1625,0.325
Attack_Banish_DestroyShield,Sword,1,0,,Bullet,Magic,Arcane,,AI_Trial_Quest_Dracula_Banish_DestroyShield,FALSE,false,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,0,0,0,0,,,0,0.1625,0.325
Attack_Banish_FocusEnd,Sword,1,0,,Bullet,Magic,Arcane,,AI_Trial_Quest_Dracula_Focus_End,FALSE,false,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,0,0,0,0,,,0,0.1625,0.325
