DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement
Damned_1H_Melee_Heavy_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,Deflect_Default,false,1.63,1,1,3,3,3,30,25,30,0,1.25,0,0.8,0,1.25,0,0.8,0,0,0,0.8,0,1.2,1,Small,3,0.15,1,1
Force_Of_Nature,Shield,0,0,,Bullet,Heavy,Nature,,,,Deflect_Default,false,0.8,1,1,3,3,3,30,25,30,0,6,0,0.8,0,6,0,0.8,0,0,0,0.8,0,0.5,1,Small,4,0.8,1,1
Soldier_Empowered_Strike,Sword,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.8,1,1,3,3,3,30,25,30,0,1.25,0,0.8,0,1.25,0,0.8,0,0,0,0.8,0,1.2,1,Small,3,0.8,1,1
Soldier_Empowered_Combo_LowReact,Sword,0,0,,Bullet,Light,Nature,,,,Deflect_Default,false,0.25,1,1,0,1,0,15,10,15,0,1.25,0,0.8,0,1.25,0,0.8,0,0,0,0.8,0,1.2,1,Small,3,0.15,1,0
Soldier_Empowered_Combo_Slash,Sword,0,0,,Bullet,Light,Nature,,,,Deflect_Default,false,0.25,1,1,0,1,0,15,10,15,0,1.25,0,0.8,0,1.25,0,0.8,0,0,0,0.8,0,1.2,1,Small,3,0.15,1,0
Soldier_Empowered_Combo_React,Sword,0,0,,Bullet,Light,Nature,,,,Deflect_Default,false,0.4,1,1,2,2,2,20,15,20,0,0.5,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,1,Small,3,0.25,1,1
Soldier_Empowered_Combo_1,Sword,0,0,,Bullet,Light,Nature,,,,Deflect_Default,false,0.4,1,1,1,3,1,10,5,10,0,1.25,0,0.8,0,1.25,0,0.8,0,0,0,0.8,0,1,1,Small,3,0.8,1,1
Soldier_Empowered_Blastaway,Sword,0,0,,Bullet,Magic,Nature,,,,Deflect_Default,false,1,1,1,3,3,3,30,25,30,0,6,0.75,0.8,0,6,0.75,0.8,0,0,0,0.8,0,1.2,1,Small,3,1,1,1
Dryad_Soldier_Slash,Sword,0,0,,Bullet,Light,Slash,,,,Deflect_Default,false,0.25,1,1,0,2,0,15,10,15,0,0.5,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,1.2,1,Small,3,0.1,1,0
Soldier_Shield_Bash,Shield,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,1,1,1,3,3,3,30,25,30,0,2.25,0,0.8,0,2.25,0,0.8,0,0,0,0.8,0,0.5,1,Small,4,1,1,1
Dryad_Soldier_Thrust,Sword,0,0,,Bullet,Heavy,Thrust,,,,Deflect_Default,false,0.25,1,1,0,2,0,15,10,15,0,0.5,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,1.2,1,Small,3,0.15,1,0
Soldier_Swamp_Close_AOE,Warhammer,0,0,,Bullet,Heavy,Nature,,,,Deflect_Default,false,1,1,1,3,3,3,30,35,30,0,3,0,0.8,0,3,0,0.8,0,0,0,0.8,0,0.5,5,Small,4,0.75,1,1
