DamageID,WeaponCategory,IsRanged,IgnoreInvulnerable,Unblockable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,CritPowerLevel,BlockPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,LOSCheckVerticalAngleOffset,UseAttackerPosForReaction
Corruption_Shot,DynastyMagic,1,,,,Bullet,Light,Corruption,,,,,0,0.7,1,1,0,0,0,20,15,20,0,1.5,0,0.8,0,1.5,0,0.8,0,1,0,0.8,0,0.6,,1,Small,Small,Small,3,0.7,1,0.25,,
Corruption_Blast,DynastyMagic,,,,,Bullet,Heavy,Corruption,,AI_Rend,1,,0,1.8,1,1,4,4,4,40,30,40,0,4,0,0.8,0,4,0,0.8,0,3,0,0.8,0,1,,1,Small,Small,Small,3,1.4,1,1,,true
Corruption_Wave,DynastyMagic,,,true,,Bullet,Magic,Corruption,,AI_Empress_WaveImmunity,1,,0,0.7,1,1,2,2,2,20,15,20,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.6,,1,Small,Small,Small,3,0.6,1,1,,
Corruption_Wave_Immune,DynastyMagic,,,true,1,Bullet,Magic,Corruption,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,,1,Small,Small,Small,3,0,0,0,,
Pearl_Shot,DynastyMagic,1,,,,Bullet,Light,Corruption,,,,,0,0.8,1,1,2,2,2,20,15,20,0,1.5,0,0.8,0,1.5,0,0.8,0,1,0,0.8,0,0.6,,1,Small,Small,Small,3,0.6,1,1,,
Pearl_ Sweep,,,,,,Bullet,Light,Strike,AI_CorruptionDMG_25,,,,0,0.7,1,1,0,0,0,30,25,30,0,1.5,0,0.8,0,1,0,0.8,0,1.5,0,0.8,0,0.7,,1,Small,Small,Small,3,1,1,1,,
Pearl_ Sweep_Arm,,,,,,Bullet,Light,Strike,,,,,0,0.3,1,1,0,0,0,30,25,30,0,3,0,0.8,0,3,0,0.8,0,3,0,0.8,0,0.7,,1,Small,Small,Small,3,1,1,1,,
Pearl_ Sweep_Combo,,,,,,Bullet,Light,Strike,AI_CorruptionDMG_25,,,,0,0.5,1,1,0,0,0,20,20,20,0,0.5,0,0.8,0,0.5,0,0.8,0,0.5,0,0.8,0,0.4,,1,Small,Small,Small,3,0.6,1,0.5,,
Dragon_Breath,GhostSpell_Fire,1,,,,Bullet,Magic,Corruption,,AI_Empress_DragonBurn,TRUE,,FALSE,1.46,1,1,4,4,4,40,35,40,0,2.5,0,0.8,0,2.5,0,0.8,0,2,0,0.8,0,0.6,,1.5,Small,Small,Small,3,2,1,1,,
Dragon_Dive,GhostSpell_Fire,1,,,,Bullet,Magic,Corruption,,AI_Empress_DragonBurn,TRUE,,FALSE,1.1,1,1,3,3,3,30,25,30,3,2.5,0,0.8,3,2.5,0,0.8,3,2,0,0.8,0,0.7,,1.5,Small,Small,Small,3,1.8,1,1,,
Dragon_Round,GhostSpell_Fire,,,,,Bullet,Magic,Corruption,,,,,FALSE,1.27,1,1,4,4,4,40,35,30,0,7,0,0.8,0,7,0,0.8,0,7,0,0.8,0,1,,1.5,Small,Small,Small,3,2.2,1,1,,
Dragon_Breath_Bump,,1,,,,Bullet,Heavy,Strike,,,,,FALSE,0.3,1,1,3,3,3,25,20,25,0,5,0,0.8,0,5,0,0.8,0,5,0,0.8,0,0.6,,1.5,Small,Small,Small,3,1.2,1,0.5,,
Intro_Bump,,,,,,Bullet,Heavy,Strike,,,,,FALSE,0,1,1,3,3,3,25,20,25,0,5,0,0.8,0,5,0,0.8,0,5,0,0.8,0,0.6,,1.5,Small,Small,Small,3,2,1,0.5,,
Fall,Fall,,1,,1,Bullet,,Falling,,,,,,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,,,
Reaction_Breakout,Fall,1,1,,,Bullet,,Falling,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10,Small,,,1,,,1,1,
