DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement
Dynasty_Warrior_Light_Slash,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.32,1,1,0,0,0,20,15,20,0,0.9,0,0.77,0,0.8,0,0.78,0,0.9,0,0.77,0,0,,0,Small,Small,Small,1,0.16,1,0
Dynasty_Warrior_Slash,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.43,1,1,0,0,0,20,15,20,0,1,0,0.78,0,0.85,0,0.78,0,1,0,0.78,0,0,,0,Small,Small,Small,1,0.23,1,0
Dynasty_Warrior_Light_Stab,Sword,0,0,,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,0.38,1,1,0,0,0,20,15,20,0,1.1,0,0.79,0,1,0,0.79,0,1.1,0,0.79,0,0,,0,Small,Small,Small,1,0.28,1,0
Dynasty_Warrior_Heavy_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.78,1,1,1,0,1,14,14,14,0,1.35,0,0.79,0,1.15,0,0.79,0,1.35,0,0.79,0,1,,1,Small,Small,Small,2,0.44,1,1
Dynasty_Warrior_Heavy_Stab,Sword,0,0,,Bullet,Heavy,Thrust,,,,,,,Deflect_Default,false,0.9,1,1,1,1,1,16,12,16,0,1.6,0,0.8,0,1.3,0,0.79,0,1.6,0,0.8,0,1,,1,Small,Small,Small,2,0.58,1,1
Dynasty_RushSlash,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.62,1,1,1,1,1,16,14,16,0,1.35,0,0.79,0,1.15,0,0.79,0,1.35,0,0.79,0,1,,1,Small,Small,Small,2,0.32,1,1
Dynasty_Warrior_Shield_Bash,Shield,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.68,1,1,2,2,2,21,26,21,0,2.25,0,0.8,0,1.85,0,0.8,0,2.25,0,0.8,0,0.5,,1,Small,Small,Small,3,0.76,1,1
Dynasty_Warrior_Kick,Unarmed,0,0,,Bullet,Light,Strike,,,,,,,,false,0.28,1,1,1,2,1,16,20,16,0,1.65,0,0.79,0,1.4,0,0.8,0,1.65,0,0.79,0,0,,0,Small,Small,Small,2,0.68,1,1
Dynasty_RushBash,Sword,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.42,1,1,3,2,3,32,24,32,0,2.55,0,0.81,0,1.9,0,0.8,0,2.55,0,0.81,0,1,,1,Large,Small,Large,4,0.88,1,1
Deflect_Default,Unarmed,1,0,,,,Deflect,,,,,,,,false,0,0,1,2,2,2,0,0,0,0,1,0,0.8,0,0,0,0,0,1,0,0.8,0,0,,0,Small,Small,Small,0,0.45,1,1
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,,false,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,1,1,1
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,Small,1,,,0
