DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
MW_Attack_Objective,Unarmed,0,0,Bullet,Light,Strike,,,,0,0.0425,0.35,,0,0,0,7,5,7,0,0.35,0,0.8,0,0,0,0.8,0,0.35,0,0.8,0,0.25,,0.2,,Small,Small,Small,1,0.2,1,1,0.1625,0.325
MW_Attack_Hoof_Strike,Unarmed,0,0,Bullet,Light,Strike,,,,0,0.18,1,,0,0,0,7,5,7,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.25,,0.4,,Small,Small,Small,1,0.2,1,0,0.1625,0.325
MW_Attack_Kick,Unarmed,0,0,Bullet,Heavy,Strike,,,,0,0.27,1,,3,2,3,20,10,20,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.3,,1,,Small,Small,Small,1,0.3,1,1,0.1625,0.325
MW_Attack_AntlerSweep_Light,Unarmed,0,0,Bullet,Light,Strike,,,,0,0.18,1,,0,0,0,7,5,7,0,0.35,0,0.8,0,0,0,0.8,0,0.35,0,0.8,0,0.25,,0.2,,Small,Small,Small,1,0.2,1,1,0.1625,0.325
MW_Attack_AntlerSweep_Heavy,Unarmed,0,0,Bullet,Heavy,Slash,,,true,0,0.36,1,,2,1,2,20,15,20,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.3,,1,,Small,Small,Small,2,0.5,1,1,0.1625,0.325
MW_Attack_Headbutt,Unarmed,0,0,Bullet,Heavy,Thrust,,AI_MotherwellElk_SE_Rend,true,0,0.5,1,,3,2,3,25,20,25,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1.25,,1,,Small,Small,Small,3,0.75,1,1,0.1625,0.325
MW_Attack_Charge,Unarmed,0,0,Bullet,Heavy,Thrust,AI_NatureDMG_25,AI_MotherwellElk_SE_Exhaust,,0,0.68,1,,4,4,4,35,30,35,0,4,0,0.8,0,0,0,0.8,0,4,0,0.8,0,1.5,,1.2,,Large,Large,Large,3,1,1,1,0.1625,0.325
MW_Attack_Jump_Slam,Unarmed,0,0,Bullet,Magic,Strike,AI_NatureDMG_50,AI_MotherwellElk_SE_Slow,true,0,0.25,1,,4,2,4,30,15,30,0,4,0,0.8,0,0,0,0.8,0,4,0,0.8,0,1.5,,1.2,,Large,Large,Large,3,0.5,1,1,0.1625,0.325
Fall,Fall,1,1,Bullet,,Falling,,,,0,1,1,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,Small,Small,Small,0,1,1,1,0.1625,0.325
MW_Attack_Panic,Blunt_AI,0,0,Bullet,Light,Strike,,,false,1,1,,2,2,2,25,20,25,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,3,0,1,1,,0.2,1,,Small,Small,Small,0.1625,0.325,
Attack_AntlerSweep_Breakout,Blunt_AI,0,0,Bullet,Light,Strike,,,,0,0.35,1,,3,3,3,15,15,15,0,2,0,0.8,0,0.5,0,0.8,0,2,0,0.8,0,0.3,,10,,Small,Small,Small,3,1,1,0.5,0.1625,0.325
Reaction_Breakout,Blunt_AI,0,0,Bullet,Light,Strike,,,,0,0.35,1,,3,3,3,15,15,15,0,2,0,0.8,0,0.5,0,0.8,0,2,0,0.8,0,0.3,,10,,Small,Small,Small,3,1,1,0.5,0.1625,0.325
