DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Damned_2H_Ranged_Bow,Bow,0,0,true,Bullet,,Thrust,,,,Deflect_Default,false,0.35,1,1,0,1,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,Small,0,0.1,1,0,0.1625,0.325
Dryad_Fast_Ranged,Bow,0,0,true,Bullet,Light,Thrust,,,,Deflect_Default,false,0.25,1,1,0,1,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,Small,0,0.33,1,0,0.1625,0.325
Dryad_Charged_Ranged,Bow,0,0,true,Bullet,Light,Nature,,AI_Poison_55,true,Deflect_Default,false,1,1,1,0,1,0,15,5,15,0,4,0,0.8,0,4,0,0.8,0,0,0,0,0,0,0,Small,0,0.8,1,1,0.1625,0.325
Dryad_Fast_Melee,Bow,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.65,1,1,0,1,0,15,10,15,0,1,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,Small,3,0.33,1,0,0.1625,0.325
Dryad_Charged_Melee,Bow,0,0,,Bullet,Heavy,Strike,,AI_Poison_55,true,Deflect_Default,false,1.1,1,1,3,3,3,30,35,30,0,4,0,0.8,0,4,0,0.8,0,0,0,0.8,0,0,0,Small,4,0.8,1,1,0.1625,0.325
Dryad_Triple_Shot,Bow,0,0,true,Bullet,,Thrust,,,,Deflect_Default,false,0.5,1,1,0,1,0,15,10,15,0,3,0,0.8,0,3,0,0.8,0,0,0,0,0,0,0,Small,0,0.2,1,0,0.1625,0.325
Dryad_Fast_Ranged2,Bow,0,0,true,Bullet,,Thrust,,,,Deflect_Default,false,0.3,1,1,0,1,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,Small,0,0.33,1,1,0.1625,0.325
Dryad_Fast_Ranged3,Bow,0,0,true,Bullet,,Thrust,,,,Deflect_Default,false,0.6,1,1,0,1,0,15,10,15,0,4,0,0.8,0,4,0,0.8,0,0,0,0,0,0,0,Small,0,0.33,1,1,0.1625,0.325
Swamp_Archer_Fast_Ranged,Bow,0,0,true,Bullet,Light,Thrust,,,,Deflect_Default,false,0.25,1,1,0,0,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,Small,0,0.15,1,1,0.1625,0.325
Swamp_Archer_Fast_Ranged2,Bow,0,0,true,Bullet,Light,Thrust,,,,Deflect_Default,false,0.3,1,1,0,0,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,Small,2,0.3,1,1,0.1625,0.325
