DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,StatusEffect,EffectOnlyOnDamage,Affixes,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,StaggerResistModifier,CameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,LOSCheckVerticalAngleOffset
Damned_Priest_Fireball_Spell,DryadMagic,0,0,true,Bullet,Magic,Nature,,0,,,false,0.3,1,1,0,1,0,15,15,15,0,0,0,0.8,0,2,0,0.8,0,0,0,0.8,0,0,0,Small,0,0.1,1,0,
Dryad_Shaman_Rolling_Spell,DryadMagic,0,0,,Bullet,Magic,Nature,,0,,,false,0.8,1,1,2,2,2,20,15,20,0,1.5,0,0.8,0,3,0,0.8,0,0,0,0.8,0,0,0,Small,0,1,1,1,
Damned_Priest_Ranged_AOE_Spell,DryadMagic,0,0,,Bullet,Magic,Nature,,0,,,false,0,0,0,1,2,1,15,15,15,0,1.5,0,0.8,0,2,0,0.8,0,0,0,0.8,0,0,0,Small,0,0.33,1,1,
Damned_Priest_Close_Staff_Attack,Club,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.45,1,1,0,1,0,20,15,20,0,1,0,0.8,0,1.75,0,0.8,0,0,0,0.8,0,1.5,1.75,Small,3,0.3,1,0,
Damned_Priest_Close_Overhead_Staff_Attack,Club,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.8,1,1,0,1,0,20,15,20,0,1,0,0.8,0,1.75,0,0.8,0,0,0,0.8,0,1.5,1.75,Small,3,0.8,1,1,
Dryad_Shaman_BlastAway_Spell,DryadMagic,0,0,,Bullet,Magic,Nature,,0,,,false,0.8,1,1,3,3,3,30,25,30,0,3,0,0.8,0,5,0,0.8,0,0,0,0.8,0,1.2,1,Small,1,1,1,,20
Dryad_Shaman_AOE_Combo,DryadMagic,0,0,,Bullet,Magic,Nature,,0,,,false,0.8,1,1,3,3,3,30,25,30,0,2,0,0.8,0,2,0,0.8,0,0,0,0.8,0,0,0,Small,0,0.8,1,1,
Mushroom,Unarmed,0,1,,Bullet,Magic,Nature,,0,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Shaman_Swamp_Mud_Jets,Club,0,0,,Bullet,Magic,Nature,,0,,,false,0.7,1,1,2,2,2,20,20,20,0,3,0.75,0.8,0,3,0.75,0.8,0,0,0,0.8,0,1.2,5,Small,1,1,1,1,20
Swamp_Shaman_Ranged_AOE,DryadMagic,0,0,,Bullet,Magic,Nature,AI_Root_4sec,0,,,false,0.2,1,1,1,1,1,35,35,35,0,1,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0,5,Small,0,0.33,1,1,
Shaman_Swamp_Thorn_Shot,DryadMagic,0,0,true,Bullet,Magic,Nature,,0,,,false,0.25,1,1,0,1,0,10,10,10,0,0,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0,5,Small,0,0.1,1,0,
Shaman_Swamp_Thorn_Shot_Minion,DryadMagic,0,0,true,Bullet,Magic,Nature,,0,,,false,0.1,1,1,0,0,0,10,10,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,5,Small,0,0.05,1,0,
Shaman_Swamp_Mud_Heal,Club,0,0,true,Bullet,Magic,Nature,,0,,,false,0.7,1,1,4,4,4,30,20,30,0,10,0.75,0.8,0,10,0.75,0.8,0,0,0,0.8,0,1.2,4,Small,1,1,1,0,20
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,1,,1,1,
