DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,DeflectDamageID,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,UseAttackerPosForReaction,HitRuneCharge,HitBlockedRuneCharge
Attack_Swipe_R,GhostMelee,0,0,,Bullet,Light,Lightning,,,,,FALSE,0.3,1,1,0,0,0,10,10,10,0,0.7,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.2,,1,0,1,0.2,1,,,0,,0.1625,0.325
Attack_Flurry,GhostMelee,0,0,,Bullet,Light,Lightning,,,,,FALSE,0.2,1,1,0,0,0,10,10,10,0,0.5,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.15,,1,0,1,0.15,1,,,0,,0.1625,0.325
Attack_Overhead,GhostMelee,0,0,,Bullet,Heavy,Lightning,,,,,FALSE,0.75,1,1,2,2,2,18,18,18,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.35,,1,0,1,0.35,1,,,1,,0.1625,0.325
Spell_Shipwrecked_Lightning_Storm,GhostSpell_Lightning,0,0,true,Bullet,Magic,Lightning,,,ShipwreckedGhost_Shock,True,FALSE,0.65,1,1,1,1,1,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,2.2,0,1,0.8,1,,,1,,0.1625,0.325
Spell_Shipwrecked_Lightning_Bolt,GhostSpell_Lightning,0,0,true,Bullet,Magic,Lightning,,,ShipwreckedGhost_Shock,True,FALSE,0.7,1,1,0,0,0,10,10,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.35,,1.5,0,1,0.4,1,,,0,,0.1625,0.325
Spell_Shipwrecked_Lightning_Flurry,GhostSpell_Lightning,0,0,true,Bullet,Magic,Lightning,,,ShipwreckedGhost_Shock,True,FALSE,0.8,1,1,1,1,1,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1.2,,1.5,0,1,0.35,1,,,0,,0.1625,0.325
Spell_Shipwrecked_Drag_Under,GhostSpell_Lightning,0,0,true,Bullet,Magic,Lightning,,,Waterlogged,True,FALSE,0,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,,1,0,0,0,0,,,1,,0.1625,0.325
Spell_Shipwrecked_Storm_Winds,GhostSpell_Lightning,0,0,,Bullet,Magic,Lightning,,,,,FALSE,0.2,1,1,2,2,2,25,20,25,0,4,0,0.8,0,0,0,0,0,4,0,0.8,0,0,,0.5,0,1,0.5,1,,,1,true,0.1625,0.325
Reaction_Breakout_Attack,GhostMelee,0,0,,Bullet,Heavy,Lightning,,,,,FALSE,,0.7,,3,3,3,35,30,35,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0,,0.6,0,1,0.6,1,,,1,,0.1625,0.325
Attack_Thrust,GhostMelee,0,0,,Bullet,Magic,Lightning,,,,,FALSE,1.3,1,,3,3,3,35,30,35,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.35,,1,0,1,0.35,1,,,1,,0.1625,0.325
Fall,Fall,1,1,,Bullet,,Falling,,,,,FALSE,1,1,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,,,1,,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,FALSE,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,0,1,,,,,1,,0.1625,0.325
Deflect_Default,Blunt_AI,1,0,,,,Standard,,,,,FALSE,0,0,,2,2,2,0,0,0,0,1,0,0.8,0,0,0,0,0,1,0,0.8,0,0,,0,,0,1,1,,,1,,0.1625,0.325
