DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Slash,Unarmed,0,0,false,Bullet,Light,Strike,,,TRUE,false,0.7,1,1,0,0,0,10,10,10,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,1.15,1,,,0,0.1625,0.325
HairToss,Unarmed,0,0,false,Bullet,Light,Slash,,AI_Hercyne_Broodmother_PoisonedRoot,TRUE,false,0.5,1,1,1,1,1,10,10,10,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,1.5,1,,,0,0.1625,0.325
MushroomInfectionAoE,Unarmed,0,0,false,Bullet,Light,Nature,,"AI_Hercyne_Broodmother_MushroomInfection_Dormant,AI_Hercyne_Broodmother_MushroomInfection_Dormant,AI_Hercyne_Broodmother_MushroomInfection_Dormant",TRUE,false,0.2,1,1,1,1,1,10,10,10,0,0.25,0,0.8,0,0,0,0.8,0,0.25,0,0.8,0,0.2,,0,0,1,0.5,1,,,0,0.1625,0.325
Stomp,Unarmed,0,0,false,Bullet,Heavy,Strike,,,TRUE,false,0.8,1,1,1,1,1,10,10,10,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,1.5,1,,,0,0.1625,0.325
StompFinal,Unarmed,0,0,false,Bullet,Heavy,Strike,,,TRUE,false,0.9,1,1,3,3,3,10,10,10,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,10,1,,,0,0.1625,0.325
ScootLoop,Unarmed,0,0,false,Bullet,Light,Slash,,,TRUE,false,0.8,1,1,4,4,4,40,35,40,1,3,0,0.8,1,3,0,0.8,1,3,0,0.8,0,0.2,,0,0,1,1,1,,,0,0.1625,0.325
ScootEnd,Unarmed,0,0,false,Bullet,Heavy,Slash,,,TRUE,false,1,1,1,4,4,4,40,35,40,1,2,0,0.8,1,3,0,0.8,1,3,0,0.8,0,0.2,,0,0,1,1.25,1,,,0,0.1625,0.325
TailSlam,Unarmed,0,0,false,Bullet,Heavy,Strike,,,TRUE,false,0.25,1,1,2,2,2,15,10,10,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,0.2,,0,0,1,0.6,1,,,0,0.1625,0.325
EggBelch,Unarmed,1,0,true,Bullet,Light,Nature,,,TRUE,false,0.35,1,1,1,1,1,15,10,15,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,0.3,1,,,0,0.1625,0.325
EggBelchSpray,Unarmed,0,0,true,Bullet,Light,Nature,,,TRUE,false,0.35,1,1,1,1,1,15,10,15,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,0.5,1,,,0,0.1625,0.325
