DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,ForceAttackToHit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge,ThreatMultiplier,AddThreat,IsTaunt,TauntDuration,TauntThreatBoostPercentage,TauntMinimumThreatValue
Pillar,Unarmed,0,0,,Bullet,Heavy,Strike,,,TRUE,false,true,0.95,0.95,0.95,1,0,0,10,10,10,0,0,14,0.8,0,0,14,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,0.15,1,,,0,0.1625,0.325,1,0,false,0,0,0
Pillar Bottom,Unarmed,1,0,,Bullet,Heavy,Standard,,,TRUE,false,,1.25,1,1,4,0,0,10,10,10,0,1,0,0.8,0,1,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,0.15,1,,,0,0.1625,0.325,1,0,false,0,0,0
Pillar Top,Unarmed,0,0,,Bullet,Heavy,Standard,,AI_Echidna_InstaKill,FALSE,false,,1.25,1,1,0,0,0,10,10,10,0,1,0,0.8,0,1,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,0.15,1,,,0,0.1625,0.325,1,0,false,0,0,0
Missile_Taunt,None,1,1,,Bullet,Ability,Standard,,,FALSE,false,,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,,,0,0,0,1,0,true,8,0.15,1500
Vine Projectile,Ranged,0,0,true,Bullet,Light,Thrust,,AI_Echidna_Vine_Root,FALSE,false,,1,1,1,0,0,0,10,10,10,0,0,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,0.15,1,,,0,0.1625,0.325,1,0,false,0,0,0
Bite,Unarmed,0,,,Bullet,Heavy,Slash,,AI_EchidnaRend_20s,,false,,0.85,0.85,0.85,1,0,0,10,10,10,0,0.5,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,0.85,1,,,0,0.1625,0.325,1,0,false,0,0,0
ClawStomp,Unarmed,0,,,Bullet,Heavy,Slash,,AI_EchidnaRend_20s,,false,,0.75,1,1,1,0,0,10,10,10,0,0,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,1,1,,,0,0.1625,0.325,1,0,false,0,0,0
ClawSwipe,Unarmed,0,,,Bullet,Light,Slash,,AI_EchidnaRend_20s,,false,,0.8,1,1,1,0,0,10,10,10,0,0.5,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,3,1,,,0,0.1625,0.325,1,0,false,0,0,0
Tail_Swipe,Unarmed,1,,,Bullet,Heavy,Strike,,,,false,,1.15,1.15,1.15,4,0,0,30,20,30,0,2,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,3,1,,,0,0.1625,0.325,1,0,false,0,0,0
Scrape,Unarmed,0,,,Bullet,Heavy,Slash,,AI_EchidnaRend_20s,,false,,1,1,1,3,0,0,30,20,30,0,2,1,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,1,1,,,0,0.1625,0.325,1,0,false,0,0,0
FaceSmash,Unarmed,0,,,Bullet,Heavy,Strike,,,,false,,1.5,1,1,4,0,0,40,30,40,0,0,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,3,1,,,0,0.1625,0.325,1,0,false,0,0,0
MissileProjectile,Ranged,0,0,true,Bullet,Light,Thrust,,,,false,,0.5,0.5,0.5,0,0,0,10,10,10,0,0,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,1,1,,,0,0.1625,0.325,1,0,false,0,0,0
BodySlam,Unarmed,1,,,Bullet,Heavy,Strike,,,,false,,1,1,1,4,0,0,40,30,40,0,0,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,0.5,1,,,0,0.1625,0.325,1,0,false,0,0,0
