DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,IsRanged,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,LOSCheckVerticalAngleOffset,stunBreakoutIncrementer,DamageGuildAndGroup,HitRuneCharge,HitBlockedRuneCharge
InflamedSwing,Sword,0,0,Bullet,Light,Fire,,,true,Deflect_Default,false,0.4,1,1,3,1,0,20,5,10,0,0.8,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.6,1,0,,,0.1625,0.325
NeckEruption,Unarmed,0,0,Bullet,Heavy,Fire,true,,true,Deflect_Default,false,0.3,1,1,4,1,0,20,5,10,0,2,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.6,1,0,,,0.1625,0.325
FireballSpit,FireStaff_Proj,0,0,Bullet,Light,Fire,true,,true,Deflect_Default,false,0.2,1,1,0,1,0,20,5,10,0,1,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.6,1,0,,,0.1625,0.325
HeadFlamethrower,Unarmed,0,1,Bullet,Light,Fire,true,UndeadHunter_Burn,false,Deflect_Default,false,0.1,1,1,0,1,0,0,5,0,0,1.1,0,0,0,0,0,0,0,0,0,0.8,0,0.1,0.3,1,Small,Small,3,0.2,1,0,,,0.1625,0.325
FieryDomain_Weak,Unarmed,0,1,Bullet,Light,Fire,true,,false,Deflect_Default,false,0.06,1,1,0,1,0,0,10,10,0,0.3,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.2,1,0,,,0.1625,0.325
FieryDomain_Strong,Unarmed,0,0,Bullet,Heavy,Fire,true,,false,Deflect_Default,false,0.2,1,1,0,1,0,0,15,10,0,1,0,0.8,0,1,0,0.8,0.8,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.2,1,0,,,0.1625,0.325
FieryDomain_InitialImpact,Unarmed,0,0,Bullet,Light,Fire,true,,false,Deflect_Default,false,0,1,1,1,1,0,15,15,10,0,1,0,0.8,0,1,0,0.8,0.8,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.2,1,0,,,0.1625,0.325
InflamedSwingRecovery,Sword,0,0,Bullet,Light,Fire,,,true,Deflect_Default,false,0.25,1,1,1,1,0,20,5,10,0,0.5,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.6,1,0,,,0.1625,0.325
Fall,Fall,1,1,Bullet,,Falling,,,,,false,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,1,,,,0.1625,0.325
Reaction_Breakout,Fall,1,1,Bullet,,Falling,,,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,Small,1,,,,,,0.1625,0.325
