DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Attack_Stomp,Unarmed,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.8,1,1,3,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,3,0.4,1,0,0.1625,0.325
Attack_Trample,Unarmed,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.3,1,1,4,1,0,10,5,10,3,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,4,0.7,1,0,0.1625,0.325
Attack_Trunk_Lob,Mammoth_Lob,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.6,1,1,2,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,2,0.2,1,0,0.1625,0.325
Attack_Trunk_Slam,Unarmed,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.6,1,1,5,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,5,0.6,1,0,0.1625,0.325
Attack_Tusk_Slash_L,Unarmed,0,0,,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.35,1,1,0,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,1,0.25,1,0,0.1625,0.325
Attack_Tusk_Slash_R,Unarmed,0,0,,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.35,1,1,0,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,1,0.25,1,0,0.1625,0.325
Attack_Tusk_Thrust,Unarmed,0,0,,Bullet,Heavy,Thrust,,,,Deflect_Default,false,0.3,1,1,3,1,0,30,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,1,0.5,1,0,0.1625,0.325
Attack_Lava_Toss,Mammoth_LavaToss,0,0,,Bullet,Heavy,Standard,,,,Deflect_Default,false,0.35,1,1,0,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,0,0.2,1,0,0.1625,0.325
Attack_Lightning_Beam,Mammoth_Shock,0,0,,Bullet,Heavy,Lightning,,Mammoth_Lightning_Shock,,Deflect_Default,false,0.2,1,1,0,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,0,0.2,1,0,0.1625,0.325
Attack_Lightning_Strike,Sword,0,0,,Bullet,Heavy,Lightning,,,,Deflect_Default,false,0.35,1,1,5,1,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,0,Small,0,0.4,1,0,0.1625,0.325
