DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,IsRanged,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,LOSCheckVerticalAngleOffset,stunBreakoutIncrementer,DamageGuildAndGroup,HitRuneCharge,HitBlockedRuneCharge
Slash,Unarmed,0,0,Bullet,Light,Slash,,,,Deflect_Default,false,0.25,1,1,0,0,0,10,5,10,0,0.8,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.3,1,0,,,0.1625,0.325
Slash_Maze,Unarmed,0,0,Bullet,Light,Slash,,AI_Medusa_Maze_Unblockable,,Deflect_Default,false,0,1,1,0,0,0,10,5,10,0,0.8,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,4,1,0,,,0.1625,0.325
Slash_Poison,Medusa_SlashPoison,0,0,Bullet,Light,Nature,,AI_Medusa_Poison,true,Deflect_Default,false,0.35,1,1,1,1,1,10,5,10,0,2,0,0.8,0,2,0,0.8,0,2,0,0.8,0,0.3,0.3,1,Small,Small,3,0.8,1,0,,,0.1625,0.325
Charge,Medusa_Charge,0,0,Bullet,Heavy,Strike,,AI_Medusa_Poison,true,Deflect_Default,true,0.4,1,1,3,3,3,35,30,35,0,3,0,0.8,0,3,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.5,1,0,,,0.1625,0.325
Charge_Maze,Medusa_Charge,0,0,Bullet,Heavy,Strike,,AI_Medusa_Maze_Unblockable,,Deflect_Default,true,0,1,1,3,3,3,35,30,35,0,3,0,0.8,0,3,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,4,1,0,,,0.1625,0.325
Tail_Swipe,Unarmed,0,0,Bullet,Heavy,Strike,,,,Deflect_Default,true,0.7,1,1,2,2,2,35,30,35,0,8,0,0.8,0,8,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.2,1,0,,true,0.1625,0.325
Tail_Lash,Unarmed,0,0,Bullet,Heavy,Strike,,,,Deflect_Default,true,0.7,1,1,2,2,2,35,30,35,0,8,0,0.8,0,3,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,1.2,1,0,,,0.1625,0.325
Poison_Spit,Unarmed,0,0,Bullet,Heavy,Nature,true,,,Deflect_Default,true,0.2,1,1,0,0,0,15,10,15,0,1,0,0.8,0,3,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0.15,1,0,,,0.1625,0.325
Poison_Pool,Unarmed,0,0,Bullet,Heavy,Nature,,,,Deflect_Default,false,0,1,1,0,0,0,35,30,35,0,1,0,0.8,0,3,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0,1,0,,,0.1625,0.325
GorgonsGaze,Unarmed,0,0,Bullet,Heavy,Strike,,AI_Medusa_Gaze,,Deflect_Default,false,0,1,1,0,0,0,35,30,35,0,0,0,0.8,0,3,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0,1,0,,,0.1625,0.325
GorgonsGaze_Minion,Unarmed,1,1,Bullet,Heavy,Strike,,AI_Medusa_Petrification_Minion,,Deflect_Default,false,0,1,1,0,0,0,35,30,35,0,0,0,0.8,0,3,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0,1,0,,,0.1625,0.325
GorgonsGaze_Minion_Shatter,Unarmed,1,1,Bullet,Heavy,Strike,,AI_Medusa_Petrification_Minion_Shatter,,Deflect_Default,false,0,1,1,0,0,0,35,30,35,0,0,0,0.8,0,3,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0,1,0,,,0.1625,0.325
GorgonsGaze_Maze,Unarmed,1,1,Bullet,Heavy,Strike,,AI_Medusa_Gaze_Maze,,Deflect_Default,false,0,1,1,0,0,0,35,30,35,0,0,0,0.8,0,3,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0,1,0,,,0.1625,0.325
Petrification,Unarmed,0,0,Bullet,Heavy,Strike,,,,Deflect_Default,false,0,1,1,0,0,0,100,100,100,0,0,0,0.8,0,3,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0,1,0,,,0.1625,0.325
TargetMarker_Gaze_Minion,Unarmed,1,1,Bullet,Heavy,Strike,,AI_Medusa_TargetMarker_Gaze,,Deflect_Default,false,0,1,1,0,0,0,35,30,35,0,0,0,0.8,0,3,0,0.8,0,0,0,0.8,0,0.3,0.3,1,Small,Small,3,0,1,0,,,0.1625,0.325
Pushback,Unarmed,1,0,Bullet,Heavy,Strike,,,,Deflect_Default,false,0,1,1,3,0,0,35,30,35,0,15,0,0.8,0,15,0,0.8,0,15,0,0.8,0,0.3,0.3,1,Small,Small,3,0,1,0,,,0.1625,0.325
