DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,DeflectDamageID,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,HungerDmg,ThirstDmg,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Attack_HeadButt,Blunt_AI,0,0,,Bullet,Unarmed,Heavy,Strike,,,,,,,false,0.6,0.6,0.6,3,1,3,30,20,30,0,2,0,0.8,0,1,0,0.8,0,4,0,0.8,0,0.75,,1,0,0,0,3,0.9,1,Large_short,Small,Large_short,1,0.1625,0.325
Auger_Fall_Damage,Blunt_AI,0,0,,Bullet,Unarmed,Light,Slash,,,,,,,false,0.5,0.5,0.5,1,0,1,30,20,30,0,2,0,0.8,0,1,0,0.8,0,4,0,0.8,0,0.75,,1,0,0,0,3,0.9,1,Large_short,Small,Large_short,1,0.1625,0.325
Attack_FurySwipes,Blunt_AI,0,0,,Bullet,Unarmed,Light,Slash,,,,,,,false,1,1,1,0,0,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.5,,0,0,0,0,3,0.6,1,Small,Small,Large_short,1,0.1625,0.325
Attack_2H_Swing,Blunt_AI,0,0,,Bullet,Unarmed,Heavy,Slash,,,,,,,false,1,1,1,2,0,1,15,10,15,0,0.5,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0.5,,0,0,0,0,3,0.7,1,Small,Small,Large_short,1,0.1625,0.325
Attack_2H_Stab,Blunt_AI,0,0,,Bullet,Unarmed,Heavy,Thrust,,,,,,,false,0.7,0.7,0.7,1,0,1,15,10,15,0,1,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0.5,,0,0,0,0,3,0.7,1,Small,Small,Large_short,1,0.1625,0.325
Attack_2H_Slam,Blunt_AI,0,0,,Bullet,Unarmed,Heavy,Slash,,,,,,TRUE,false,0.7,0.7,0.7,1,0,1,15,10,15,0,0.5,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0.5,,0,0,0,0,3,0.7,1,Small,Small,Large_short,1,0.1625,0.325
Attack_Punch,Blunt_AI,0,0,,Bullet,Unarmed,Light,Strike,,,,,,,false,0.5,0.5,0.5,0,0,0,30,20,30,0,0.5,0,0.8,0,0.5,0,0.8,0,4,0,0.8,0,0.75,,1,0,0,0,3,0.5,1,Large_short,Small,Large_short,1,0.1625,0.325
Auger_Impulse_Outside,Blunt_AI,0,0,,Bullet,,Light,Strike,,,,,,,false,0,0,0,0,0,0,15,10,15,0,-2.5,0,0.8,0,-2.5,0,0.8,0,0,0,0.8,0,0.5,,0,0,0,0,3,0,1,Large_short,Small,Large_short,1,0.1625,0.325
Auger_Impulse_Mid,Blunt_AI,0,0,,Bullet,,Light,Strike,,,,,,,false,0,0,0,0,0,0,15,10,15,0,-3,0,0.8,0,-3,0,0.8,0,0,0,0.8,0,0.5,,0,0,0,0,3,0,1,Large_short,Small,Large_short,1,0.1625,0.325
Auger_Impulse_Center,Blunt_AI,0,0,,Bullet,,Light,Strike,,,,,,,false,0,0,0,0,0,0,15,10,15,0,-3,0,0.8,0,-3,0,0.8,0,0,0,0.8,0,0.5,,0,0,0,0,3,0,1,Large_short,Small,Large_short,1,0.1625,0.325
Auger_Damage,Blunt_AI,0,0,,Bullet,,Light,Strike,,,,,,,false,1,1,1,4,4,4,45,35,45,0,7,0,0.8,0,7,0,0.8,0,0,0,0.8,0,0.5,,0,0,0,0,3,0,1,Large_short,Small,Large_short,1,0.1625,0.325
Ritual_Damage,Blunt_AI,0,0,,Bullet,,Light,Ice,,,,,,,false,1,1,1,3,3,3,45,35,45,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,0,0,0,0,3,0,1,Large_short,Small,Large_short,1,0.1625,0.325
Mani-Fist-Ation-Damage,Mordred_ManiFistAtion,0,0,1,Bullet,,Heavy,Strike,,,,,,,false,0.7,0.7,0.7,4,3,4,45,35,45,0,7,0,0.8,0,7,0,0.8,0,0,0,0.8,0,0.5,,0,0,0,0,3,0,1,Large_short,Small,Large_short,1,0.1625,0.325
