DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,DeflectDamageID,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,HungerDmg,ThirstDmg,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Attack_Barb_Strike,Blunt_AI,0,0,,Bullet,Unarmed,Light,Thrust,,,,,,,false,0.3,1,1,0,2,0,20,15,20,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.5,,0,0,0,0,3,0.6,1,Small,Small,Small,1,0.1625,0.325
Sandworm_BodySlam,Blunt_AI,0,0,,Bullet,Unarmed,Heavy,Strike,,,,,,,false,0.8,1,1,5,3,5,40,35,40,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,0,0,0,0,3,1.25,1,Large_short,Small,Large_short,1,0.1625,0.325
Attack_Slam_Ooze,Blunt_AI,0,0,,Bullet,Unarmed,Heavy,Standard,,,,,,,false,0.7,1,1,0,0,0,30,15,30,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,0,0,0,0,3,0.6,1,Large_short,Small,Large_short,1,0.1625,0.325
Attack_BurrowStrike,Blunt_AI,0,0,,Bullet,Unarmed,Heavy,Thrust,,,,,,,false,0.5,1,1,3,3,3,25,20,25,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,1.5,,1,0,0,0,3,1,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_AcidSpit_Direct,Blunt_AI,0,0,true,Bullet,Unarmed,Magic,Nature,,,,,,,false,0.8,1,1,1,0,0,30,15,30,0,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.3,,1,0,0,0,3,1,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_AcidBall_Direct,Blunt_AI,0,0,true,Bullet,Unarmed,Magic,Nature,,,,,,,false,0.4,1,1,1,0,0,30,15,30,0,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.3,,1,0,0,0,3,1,1,Large_short,Small,Large_short,1,0.1625,0.325
Attack_Sweep,Blunt_AI,0,0,,Bullet,Unarmed,Heavy,Slash,,,,,,,false,0.6,1,1,4,3,4,30,20,30,0,4,0,0.8,0,0,0,0.8,0,4,0,0.8,0,0.75,,1,0,0,0,3,0.75,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_Emerge,Blunt_AI,0,0,,Bullet,Unarmed,Heavy,Strike,,,,,,,false,1,1,1,4,3,3,25,35,30,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,0,0,0,0,3,0.8,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_WormPellet_Explosion,Unarmed,1,0,,Bullet,Unarmed,Heavy,Corruption,,,,,,,false,1,1,1,4,3,5,40,35,40,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,0,0,0,0,3,1.25,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_BodySweep,Unarmed,0,0,,Bullet,Unarmed,Heavy,Corruption,,,,,,,false,1,1,1,4,3,5,40,35,40,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,0,0,0,0,3,1.25,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_BodySweep_L,Unarmed,0,0,,Bullet,Unarmed,Heavy,Corruption,,,,,,,false,1,1,1,4,3,5,40,35,40,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,0,0,0,0,3,1.25,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_BodySweep_R,Unarmed,0,0,,Bullet,Unarmed,Heavy,Corruption,,,,,,,false,1,1,1,4,3,5,40,35,40,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,0,0,0,0,3,1.25,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_Chomp,Blunt_AI,0,0,,Bullet,Unarmed,Heavy,Strike,,,,,,,false,2,1,1,5,3,3,25,35,30,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,0,0,0,0,3,0.8,1,Large_short,Small,Large_short,1,0.1625,0.325
Sandworm_StrafingRun,Blunt_AI,0,0,,Bullet,Unarmed,Heavy,Strike,,,,,,,false,1,1,1,5,3,3,25,35,30,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1,,0,0,0,0,3,0.8,1,Large_short,Small,Large_short,1,0.1625,0.325
