DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Fast_Melee,Musket,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.2,1,1,0,1,0,30,25,30,0,0.75,0,0.8,0,0.75,0,0.8,0,0,0,0.8,0,1.5,1.75,Small,3,0.15,1,0,0.1625,0.325
Archer_Charged_Ranged,Bow,0,0,true,Bullet,Magic,Arcane,,AI_Rend,true,Deflect_Default,false,0.9,1,1,0,0,0,30,25,30,0,2,0,0.8,0,2,0,0.8,0,0,0,0.8,0,0,0,Small,1,1,1,1,0.1625,0.325
Arcane_Skeleton_Ranged_Bow,Bow,0,0,true,Bullet,Magic,Arcane,,,,Deflect_Default,false,0.7,1,1,0,1,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,Small,2,0.15,1,0,0.1625,0.325
Fast_Ranged,Bow,0,0,true,Bullet,Light,Thrust,,,,,false,0.3,1,1,0,1,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,Small,0,0.2,1,0,0.1625,0.325
Fast_Ranged2,Bow,0,0,true,Bullet,Light,Thrust,,,,,false,0.3,1,1,0,1,0,10,15,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,Small,0,0.35,1,1,0.1625,0.325
Fast_Ranged3,Bow,0,0,true,Bullet,Light,Thrust,,,,,false,1.15,1,1,0,1,0,10,15,10,0,4,0,0.8,0,4,0,0.8,0,0,0,0,0,0,0,Small,1,0.45,1,1,0.1625,0.325
AnubianArcher_Fire_Ranged_Bow,Bow,0,0,true,Bullet,Magic,Fire,,,true,Deflect_Default,false,0.15,1,1,0,1,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,Small,2,0.15,1,0,0.1625,0.325
AnubianArcher_BurningVolley,Bow,0,0,true,Bullet,Magic,Fire,,AI_Anubian_Burn_9,true,Deflect_Default,false,0.15,1,1,0,1,0,30,25,30,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,Small,0,0.15,1,0,0.1625,0.325
AnubianArcher_ImmolationDodge,Bow,0,0,true,Bullet,Magic,Fire,,,,Deflect_Default,false,0.35,1,1,0,1,0,30,25,30,0,1,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,Small,1,0.15,1,0,0.1625,0.325
AnubianArcher_SunShot_Projectile,Bow,0,0,true,Bullet,Magic,Fire,,AI_Anubian_Burn_9,true,Deflect_Default,false,0.2,0,0,0,1,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.75,Small,1,0.15,1,0,0.1625,0.325
AnubianArcher_SunShot_Explosion,Bow,0,0,,Bullet,Magic,Fire,,,,Deflect_Default,false,0.35,1,1,0,1,0,10,15,10,0,0,0,0.8,0,1.75,0,0.8,0,0,0,0.8,0,1.5,1.75,Small,3,0.15,1,0,0.1625,0.325
Fall,Fall,1,1,,Bullet,,Falling,,,,,,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,0,1,1,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,1,,,1,0.1625,0.325
