DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement
Undead_Flying_Attack,Sword,0,0,,Bullet,Heavy,Thrust,,AI_Disease,true,Deflect_Default,false,0.95,1,,1,1,1,13,10,13,0,1.1,0,0.8,0,0,0,0.8,0,1.1,0,0.8,0,0.5,,0.9,Small,Small,4,0.6,1,1
Undead_Unarmed_Hook_Swing,Unarmed,0,0,,Bullet,Light,Slash,,,,Deflect_Default,false,0.25,1,,0,0,0,15,15,15,0,0.6,0,0.8,0,0,0,0.8,0,0.6,0,0.8,0,0,,0,Small,Small,3,0.2,1,0
Undead_Unarmed_Hook_Uppercut,Sword,0,0,,Bullet,Heavy,Slash,,AI_Disease,true,Deflect_Default,false,0.6,1,,4,4,4,30,34,30,0,3.2,0.5,0.8,0,0,0,0.8,0,3.2,0.5,0.8,0,0.7,,1.4,Small,Small,4,1.1,1,1
Undead_1H_Sword_Attack360_1,Sword,0,0,,Bullet,Light,Slash,,,,Deflect_Default,false,0.3,1,,0,0,0,13,15,13,0,0.4,0,0.8,0,0,0,0.8,0,0.4,0,0.8,0,0.3,,1,Small,Small,3,0.15,1,0
Undead_1H_Sword_Attack360_2,Sword,0,0,,Bullet,Heavy,Slash,,,,Deflect_Default,false,0.5,1,,1,1,1,11,8,11,0,0.9,0,0.8,0,0,0,0.8,0,0.9,0,0.8,0,0.5,,1,Small,Small,3,0.4,1,0.5
Undead_1H_Sword_Slash,Sword,0,0,,Bullet,Light,Slash,,,,Deflect_Default,false,0.25,1,,0,0,0,15,10,15,0,0.35,0,0.8,0,0,0,0.8,0,0.35,0,0.8,0,0,,0,Small,Small,3,0.1,1,0
Undead_1H_Sword_Stab,Sword,0,0,,Bullet,Light,Thrust,,,,Deflect_Default,false,0.35,1,,0,0,0,20,15,20,0,0.5,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0,,0,Small,Small,3,0.2,1,0
Undead_1H_Sword_BreakGuard,Sword,0,0,,Bullet,Heavy,Thrust,,,,Deflect_Default,false,1,1,,3,3,3,30,30,30,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1.2,,1,Small,Small,3,0.7,1,1
Undead_1H_Sword_RunOverhead,Sword,0,0,,Bullet,Light,Slash,,,,Deflect_Default,false,0.4,1,,0,0,0,19,16,19,0,0.45,0,0.8,0,0,0,0.8,0,0.45,0,0.8,0,1.2,,1,Small,Small,3,0.2,1,0
Undead_Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,,10,Small,Small,3,,,1
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,,10,Small,Small,3,,,1
