DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID," UseAttackerPosForReaction",CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Undead_GraveDigger_Swing,Axe,0,0,,Bullet,Light,Slash,,,,Deflect_Default,,false,0.4,1,1,0,0,0,15,15,15,0,1,0,0.75,0,0,0,0.78,0,1,0,0.75,0,0,,0,Small,Small,1,0.75,1,1,0.1625,0.325
Undead_GraveDigger_Storm,Axe,0,0,,Bullet,Light,Strike,,,true,Deflect_Default,,false,0.2,1,1,0,0,0,25,35,25,0,0.85,0,0.78,0,0,0,0.8,0,0.85,0,0.78,0,1.2,,1,Small,Small,1,0.38,1,0.25,0.1625,0.325
Undead_GraveDigger_Storm_Final,Axe,0,0,,Bullet,Heavy,Strike,,,true,Deflect_Default,,false,0.4,1,1,1,2,1,16,24,16,0,1.9,0,0.81,0,0,0,0.82,0,1.9,0,0.81,0,1.2,,1,Small,Small,2,0.75,1,1,0.1625,0.325
Undead_Cryptkeeper_ReaperEmbrace,Axe,0,0,,Bullet,Heavy,Slash,,AI_Cryptkeeper_ReaperEmbrace,true,Deflect_Default,true,false,0.5,1,1,2,1,0,15,15,15,0,-6,0,0.75,0,0,0,0.78,0,1,0,0.75,0.1,0,,0,Small,Small,1,1,1,1,0.1625,0.325
Undead_Cryptkeeper_TombstoneDestruction,Axe,0,0,,Bullet,Heavy,Arcane,,,,Deflect_Default,,false,0.1,1,1,4,0,0,16,16,16,0,1.1,0,0.74,0,0,0,0.77,0,1.1,0,0.74,0,0,,0,Small,Small,1,0.45,1,0,0.1625,0.325
Undead_Cryptkeeper_Tombstone_Pulse,Axe,1,0,,Bullet,Light,Arcane,,,,Deflect_Default,,false,0.75,1,1,0,0,1,25,35,25,0,0,0,0.78,0,0,0,0.8,0,0.85,0,0.78,0,1.2,,1,Small,Small,1,0.5,1,0.25,0.1625,0.325
Undead_Cryptkeeper_Tombstone_InitialPulse,Axe,1,0,,Bullet,Light,Arcane,,AI_Cryptkeeper_Tombstone_Root,true,Deflect_Default,,false,0.4,1,1,0,0,1,25,35,25,0,0,0,0.78,0,0,0,0.8,0,0.85,0,0.78,0,1.2,,1,Small,Small,1,0.5,1,0.25,0.1625,0.325
Undead_Cryptkeeper_Tombstone_Push,Axe,1,0,,Bullet,Light,Arcane,,,,Deflect_Default,,false,0,1,1,0,0,0,25,35,25,0,1.5,0,0.78,0,0,0,0.8,0,0.85,0,0.78,0,1.2,,1,Small,Small,1,0.38,1,0.25,0.1625,0.325
Undead_Cryptkeeper_Tombstone_Dot,Axe,1,1,,Bullet,Light,Arcane,,,,Deflect_Default,,false,0.1,1,1,0,0,0,25,35,25,0,0,0,0.78,0,0,0,0.8,0,0.85,0,0.78,0,1.2,,1,Small,Small,1,0.38,1,0.25,0.1625,0.325
Undead_Cryptkeeper_Tombstone_Finisher,Axe,1,0,,Bullet,Light,Arcane,,,,Deflect_Default,,false,0.4,1,1,0,0,1,25,35,25,0,0,0,0.78,0,0,0,0.8,0,0.85,0,0.78,0,1.2,,1,Small,Small,1,0.5,1,0.25,0.1625,0.325
Undead_Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,,10,Small,Small,3,,,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,,10,Small,Small,3,,,1,0.1625,0.325
