DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement
Undead_1H_Melee_Light,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.5,1,0.5,0,1,0,20,15,20,0,0.75,0,0.8,0,0.9,0,0.8,0,0.75,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_1H_Melee_Primary,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.5,1,0.5,0,1,0,20,15,20,0,0.75,0,0.8,0,0.9,0,0.8,0,0.75,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_1H_Melee_Heavy,Sword,0,0,,Bullet,Heavy,Thrust,,,,,,,Deflect_Default,false,1.63,1,1.63,3,3,3,30,30,30,0,1.25,0,0.8,0,0.9,0,0.8,0,1.25,0,0.8,0,1.2,,1,Small,Small,Small,3,0.45,1,1
Undead_2H_GreatAxe_Melee_Light,Axe,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,1.98,1,1.98,0,1,0,20,15,20,0,1.55,0,0.8,0,0.9,0,0.8,0,1.55,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_2H_GreatAxe_Melee_Medium,Axe,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,3.15,1,3.15,0,2,0,20,15,20,0,1.55,0,0.8,0,0.9,0,0.8,0,1.55,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_2H_GreatAxe_Melee_Heavy,Axe,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,3.65,1,3.65,3,3,3,20,30,20,0,1.55,0,0.8,0,1,0.45,0.8,0,1.55,0,0.8,0,1.2,,1,Small,Small,Small,3,0.7,1,1
Undead_Shield_Bash,Shield,0,0,,Bullet,Heavy,Strike,,,,,AI_Disease,true,Deflect_Default,false,0.75,1,0.75,3,3,3,20,30,20,0,3,0,0.8,0,1.5,0,0.8,0,3,0,0.8,0,0.5,,1,Small,Small,Small,4,0.7,1,1
UndeadVillager_1H_Melee_Primary,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.5,1,0.5,0,1,0,20,15,20,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,,0,Small,Small,Small,0,0.33,1,1
Undead_2H_Melee_Primary,Axe,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.5,1,0.5,0,1,0,20,15,20,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,,0,Small,Small,Small,3,0.2,1,1
Undead_2H_Melee_Spear,Spear,0,0,,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,0.5,1,0.5,0,2,0,20,15,20,0,1.25,0,0.8,0,0.9,0,0.8,0,1.25,0,0.8,0,0,,0,Small,Small,Small,3,0.1,1,1
Undead_2H_Melee_Spear_Heavy,Spear,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,1.95,1,1.95,3,3,3,20,30,20,0,1.25,0,0.8,0,1,0.45,0.8,0,1.25,0,0.8,0,1.2,,1,Small,Small,Small,3,0.15,1,1
UndeadVillager_2H_Melee_Primary,Axe,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.5,1,0.5,0,1,0,20,15,20,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_Unarmed_Kick,Unarmed,0,0,,Bullet,Heavy,Strike,,,,,,,,false,0.88,1,0.88,2,2,2,30,20,30,0,1,0,0.8,0,0,0,0,0,1,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_1H_Melee_Alternate,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.5,1,0.5,2,2,2,15,10,15,0,0.75,0,0.8,0,0.5,0,0,0,0.75,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_2H_Melee_Alternate,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.5,1,0.5,0,1,0,20,15,20,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_2H_Melee_Heavy,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,1.7,1,1.7,3,3,3,20,30,20,0,0,0,0.8,0,1,0.45,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,3,0.99,1,1
Undead_1H_Sword_Attack1,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.5,1,0.5,1,2,1,16,15,16,0,1,0,0.8,0,0.75,0,0.8,0,1,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_2H_Ranged_Musket,Musket,0,0,true,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,1.51,1,1.51,0,0,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_2H_Ranged_Melee_Knockdown,Musket,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.7,1,0.7,3,3,3,25,20,25,0,1.75,0,0.8,0,0,0,0.8,0,1.75,0,0.8,0,1.5,,1.75,Small,Small,Small,3,0.33,1,1
Undead_2H_Ranged_Bow,Bow,0,0,true,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,1.28,1,1.28,0,1,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_1H_Ranged_Pistol_Aimed_Shot,Musket,0,0,true,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,1.7,1,1.7,0,0,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_1H_Ranged_Pistol_Hip_Shot,Musket,0,0,true,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,0.3,1,0.3,0,0,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_Spell_Fireball,Torch,0,0,true,Bullet,,Thrust,,,,,,,Deflect_Default,false,1.83,1,1.83,1,1,1,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_Spell_GroundWave,Unarmed,0,0,,Bullet,,Thrust,,,,,,,Deflect_Default,false,1.37,1,1.37,1,1,1,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_Spell_AOE,Unarmed,0,0,,Bullet,,Thrust,,,,,,,Deflect_Default,false,2.43,1,2.43,1,1,1,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
UndeadDeflect_Default,Unarmed,1,0,,,,Deflect,,,,,,,,false,0,0,0,2,2,2,0,0,0,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,,0,Small,Small,Small,3,0.45,1,1
Undead_Fireball_Spell,StaffSpells_No_Environment,0,0,true,Bullet,Arcane,Arcane,,,,,,,,false,1.44,1,1.44,2,2,2,20,15,20,0,2,0,0.8,0,1,0,0.8,0,2,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_GroundWave_Spell,StaffSpells_No_Environment,0,0,,Bullet,Arcane,Arcane,,,,,,,,false,0.29,1,0.29,2,2,2,30,25,30,0,2,0,0.8,0,1,0,0.8,0,2,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_Ranged_AOE_Spell,StaffSpells_No_Environment,0,0,,Bullet,Arcane,Arcane,,,,,,,,false,0.8,0.8,0.8,3,3,3,30,25,30,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_BlastAway_Spell,StaffSpells_No_Environment,0,0,,Bullet,Arcane,Arcane,,,,,,,,false,1.84,1,1.84,4,4,4,30,20,30,0,6,0.75,0.8,0,0,0,0.8,0,6,0.75,0.8,0,1.2,,1,Small,Small,Small,3,0.55,1,1
Undead_Close_Staff_Attack,Unarmed,0,0,,Bullet,Light,Strike,,,,,,,Deflect_Default,false,1.15,1,1.15,3,3,3,25,20,25,0,1.75,0,0.8,0,0,0,0.8,0,1.75,0,0.8,0,1.5,,1.75,Small,Small,Small,3,0.33,1,1
Undead_Close_Overhead_Staff_Attack,Unarmed,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,1.38,1,1.38,3,3,3,25,20,25,0,1.75,0,0.8,0,0,0,0.8,0,1.75,0,0.8,0,1.5,,1.75,Small,Small,Small,3,0.33,1,1
Undead_Fall,Fall,1,1,,Bullet,,Falling,,,,,,,,false,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,,0,Small,Small,Small,3,1,1,1
Undead_1H_Ranged_Pistol_Hip_BreakGuard,Musket,0,0,true,Bullet,Light,Thrust,,,,,,,,false,0.45,1,0.45,10,10,10,30,20,30,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1.2,,1,Small,Small,Small,3,3,1,1
Undead_1H_Sword_Attack360_1,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.75,0.75,0.75,2,2,2,20,15,20,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.5,,1,Small,Small,Small,3,0.5,1,1
Undead_1H_Sword_Attack360_2,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.75,0.75,0.75,2,2,2,25,20,25,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.5,,1,Small,Small,Small,3,0.5,1,1
Undead_Unarmed_Hook_Swing,Unarmed,0,0,,Bullet,Light,Slash,,,,,,,,false,0.88,1,0.88,1,2,1,15,15,15,0,1.25,0,0.8,0,0,0,0.8,0,1.25,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_Unarmed_Hook_Uppercut,Sword,0,0,,Bullet,Heavy,Slash,,,,,AI_Disease,true,Deflect_Default,false,1,1,1,4,3,4,30,20,30,0,3,0.25,0.8,0,0,0,0.8,0,3,0.25,0.8,0,0.5,,1,Small,Small,Small,3,0.4,1,1
Undead_Flying_Attack,Sword,0,0,,Bullet,Heavy,Thrust,,,,,AI_Disease,true,Deflect_Default,false,0.85,0.85,0.85,3,3,3,20,15,20,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0.5,,1,Small,Small,Small,4,0.4,1,1
Undead_1H_Sword_BreakGuard,Sword,0,0,,Bullet,Heavy,Thrust,,,,,,,Deflect_Default,false,1,1,1,3,3,3,20,15,20,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1.2,,1,Small,Small,Small,3,0.7,1,1
Undead_Navigator_Dash_Melee,Unarmed,0,0,,Bullet,Light,Slash,,,,,,,,false,1,1,1,4,3,4,20,15,20,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.5,,1,Small,Small,Small,4,1,1,1
Undead_Navigator_Blade_Single,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.8,1,0.8,0,1,0,20,15,20,0,1.25,0,0.8,0,0,0,0.8,0,1.25,0,0.8,0,0.33,,0,Small,Small,Small,3,0.4,1,1
Undead_Navigator_Blade_Combo_Straight,Sword,0,0,,Bullet,Light,Thrust,,,,,AI_Disease,true,Deflect_Default,false,0.35,1,0.35,1,1,1,10,15,10,0,0.8,0,0.8,0,0,0,0.8,0,0.8,0,0.8,0,0.1,,1,Small,Small,Small,3,0.15,1,1
Undead_Navigator_Blade_LR_Combo,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.5,1,0.5,3,3,3,20,20,20,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.5,,1,Small,Small,Small,3,0.3,1,1
Undead_Navigator_Blade_LR,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.4,1,0.4,1,3,1,20,20,20,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.35,,1,Small,Small,Small,3,0.2,1,1
Undead_Navigator_Breakout_Dash,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.2,1,0.2,2,2,2,20,15,20,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.8,,1,Small,Small,Small,4,0.7,1,1
Undead_Navigator_Breakout_Slash,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.3,1,0.3,4,3,4,20,15,20,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.8,,1,Small,Small,Small,4,1,1,1
Undead_Navigator_Spell_GRIT,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.3,1,0.3,4,3,4,20,15,20,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0.5,,3.5,Small,Small,Small,4,0.7,1,1
Undead_Navigator_Pistol_Hip_Shot,Musket,0,0,true,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,0.6,1,0.6,0,0,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.33,,0,Small,Small,Small,3,0.33,1,1
Undead_Navigator_Pistol_Rapid_Fire,Musket,0,0,true,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,0.35,1,0.35,0,0,0,10,10,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.1,,0,Small,Small,Small,3,0.2,1,1
Undead_Hunter_Bow_Normal,Bow,0,0,true,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,0.5,0.5,0.5,0,0,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.33,,0,Small,Small,Small,3,0.33,1,1
Undead_Hunter_Bow_Special,Bow,0,0,true,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,,0,,Small,Small,3,0,1,1
Undead_Hunter_SpitFire,Torch,0,0,true,Bullet,Arcane,Fire,,,,,,true,Deflect_Default,false,0.15,0.15,0.15,2,2,2,20,10,20,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.15,,0,Medium,Small,Small,3,0.2,1,1
Undead_Hunter_Torch_Swing,Torch,0,0,,Bullet,Arcane,Fire,,,,,,,Deflect_Default,false,0.5,1,0.5,1,1,1,15,10,15,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.33,,0.6,Small,Small,Small,3,0.33,1,1
Undead_Hunter_Swing_Breakout,Torch,0,0,,Bullet,Arcane,Fire,,,,,,,Deflect_Default,false,0.3,1,0.3,2,2,2,25,20,25,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0.5,,0.6,Small,Small,Small,3,0.4,1,1
Undead_Hunter_Bow_Breakout,Bow,0,0,true,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,0.4,0.5,0.4,2,2,2,25,20,25,0,2.5,0,0.8,0,0,0,0.8,0,2.5,0,0.8,0,0.04,,0.6,Small,Small,Small,3,0.33,1,1
Undead_Hunter_Bow_Special_Explosion,Sword,0,0,true,Bullet,Arcane,Fire,,,,,AI_Disease,true,Deflect_Default,false,1,1,1,3,3,3,30,20,30,0,2.5,0,0.8,0,0,0,0.8,0,2.5,0,0.8,0,1,,0,Medium,Small,Small,3,1.2,1,1
Undead_Hunter_Swing_Single,Torch,0,0,,Bullet,Arcane,Fire,,,,,,,Deflect_Default,false,0.15,0.15,0.15,0,0,0,15,10,15,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.33,,0,Small,Small,Small,3,0.33,1,1
Undead_GraveDigger_Swing,Axe,0,0,,Bullet,Light,Slash,,,,,AI_Disease,true,Deflect_Default,false,0.5,1,0.5,1,2,1,15,15,15,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,,0,Small,Small,Small,3,0.5,1,1
Undead_GraveDigger_Charge,Axe,0,0,,Bullet,Heavy,Thrust,,,,,,,Deflect_Default,false,1,1,1,3,3,3,25,15,25,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0,,0,Small,Small,Small,3,2,1,1
