DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,StaminaDmg,HitRuneCharge,HitBlockedRuneCharge
Javelineer_Stab,Sword,0,0,,Bullet,Light,Thrust,,,,false,0.42,1,,0,0,0,12,18,12,0,1.2,0,0.78,0,0,0,0.77,0,1.2,0,0.78,0,1,,1,Small,Small,0,0.32,1,0,0,0.1625,0.325
Javelineer_HeavyStab,Sword,0,0,,Bullet,Heavy,Thrust,,,,false,0.5,1,,0,1,0,12,18,12,0,1.35,0,0.79,0,0,0,0.78,0,1.35,0,0.79,0,1,,1,Small,Small,0,0.45,1,0,0,0.1625,0.325
Javelineer_Flurry,Sword,0,0,,Bullet,Light,Thrust,,,,false,0.31,1,,0,0,0,20,12,20,0,1,0,0.78,0,0,0,0.77,0,1,0,0.78,0,1,,1,Small,Small,0,0.24,1,0,0,0.1625,0.325
Javelineer_Lunge,Sword,0,0,,Bullet,Heavy,Thrust,,,,false,1,1,,2,1,2,21,14,21,0,1.9,0,0.8,0,0,0,0.8,0,1.9,0,0.8,0,1,,1,Small,Small,0,1.1,1,0.5,0,0.1625,0.325
Javelineer_Lunge_Knockback,Sword,0,0,,Bullet,Heavy,Thrust,,,,false,0,1,,2,1,2,24,18,24,0,2.35,0,0.82,0,0,0,0.82,0,2.35,0,0.82,0,1,,1,Small,Small,0,0.2,1,0.5,0,0.1625,0.325
Javelineer_Slash,Sword,0,0,,Bullet,Light,Slash,,,,false,0.61,1,,0,1,0,20,14,20,0,1.4,0,0.78,0,0,0,0.79,0,1.4,0,0.78,0,1,,1,Small,Small,0,0.54,1,0,0,0.1625,0.325
Javelineer_Slash_Light,Sword,0,0,,Bullet,Light,Slash,,,,false,0.38,1,,0,0,0,12,15,12,0,0.95,0,0.76,0,0,0,0.76,0,0.95,0,0.76,0,1,,1,Small,Small,0,0.4,1,0,0,0.1625,0.325
Javelineer_Slash_Heavy,Sword,0,0,,Bullet,Heavy,Slash,,,,false,0.8,1,,1,1,1,16,17,16,0,1.55,0,0.78,0,0,0,0.78,0,1.55,0,0.78,0,1,,1,Small,Small,0,0.95,1,1,0,0.1625,0.325
Fall,Fall,1,1,,Bullet,,Falling,,,,,1,1,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,1,,0,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,1,,1,1,1,0.1625,0.325
