DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,DeflectDamageID,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Attack_Swipe,Blunt_AI,0,0,,Bullet,Light,Strike,,,,,FALSE,0.3,1,,0,0,0,10,10,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.15,,0.4,0,1,0.2,1,,,0,0.1625,0.325
Attack_Swipe_Water,Blunt_AI,0,0,,Bullet,Light,Strike,,AI_LIghtningDMG_75,,,FALSE,0.35,1,,0,0,0,15,15,15,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.2,,0.4,0,1,0.25,1,,,0,0.1625,0.325
Attack_Overhead,Blunt_AI,0,0,,Bullet,Heavy,Strike,,,,,FALSE,0.7,1,,3,3,3,35,30,35,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.5,,1,0,1,0.75,1,,,1,0.1625,0.325
Attack_Overhead_Water,Blunt_AI,0,0,,Bullet,Heavy,Strike,,AI_LIghtningDMG_75,,,FALSE,0.8,1,,4,4,4,40,35,40,0,1.5,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.6,,1,0,1,0.85,1,,,1,0.1625,0.325
Attack_Dash,Blunt_AI,0,0,,Bullet,Heavy,Strike,,,,,FALSE,0.6,1,,2,2,2,20,15,20,0,1.75,0,0.8,0,0,0,0.8,0,1.75,0,0.8,0,0.3,,1,0,1,0.5,1,,,1,0.1625,0.325
Attack_Dash_Water,Blunt_AI,0,0,,Bullet,Heavy,Strike,,AI_LIghtningDMG_75,,,FALSE,0.7,1,,3,3,3,35,30,35,0,1.75,0,0.8,0,0,0,0.8,0,1.75,0,0.8,0,0.4,,1,0,1,0.6,1,,,1,0.1625,0.325
Anchor_Toss,Blunt_AI,0,0,true,Bullet,Heavy,Strike,,,,,FALSE,0.7,1,,4,4,4,40,35,40,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.9,,0.8,0,1,4,1,,,1,0.1625,0.325
Anchor_Toss_Water,Blunt_AI,0,0,true,Bullet,Heavy,Strike,,AI_LIghtningDMG_75,,,FALSE,0.7,1,,4,4,4,40,35,40,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.9,,0.8,0,1,4,1,,,1,0.1625,0.325
Anchor_Toss_Water_Impact,Blunt_AI,0,0,true,Bullet,Heavy,Lightning,,,,,FALSE,0.2,1,,4,4,4,40,35,40,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.9,,0.8,0,1,4,1,,,1,0.1625,0.325
Attack_Spin,Blunt_AI,0,0,,Bullet,Light,Strike,,,,,FALSE,0.4,1,,3,3,3,30,25,30,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.35,,0.6,0,1,0.35,1,,,0.5,0.1625,0.325
Attack_Spin_Water,Blunt_AI,0,0,,Bullet,Light,Strike,,AI_LIghtningDMG_75,,,FALSE,0.5,1,,3,3,3,30,25,30,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.45,,0.6,0,1,0.45,1,,,0.5,0.1625,0.325
Spell_Anchor_Slam,Blunt_AI,0,0,,,Heavy,Strike,,,,,FALSE,0.85,1,,3,3,3,30,25,30,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0.7,,1.7,0,1,0.7,2,,,1,0.1625,0.325
Spell_Anchor_Slam_Water,Blunt_AI,0,0,,,Heavy,Strike,,AI_LIghtningDMG_75,,,FALSE,0.95,1,,4,4,4,35,30,35,0,3,0.5,0.8,0,0,0,0.8,0,3,0.5,0.8,0,0.8,,2.2,0,1,0.8,2,,,1,0.1625,0.325
Spell_Storm_Shield,Blunt_AI,0,0,,,Magic,Lightning,,,,,FALSE,0.3,1,,4,4,4,35,30,35,0,3,0.5,0.8,0,0,0,0.8,0,3,0.5,0.8,0,2,,2.2,0,1,0.8,2,,,1,0.1625,0.325
Attack_Breakout,Blunt_AI,0,0,,Bullet,Light,Strike,,,,,FALSE,0.65,1,,3,3,3,35,30,35,0,2.5,0,0.8,0,0,0,0.8,0,2.5,0,0.8,0,0.5,,1,0,1,0.5,1,,,1,0.1625,0.325
Attack_Breakout_Water,Blunt_AI,0,0,,Bullet,Light,Strike,,AI_LIghtningDMG_75,,,FALSE,0.75,1,,4,4,4,40,35,40,0,3.5,0,0.8,0,0,0,0.8,0,3.5,0,0.8,0,0.6,,1,0,1,0.6,1,,,1,0.1625,0.325
Fall,Fall,1,1,,Bullet,,Falling,,,,,,1,1,,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,,,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,0,1,1,1,,,1,0.1625,0.325
Deflect_Default,Blunt_AI,1,0,,,,Standard,,,,,,0,0,,2,2,2,0,0,0,0,1,0,0.8,0,0,0,0,0,1,0,0.8,0,0,,0,,0,1,1,,,1,0.1625,0.325
