DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,IsRanged,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge,UseAttackerPosForReaction
2H_Swipe_L,Unarmed,0,0,Bullet,Light,Slash,,,,,false,0.25,1,1,0,0,0,10,10,10,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0,1,0.1,1,,,0,0.1625,0.325,
2H_Swipe_R,Unarmed,0,0,Bullet,Heavy,Slash,,,,,false,0.25,1,1,0,0,0,10,10,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.15,,0,0,1,0.1,1,,,0,0.1625,0.325,
2H_Swipe_Combo,Unarmed,0,0,Bullet,Heavy,Slash,,,,,false,0.3,1,1,0,0,0,25,20,25,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.4,,1,0,1,0.1,1,,,1,0.1625,0.325,
Projectile,Unarmed,0,0,Bullet,Magic,Arcane,true,,,,false,0.3,1,1,0,0,0,25,25,25,0,0.5,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0,,1,0,1,0.1,1,,,1,0.1625,0.325,
Beam,Unarmed,0,0,Bullet,Magic,Arcane,true,,,,false,0.2,0.2,0.2,0,0,0,25,25,25,0,0.1,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0,,1,0,1,1,1,,,1,0.1625,0.325,
Consort_Close_AOE,Unarmed,0,0,Bullet,Magic,Arcane,,,,,false,0.9,1,1,1,1,1,10,10,10,0,1,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0,,1,0,1,1,1,,,1,0.1625,0.325,true
Chains_Of_Suffering,Unarmed,0,0,Bullet,Magic,Arcane,,,,,false,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,,,1,0.1625,0.325,
Consume_Meatbag,Unarmed,0,0,Bullet,Magic,Arcane,,,AI_Upyr_Consuming_Meatbag,,false,1000,1,1,0,0,0,15,10,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,1,0,1,0.4,1,,,1,0.1625,0.325,
Beam_Close,Unarmed,0,0,Bullet,Magic,Arcane,true,,,,false,0.2,0.2,0.2,2,2,2,25,25,25,0,1,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0,,1,0,1,1,1,,,1,0.1625,0.325,
Consume_Done,Unarmed,1,0,Bullet,Magic,Arcane,,,,,false,0.2,0.2,0.2,0,0,0,25,25,25,0,5,0,0.8,0,5,0,0.8,0,0.5,0,0.8,0,0,,1,0,1,0.5,1,,,1,0.1625,0.325,true
Consume_Player,Unarmed,0,0,Bullet,Magic,Arcane,,,,,false,0.5,0.5,0.5,4,4,4,25,25,25,0,5,0,0.8,0,5,0,0.8,0,0.5,0,0.8,0,0,,1,0,1,0.5,1,,,1,0.1625,0.325,true
Reaction_Breakout_Attack,Unarmed,0,0,Bullet,Magic,Arcane,,,,,false,0.7,1,1,3,3,3,35,30,35,0,1.5,0,0.8,0,1,0,0.8,0,1.5,0,0.8,0,0.7,,10,0,1,0.7,1,,,1,0.1625,0.325,
Reaction_Breakout,Fall,1,1,Bullet,,Falling,,,,,false,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,1,1,,,,1,0.1625,0.325,
