DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Unblockable,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Swipe,Unarmed,0,0,,Bullet,Light,Slash,false,,,,false,0.3,0.3,0.3,0,0,0,10,10,10,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0.2,1,0.25,1,,,0,0.1625,0.325
Swipe_Double,Unarmed,0,0,,Bullet,Light,Slash,false,,Werewolf_Lord_Bleed,true,false,0.55,0.55,0.55,2,2,2,20,20,20,0,0.75,0,0.8,0,0,0,0.8,0,0.75,0,0.8,0,0.2,,0,0.3,1,0.25,1,,,0,0.1625,0.325
Heavy_Swipe,Unarmed,0,0,,Bullet,Heavy,Slash,false,,Werewolf_Lord_Bleed,true,false,0.5,0.5,0.5,3,3,3,30,25,30,0,1.4,0,0.8,0,0,0,0.8,0,1.4,0,0.8,0,0.15,,0,0.3,1,0.8,1,,,0,0.1625,0.325
Bite,Unarmed,0,0,,Bullet,Heavy,Thrust,false,,"AI_Snare_2sec,Werewolf_Lord_Bleed",true,false,0.5,0.5,0.5,2,2,2,20,25,20,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0.4,,1,0.3,1,0.8,1,,,1,0.1625,0.325
Circle_Slash,Unarmed,0,0,,Bullet,Heavy,Slash,false,,,true,false,0.35,0.35,0.35,2,2,2,20,15,20,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,,1,0.2,1,0.5,1,,,1,0.1625,0.325
Blood_Frenzy_Light,Unarmed,0,0,,Bullet,Light,Slash,false,,,true,false,0.3,0.3,0.3,0,0,0,10,10,10,0,0.5,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0,,1,0.2,1,0.25,1,,,1,0.1625,0.325
Blood_Frenzy_Heavy,Unarmed,0,0,,Bullet,Heavy,Slash,false,,Werewolf_Lord_Bleed,true,false,0.7,0.7,0.7,3,3,3,30,25,30,0,0.5,0,0.8,0,0,0,0.8,0,0.5,0,0.8,0,0,,1,0.4,1,0.4,1,,,1,0.1625,0.325
Darkness,Unarmed,0,0,,Bullet,Light,Slash,false,,,,false,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,,0,0,1,0.15,1,,,0,0.1625,0.325
Fracture,Unarmed,0,0,,Bullet,Light,Thrust,true,,,,false,0.8,0.8,0.8,1,0,0,10,10,10,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0.2,,0,0.5,1,0.5,1,,,0,0.1625,0.325
Pounce,Unarmed,0,0,,Bullet,Heavy,Thrust,true,,,true,false,0.6,0.6,0.6,4,3,3,30,25,30,0,2,0,0.8,0,0.5,0,0.8,0,2,0,0.8,0,1,,0,0.35,1,1.5,1,,,0,0.1625,0.325
Spike,Unarmed,0,0,,Bullet,Heavy,Thrust,false,,Werewolf_Lord_Trial2_Root_2sec,true,false,0.6,0.6,0.6,2,2,2,30,25,30,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0.15,,0,0.35,1,0.8,1,,,0,0.1625,0.325
Deceptive_Strike,Unarmed,0,0,,Bullet,Heavy,Slash,false,,,true,false,0.7,0.7,0.7,2,2,2,30,25,30,0,0.6,0,0.8,0,0,0,0.8,0,0.6,0,0.8,0,1,,0,0.3,1,0.8,1,,,0,0.1625,0.325
Pillar_Knockback,Unarmed,0,0,,Bullet,Heavy,Thrust,true,,,true,false,0,0,0,4,4,4,30,30,30,0,3,0,0.8,0,3,0,0.8,0,2,0,0.8,0,1,,0,0,1,1.5,1,,,0,0.1625,0.325
Rock_Fall_Player,Unarmed,0,0,,Bullet,Heavy,Thrust,true,,,true,false,0.2,0.2,0.2,5,5,5,30,25,30,0,0.5,0,0.8,0,0.5,0,0.8,0,0.5,0,0.8,0,1,,0,0.1,1,1.5,1,,,0,0.1625,0.325
Rock_Fall_Wolf,Unarmed,0,0,,Bullet,Heavy,Thrust,true,,,true,false,0.55,0.55,0.55,5,5,5,30,25,30,0,0.5,0,0.8,0,0.5,0,0.8,0,0.5,0,0.8,0,1,,0,0.4,1,1.5,1,,,0,0.1625,0.325
Rock_Fall_Phase3,Unarmed,0,0,,Bullet,Heavy,Thrust,true,,,true,false,0.2,0.2,0.2,3,3,3,30,25,30,0,0.5,0,0.8,0,0.5,0,0.8,0,0.5,0,0.8,0,1,,0,0.1,1,1.5,1,,,0,0.1625,0.325
Reaction_Breakout_Attack,Unarmed,0,0,,Bullet,Magic,Arcane,,,,,false,0.7,1,1,3,3,3,35,30,35,0,1.5,0,0.8,0,1,0,0.8,0,1.5,0,0.8,0,0.7,,10,0,1,0.7,1,,,1,0.1625,0.325
