EconomyTrackerID,AlarmType,ThresholdConfig1,MetricName1,EnableMetric1,ThresholdConfig2,MetricName2,EnableMetric2
CoinGenerated,PerHour,javelin-server.economy-alarm-generated-coin-threshold-1,GeneratedCoinSuspicious,true,javelin-server.economy-alarm-generated-coin-threshold-2,GeneratedCoinCatastrophic,true
AzothGenerated,PerHour,javelin-server.economy-alarm-generated-azoth-threshold-1,GeneratedAzothSuspicious,true,javelin-server.economy-alarm-generated-azoth-threshold-2,GeneratedAzothCatastrophic,false
XPGenerated,PerHour,,GeneratedXPSuspicious,true,,GeneratedXPCatastrophic,true
ItemsGathered,PerHour,javelin-server.economy-alarm-items-gathered-threshold-1,ItemsGatheredSuspicious,true,javelin-server.economy-alarm-items-gathered-threshold-2,ItemsGatheredCatastrophic,true
ItemsCrafted,PerHour,javelin-server.economy-alarm-items-crafted-threshold-1,ItemsCraftedSuspicious,false,javelin-server.economy-alarm-items-crafted-threshold-2,ItemsCraftedCatastrophic,false
ItemsLooted,PerHour,javelin-server.economy-alarm-items-looted-threshold-1,ItemsLootedSuspicious,false,javelin-server.economy-alarm-items-looted-threshold-2,ItemsLootedCatastrophic,false
ItemsRefined,PerHour,javelin-server.economy-alarm-items-refined-threshold-1,ItemsRefinedSuspicious,false,javelin-server.economy-alarm-items-refined-threshold-2,ItemsRefinedCatastrophic,false
CoinTransferred,OneTime,javelin-server.economy-alarm-coin-transferred-threshold-1,CoinTransferredSuspicious,true,,,
AILooted,PerHour,javelin-server.economy-alarm-ai-looted-threshold-1,AILootedSuspicious,false,,,
ChestsLooted,PerHour,javelin-server.economy-alarm-chests-looted-threshold-1,ChestsLootedSuspicious,false,,,
PlayTimeForLevel,OneTime,,PlayTimeForLevelSuspicious,true,,PlayTimeForLevelCatastrophic,true
BotFishingAtLowLevel,PerHour,javelin-server.economy-alarm-bot-fishing-low-level-1,BotFishingAtLowLevelSuspicious,true,,,
BotFishingWithoutBait,PerHour,javelin-server.economy-alarm-bot-fishing-no-bait-1,BotFishingWithoutBaitSuspicious,true,,,
BotFishingWithLowHours,PerHour,javelin-server.economy-alarm-bot-fishing-low-hours-1,BotFishingWithLowHoursSuspicious,true,,,
BotFishingNonPvpFlagged,PerHour,javelin-server.economy-alarm-bot-fishing-no-pvp-1,BotFishingNonPvpFlaggedSuspicious,true,,,
GoldPerHourCounter,PerHour,,GoldPerHourCounterSuspicious,true,,,
IsGoldSeller,OneTime,,IsGoldSeller,true,,,
IsSuspectedGoldSeller,OneTime,,IsSuspectedGoldSeller,true,,,
IsBot,OneTime,,IsBot,true,,,
IsSuspectedBot,OneTime,,IsSuspectedBot,true,,,
