Level Number,XPToLevel,XPAlarmThreshold1,XPAlarmThreshold2,PlayTimeAlarmThresholdMins1,PlayTimeAlarmThresholdMins2,AttributePoints,Health,TradeSkillPoints,AttributeRespecCost,CanFreeAttributeRespec,LootTagValue,DefStandard,DefSlash,DefStrike,DefMagic,DefFire,DefLightning,DefCorruption,ResFrost,ResPoison,ResBleed,ResDisease,ResCurse,RecipeLevel,RollBonus,MinGearScoreBonus,MaxGearScoreBonus,RespawnCooldownMod,EffectId,BlueprintId,IsMilestone,Tooltip,MaxEquippableGearScore,IgnoreItemRarity,LootBiasingChance,BindOnPickupChance,GSLimitT1,GSLimitT2,GSLimitT3,GSLimitT4,GSLimitT5,GSBonusCritter,GSBonusSolo,GSBonusSolo-,GSBonusSolo+,GSBonusGroup,GSBonusGroup-,GSBonusGroup+,GSBonusBoss,HouseTrophySlots
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CampRegenL0,CampT1,,,100,false,0.05,0,100-100,100-100,100-100,100-100,100-100,,,,,,,,,2
1,150,0,0,0,0,2,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,CampRegenL0,CampT1,false,,100,false,0.05,0,100-100,100-100,100-100,100-100,100-100,,,,,,,,,2
2,480,0,0,0,0,2,100,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,CampRegenL0,CampT1,false,,100,false,0.05,0,100-100,100-100,100-100,100-100,100-100,,,,,,,,,2
3,1080,0,0,0,0,2,150,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,CampRegenL0,CampT1,false,,100,false,0.05,0,100-100,100-100,100-100,100-100,100-100,,,,,,,,,2
4,1970,0,0,0,0,2,200,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,CampRegenL0,CampT1,false,,100,false,0.05,0,100-100,100-100,100-100,100-100,100-100,,,,,,,,,2
5,3070,0,0,0,0,2,250,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,CampRegenL0,CampT1,false,,100,false,0.05,0,100-100,100-100,100-100,100-100,100-100,,,,,,,,,2
6,4380,0,0,0,0,2,300,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,CampRegenL0,CampT1,false,,100,false,0.05,0,100-100,100-100,100-100,100-100,100-100,,,,,,,,,2
7,6190,0,0,0,0,2,350,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,CampRegenL0,CampT1,false,,100,false,0.05,0,100-100,100-100,100-100,100-100,100-100,,,,,,,,,2
8,8510,0,0,0,0,2,400,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,CampRegenL0,CampT1,false,,100,false,0.05,0,100-100,100-100,100-100,100-100,100-100,,,,,,,,,2
9,11280,0,0,0,0,2,450,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,CampRegenL0,CampT1,false,,100,false,0.05,0,100-100,100-100,100-100,100-100,100-100,,,,,,,,,2
10,13620,0,0,0,0,2,500,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,CampRegenL0,CampT1,false,,110,false,0.1,0,100-120,100-120,100-120,100-120,100-120,,,,,,,,,2
11,17740,0,0,0,0,2,550,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,CampRegenL0,CampT1,false,,120,false,0.1,0,110-130,110-130,110-130,110-130,110-130,,,,,,,,,2
12,22940,0,0,0,0,2,600,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,CampRegenL0,CampT1,false,,130,false,0.1,0,120-140,120-140,120-140,120-140,120-140,,,,,,,,,2
13,28230,0,0,0,0,3,650,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,CampRegenL0,CampT1,false,,140,false,0.1,0,130-150,130-150,130-150,130-150,130-150,,,,,,,,,2
14,34510,0,0,0,0,3,700,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,CampRegenL0,CampT2,false,,150,false,0.1,0,140-160,140-160,140-160,140-160,140-160,,,,,,,,,2
15,41940,0,0,0,0,3,750,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,CampRegenL0,CampT2,false,,160,false,0.15,0,150-170,150-170,150-170,150-170,150-170,,,,,,,,,2
16,50900,0,0,0,0,3,800,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,CampRegenL0,CampT2,false,,170,false,0.15,0,160-180,160-180,160-180,160-180,160-180,,,,,,,,,2
17,61400,0,0,0,0,3,850,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,CampRegenL0,CampT2,false,,180,false,0.15,0,170-190,170-190,170-190,170-190,170-190,,,,,,,,,2
18,72320,0,0,0,0,3,900,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,CampRegenL0,CampT2,false,,190,false,0.15,0,180-195,180-200,180-200,180-200,180-200,,,,,,,,,2
