Id,CastDistanceRange,FishRarityRollModifier,FishSizeRollModifier,SummerFishRarityRollModifier,FishReelTimeSeconds,LineTensionGainPerSecond,LineTensionRecoverPerSecond
2hFishingPoleT1,5-12,0,0,0,8,12.5,27.5
2hFishingPoleT2,5-14,0.25,0,0,8,12.5,30
2hFishingPoleT3,5-16,0.75,0,0,8,12.5,33.5
2hFishingPoleT4,5-18,1,0,0,8,12.5,39
2hFishingPoleT5,5-20,1.25,0,0,8,12.5,47
2hFishingPole_Ancient,5-20,1.25,0,0,8,12.5,47
2hFishingPole_AngryEarth,5-20,1.25,0,0,8,12.5,47
2hFishingPole_Corrupted,5-20,1.25,0,0,8,12.5,47
2hFishingPole_Lost,5-20,1.25,0,0,8,12.5,47
2hFishingPole_LegendaryAzoth,5-20,1.25,0,0,8,12.5,47
2hFishingPole_LegendaryStrength,5-20,1.25,0,0,8,12.5,47
2hFishingPole_LegendaryTech,5-20,1.25,0,0,8,12.5,47
Omega_FishingPole_T5,5-20,1.25,0,0,8,12.5,47
2hSummerFishingPoleT2,5-14,0.25,0,0.2,8,12.5,30
2hSummerFishingPoleT3,5-16,0.75,0,0.5,8,12.5,33.5
2hSummerFishingPoleT4,5-18,1,0,0.75,8,12.5,39
2hSummerCommemorativeFishingPoleT5,5-20,1.25,0,1,8,12.5,47
QuestReward_MSQ2_2hFishingPole_Yonas,5-16,0.75,0,0,8,12.5,33.5
Marauder_2hFishingPoleT3,5-16,0.75,0,0,8,12.5,33.5
Syndicate_2hFishingPoleT3,5-16,0.75,0,0,8,12.5,33.5
Covenant_2hFishingPoleT3,5-16,0.75,0,0,8,12.5,33.5
Artisan_FishingPoleT5,5-20,1.25,0,0,8,12.5,47
2hFishingPoleT52,5-20,1.25,0,0,8,12.5,47
