EventID,GameEventType,Level,CreatureType,RewardModifier,Reward Type,UniversalExpAmount,CurrencyReward,RewardsNotes,ItemReward,ItemRewardQty,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,AzothReward,AzothRewardChance,WhisperID,AchievementId,IgnoreEconomyTracker,EntitlementId,PVPXP,RemoveStatusEffectCategories,EmitTelemetry
02A_Side01_ReapersLocus_success,,25,Quest+,,,4290,9625,,QuestReward_MSQ2_BW_Herbalist,,,,,,,,,,20,1,,,,,,,true
02A_Side02_01_Secrets_success,,25,Quest,,,3430,6875,,QuestRewardArmorCase3,,,,,,,,,,10,1,,,,,,,true
02A_Side02_02_EarthProvide_success,,25,Quest,,,3430,6875,,QuestRewardWeaponCase3,,,,,,,,,,10,1,,,,,,,true
02A_Side03_01_Infernal_success,,25,Quest,,,3430,6875,,HeavyChest_Corrupted1T3,,,,,,,,,,10,1,,,,,,,true
02A_Side03_02_Belly_success,,25,Quest,,,3430,6875,,QuestReward_MB_Ingredients,,,,,,,,,,10,1,,,,,,,true
02A_Side04_01_Location_success,,25,Quest,,,3430,6875,,QuestRewardDye,,,,,,,,,,10,1,,,,,,,true
02A_Side04_02_Reflection_success,,25,Quest,,,3430,6875,,QuestRewardDye,,,,,,,,,,10,1,,,,,,,true
02A_Side04_03_Masterpiece_success,,25,Quest,,,3430,6875,,house_housingitem_settler_decor_painting02,,,,,,,,,,10,1,,,,,,,true
02A_Side05_01_Tea_success,,25,Quest,,,3430,6875,,QuestRewardWeaponCase3,,,,,,,,,,10,1,,,,,,,true
02A_Side05_02_Achene_success,,25,Quest,,,3430,6875,,2hSpearAngryEarthT3,,,,,,,,,,10,1,,,,,,,true
02A_Side06_01_Bears_success,,25,Quest,,,3430,6875,,MediumChest_FurDropT3,,,,,,,,,,10,1,,,,,,,true
02A_Side06_02_PapaBear_success,,25,Quest,,,3430,6875,,2hGreatAxeDropT3,,,,,,,,,,10,1,,,,,,,true
02A_Side07_01_Memories_success,,25,Quest,,,3430,6875,,QuestRewardArmorCase2,,,,,,,,,,10,1,,,,,,,true
02A_Side07_02_Death_success,,25,Quest+,,,4290,9625,,QuestReward_SQ2_BW_Blunderbuss,,,,,,,,,,20,1,,,,,,,true
02A_Side08_01_Treasures_success,,25,Quest,,,3430,6875,,QuestRewardWeaponCase2,,,,,,,,,,10,1,,,,,,,true
02A_Side08_02_LostReturned_success,,25,Quest,,,3430,6875,,QuestRewardArmorCase3,,,,,,,,,,10,1,,,,,,,true
02A_Side08_03_Music_success,,25,Quest,,,3430,6875,,QuestRewardWeaponCase3,,,,,,,,,,10,1,,,,,,,true
02A_Side08_04_Legacy_success,,25,Quest,,,3430,6875,,2hBowLostT4,,,,,,,,,,10,1,,,,,,,true
02A_Side08_05_Reunion_success,,25,Quest,,,3430,6875,,1hRoundShieldLostT3,,,,,,,,,,10,1,,,,,,,true
02A_Side08_06_Heart_success,,25,Quest+,,,4290,9625,,QuestReward_SQ2_BW_Bow,,,,,,,,,,20,1,,,,,,,true
IO_02A_Side08_CoffinA_interact,,0,Quest,,,0,0,,,,,,,,,,,,0,,,,,,,,true
IO_02A_Side08_CoffinB_interact,,0,Quest,,,0,0,,,,,,,,,,,,0,,,,,,,,true
IO_02A_Side08_CoffinC_interact,,0,Quest,,,0,0,,,,,,,,,,,,0,,,,,,,,true
IO_02A_Side08_CoffinD_interact,,0,Quest,,,0,0,,,,,,,,,,,,0,,,,,,,,true
