EventID,GameEventType,Level,CreatureType,RewardModifier,UniversalExpAmount,CurrencyReward,ItemReward,RewardNotes,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance
0312_0101_shadowscastfinalsalute_success,,41,Quest,Weapons,2930,8875,QuestRewardWeaponsL41,,,,,,,,,,true,10,1
0316_0101_maliceaforethought_success,,41,Quest+,Armor,3660,12425,QuestRewardArmorL41,,,,,,,,,,true,20,1
0313_0101_descentfrostedslumber_success,,42,Quest,Weapons,2990,9000,QuestRewardWeaponsL42,,,,,,,,,,true,10,1
0312_0201_allnottornasunder_success,,42,Quest,Armor,2990,9000,QuestRewardArmorL42,,,,,,,,,,true,10,1
0318_0101_facetslightdarkness_success,,42,Quest,Armor,2990,9000,QuestRewardArmorL42,,,,,,,,,,true,10,1
0313_0102_transmuteirontodust_success,,43,Quest,Weapons,3050,9125,QuestRewardWeaponsL43,,,,,,,,,,true,10,1
0313_0201_redefiningboundaries_success,,45,Quest+,Armor,3960,13125,QuestRewardArmorL45,,,,,,,,,,true,20,1
0316_0201_tiesthatblind_success,,45,Quest+,,3960,13125,LightChest_GreatCleaveT5,,,,,,,,,,true,20,1
0317_0101_forarainyday_success,,45,Quest+,Weapons,3960,13125,QuestRewardWeaponsL45,,,,,,,,,,true,20,1
0315_0101_aburningquestion_success,,46,Quest,Armor,3230,9500,QuestRewardArmorL46,,,,,,,,,,true,10,1
0314_0101_blessingsofthefallen_success,,47,Quest+,Armor,4110,13475,QuestRewardArmorL47,,,,,,,,,,true,20,1
0319_0101_rainbowheartshadowintent_success,,48,Quest+,,4190,13650,1hThrowingAxeGreatCleaveT5,,,,,,,,,,true,20,1
0315_0102_twistedmetamorphosis_success,,49,Quest,Weapons,3410,9875,QuestRewardWeaponsL49,,,,,,,,,,true,10,1
0314_0102_thebestofus_success,,50,Quest,,3470,10000,EarringGreatCleaveT5,,,,,,,,,,true,10,1
0317_0201_windingmtnpath_success,,50,Quest-,Armor,2600,4000,QuestRewardArmorL50,,,,,,,,,,true,5,1
0319_0501_PrimeResolve_Success,,65,Quest+,,6570,16625,2hStaffFire_PrimeResolveT5,,,,,,,,,,true,30,1
