EventID,GameEventType,Level,CreatureType,UniversalExpAmount,CurrencyReward,ItemReward,RewardNotes,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance,IgnoreEconomyTracker
0401_0101_culldrowned_success,,1,Quest,200,97,Legs_DuelistT2,,120,,,,,,,,true,0,1,
0401_0102_campandtools_success,,2,Quest-,170,40,,,,,,,,,,,true,0,1,
0401_0103_boarproblem_success,,3,Quest-,180,41,QuestRewardArmor_StarterChest,,,,,,,,,,true,0,1,
0401_0104_xmarksthespot_p1_success,,4,Quest+,330,149,2hBowT2,,120,,,,,,,,true,0,1,
0401_0107_preciouscargo_success,,5,Quest+,875,153,,,,,,,,,,,true,0,1,
0401_0108_introtosettlement_success,,5,Quest,280,438,,,,,,175,,,,,true,0,1,
0425_0101_truffles_success,,5,Quest,280,438,QuestRewardArmorL5,,,,,175,,,,,true,0,2,
0401_0108_warnmagistrate_success,,5,Quest-,210,175,Head_DuelistT2,,125,,,100,,,,,true,0,1,
0406_0103_hearthandhome_success,,5,Quest-,210,175,1hHatchetT1,,100,,,100,,,,,true,0,1,
0406_0101_intrototrader_success,,5,Quest-,210,175,,,,,,100,,,,,true,0,1,
0403_0102_introtooverseer_success,,5,Quest-,210,175,1hPickT1,,100,,,100,,,,,true,0,1,
0404_0104_overseersettlement_success,,6,Quest+,760,630,QuestRewardArmorL6,,150,,,250,,,,,true,0,1,
0404_0103_introtoartificer_success,,6,Quest-,230,180,,,,,,100,,,,,true,0,1,
0405_0101_craftforartificer_success,,6,Quest-,230,180,QuestRewardArmorL6,,155,,,100,,,,,true,0,1,
0405_0102_campingunlock_success,,6,Quest-,230,180,,,,Camping,1,100,,,,,true,0,1,
0403_0201_survivalistquest_success,,7,Quest+,400,648,1hLongsword_QuestL5,,155,,,250,,,,,true,0,1,
0403_0201_survivalistquest_V2_success,,7,Quest+,400,648,1hLongsword_QuestL5,,155,,,250,,,,,true,0,1,
0403_0102_returntomagistrate_success,,7,Quest-,240,185,,,,,,100,,,,,true,0,1,
0402_0202_introtoallfactions_success,,7,Quest-,240,185,,,,,,100,,,,,true,0,1,
