EventID,GameEventType,Level,CreatureType,RewardModifier,UniversalExpAmount,CurrencyReward,ItemReward,RewardsNotes,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance,WhisperID
95_s01_01_CROW_GracelessRequest_success,,60,Quest,Weapons,7500,11250,,"starting the silver crows merc group w grace, fairly easy clear out corrupted AI task - starting a new group together so maybe a group buff item?",,,,0,,,,,true,15,1,
95_s01_02_TEMP_FirstCustomer_success,,60,Quest,Armor,7500,11250,,meeting customer Celtic warrior Skye and fighting off some Flame Varangians - maybe Flame Varangian or Celtic item?,,,,0,,,,,true,15,1,
95_s01_02a_TEMP_TheCurse_success,,60,Quest,Armor,7500,11250,,essentially kill 20 flame varangians and destroy their necklaces back at the camp - bone materials? Just gold?,,,,0,,,,,true,15,1,
95_s01_03_CROW_BestOfAeternum_success,,60,Quest-,Armor,5630,4500,,posting flyers and having interviews to join the mercenary group (mini cutscene) - gold no item needed,,,,0,,,,,true,7.5,1,
95_s01_04_CROW_ZanderTheRed_success,,60,Quest,Weapons,7500,11250,,"meet zander, get recipe from healer, craft potions, return to zander - weapon? Maybe themed on zander- brawler thing? He doesn't use it anymore prefers his fists",,,,0,,,,,true,15,1,
95_s01_05_CROW_CanonAndCoin_success,,60,Quest+,Weapons,9380,15750,,healing staff? Related to going against human corruption or something about greed- maybe a life staff primary and jewelry item as well as extra reward if you catch him (church associated?) - this is a big moment for the new team so could be a silver crow specific item,,,,0,,,,,true,30,1,
95_s01_06_TEMP_SupplyChains_success,,60,Quest,Armor,7500,11250,,"intercept a varangian caravan, fight varangians, and get info to start working on faceless' location",,,,0,,,,,true,15,1,
95_s01_07_TEMP_PossibilitiesOfFire_success,,60,Quest,Weapons,7500,11250,,fighting off AE from the camp boundaries,,,,0,,,,,true,15,1,
95_s01_08_TEMP_HotOnTheTrail_success,,60,Quest+,Armor,9380,15750,,"try to rescue Skye's lover Aidyn, but she is turned by Faceless, and you fight/defeat her, Aidyn turns corrupted on death",,,,0,,,,,true,30,1,
95_s01_09_TEMP_Faceless_success,,60,Quest+,Weapons,9380,15750,,final fight with Faceless/ main antagonist,,,,0,,,,,true,30,1,
95_s01_10_TEMP_ToBeContinued_success,,60,Quest-,Armor,5630,4500,Schematic_House_Housingitem_Pirate_Decor_Weaponarrangement01,small task to destroy bone charm for skye and chat to wrap up the season quest,,,,0,,,,,true,7.5,1,
95_s01_X1_EXPD_Empyrean_success,,60,Quest+,Weapons,9380,15750,,quest to Expedition to chase down Loth,,,,0,,,,,true,30,1,
95_s01_X2_EXPD_EmpyreanRepeat_success,,60,Quest-,Armor,5630,4500,,Otmar Winkler's Wonders - he wants to collect a chart of expedition,,,,0,,,,,true,7.5,1,
95_s01_03_Interviews_SE_Interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_04_ZanderDog_SE_Interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_05_PriestStealing_SE_Interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_05_PriestRun1_SE_Interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_05_PriestRun2_SE_Interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_08_AidynPreFight_SE_Interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_08_FacelessPreFight_SE_Interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_01_CorruptedCampSupplies1_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_01_CorruptedCampSupplies2_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_01_CorruptedCampSupplies3_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_01_CorruptedCampSupplies4_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_01_CorruptedCampSupplies5_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_01_CorruptedCampSupplies6_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_01_CorruptedTent_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_01_CrowsNestCampBuild_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_01_SkyeLetter_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_02_SkyeTrail1_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_02_SkyeTrail2_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_02_SkyeTrail3_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_02_BattleSite_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_02_AidynTrail1_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_02_AidynTrail2_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_02_CliffEdge_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_02_AidynTrail3_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_02_AidynBrooch_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_02a_BoneCharmTable_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_09_BoneCharmTable_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_03_HeroesPoster1_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_03_HeroesPoster2_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_03_HeroesPoster3_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_05_BWFakeFundsCabinet_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_05_ChurchFundCabinet_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_06_CageUnlock_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_06_TEMP_SupplyChain_Rescue1_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_06_TEMP_SupplyChain_Rescue2_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_06_FootprintTrail_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_06_FrankTrail1_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_06_FrankTrail2_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_06_FrankTrailEnd_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
Dungeon_GreatCleave_01_GemGather_interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_01_CROW_GracelessRequest_Interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_01_CROW_GracelessRequest_WaveComplete,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_02_TEMP_FirstCustomer_Interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_02_TEMP_FirstCustomer_WaveComplete,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_07_TEMP_PossibilitiesOfFire_Interact,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
95_s01_07_TEMP_PossibilitiesOfFire_WaveComplete,,0,Quest,0,0,0,,,,,,0,,,,,true,0,0,
