EventID,GameEventType,Level,CreatureType,RewardModifier,Reward Type,UniversalExpAmount,CurrencyReward,RewardsNotes,ItemReward,ItemRewardQty,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,AzothReward,AzothRewardChance,WhisperID,AchievementId,IgnoreEconomyTracker,EntitlementId,PVPXP,RemoveStatusEffectCategories,EmitTelemetry
99C_MSQ_01_Periville_success,,35,MSQ+,,,11000,9750,,QuestReward_WF_Spear,,,,,250,,,,,20,1,,,,,,,true
99C_MSQ_02_Karburg_success,,36,MSQ,,,12000,6600,,CRX_QuestReward_WF_MSQ_VoidGauntlet,,,,,250,,,,,10,1,,,,,,,true
99C_MSQ_03_AncientBridge_success,,36,MSQ+,,,12000,9900,,QuestReward_WF_Longsword,,,,,175,,,,,20,1,,,,,,,true
99C_MSQ_04_Settlement01_success,,36,MSQ-,,,13000,1650,,House_HousingItem_Settler_Decor_Desk_ClothArrangement01,,,,,250,,,,,5,1,,,,,,,true
99C_MSQ_05_FindMorgaine_success,,36,MSQ+,,,13000,9900,,QuestReward_WF_Greataxe,,,,,100,,,,,20,1,,,,,,,true
99C_MSQ_06_WitchMagic_success,,37,MSQ,,,14000,6700,,QuestReward_WF_Ring,,,,,250,,,,,10,1,,,,,,,true
99C_MSQ_07_DestroyBarrier_success,,37,MSQ-,,,14000,1675,,House_HousingItem_Writing_OpenBook,,,,,175,,,,,5,1,,,,,,,true
99C_MSQ_08_Settlement02_success,,37,MSQ-,,,15000,1675,,foodcont4,5,,,,100,,,,,5,1,,,,,,,true
99C_MSQ_09_Canopus_success,,38,MSQ,,,15000,6800,,CRX_QuestReward_WF_MSQ_Rapier,,,,,100,,,,,10,1,,,,,,,true
99C_MSQ_10_Andrometus_success,,39,MSQ+,,,15000,10350,,QuestReward_WF_BOW,,,,,175,,,,,20,1,,,,,,,true
99C_MSQ_11_Lepus_success,,39,MSQ,,,15000,6900,,TinctureBlightT5,5,,,,250,,,,,10,1,,,,,,,true
99C_MSQ_12_Vector_success,,40,MSQ-,,,15000,1750,,Darkness_AzothStaff_T3,,,AzothStaff,1,175,,,,,5,1,,,,,,,true
IO_99C_MSQ2_WitchyGlyph_interact,,0,Quest,,,0,0,,,,,,,,,,,,0,,,,,,,,true
IO_99C_MSQ2_RitualObject_interact,,0,Quest,,,0,0,,,,,,,,,,,,0,,,,,,,,true
IO_99C_MSQ2_RitualObject2_interact,,0,Quest,,,0,0,,,,,,,,,,,,0,,,,,,,,true
IO_99C_MSQ2_RitualObject3_interact,,0,Quest,,,0,0,,,,,,,,,,,,0,,,,,,,,true
IO_99C_MSQ2_GlowingMushroom_interact,,0,Quest,,,0,0,,,,,,,,,,,,0,,,,,,,,true
IO_99C_MSQ2_ShakingCoffinA_interact,,0,Quest,,,0,0,,,,,,,,,,,,0,,,,,,,,true
IO_99C_MSQ2_ShakingCoffinB_interact,,0,Quest,,,0,0,,,,,,,,,,,,0,,,,,,,,true
IO_99C_MSQ2_ShakingCoffinC_interact,,0,Quest,,,0,0,,,,,,,,,,,,0,,,,,,,,true
IO_99C_MSQ2_CorpseTorchA_interact,,0,Quest,,,0,0,,,,,,,,,,,,0,,,,,,,,true
IO_99C_MSQ2_CorpseTorchB_interact,,0,Quest,,,0,0,,,,,,,,,,,,0,,,,,,,,true
