EventID,GameEventType,Level,CreatureType,RewardModifier,RewardType,UniversalExpAmount,CurrencyReward,RewardsNotes,ItemReward,ItemRewardQty,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,AzothReward,AzothRewardChance,WhisperID,AchievementId,IgnoreEconomyTracker,EntitlementId,PVPXP,RemoveStatusEffectCategories,EmitTelemetry
99E_MSQ_01_EnterEdengrove_success,,50,MSQ,,,5750,8000,,QuestReward_MSQ2EG_OleSmokey,,,,,,,,,,10,1,,,,,,,true
99E_MSQ_02_MyrddinClues_success,,51,MSQ,,,5850,8100,,QuestReward_MSQ2EG_WizardHat,,,,,,,,,,10,1,,,,,,,true
99E_MSQ_03_CollectSamples_success,,52,MSQ,,,5930,8200,,QuestReward_MSQ2EG_Container01,,,,,,,,,,10,1,,,,,,,true
99E_MSQ_04_MotherwellClues_success,,53,MSQ,,,6000,8300,,QuestReward_MSQ2EG_Container02,,,,,,,,,,10,1,,,,,,,true
99E_MSQ_05_UnlockPrison_success,,54,MSQ,,,6050,8400,,QuestReward_MSQ2EG_SorceressAmulet,,,,,,,,,,10,1,,,,,,,true
99E_MSQ_06_MyrddinsPrison_success,,54,MSQ,,,6050,8400,,QuestReward_MSQ2EG_KnightRing,,,,,,,,,,10,1,,,,,,,true
99E_MSQ_07_RetrieveHeadpiece_success,,55,MSQ,,,6100,8500,,QuestReward_MSQ2EG_Greatpick,,,,,,,,,,15,1,,,,,,,true
99E_MSQ_08_AdianaPermission_success,,56,MSQ,,,6180,8600,,QuestReward_MSQ2EG_Container03,,,,,,,,,,15,1,,,,,,,true
99E_MSQ_09_TheMotherwell_success,,57,MSQ,,,6250,8700,,Darkness_AzothStaff_T4,,,AzothStaff,1,,,,,,15,1,,,,,,,true
99E_MSQ_09_TheMotherwell_alt_success,,57,MSQ,,,6250,8700,,GypsumOrb,,,,,,,,,,15,1,,,,,,,true
99E_MSQ_10_ToCaerDun_success,,57,MSQ,,,6250,8700,,QuestReward_MSQ2EG_LegendsHatchet,,,,,,,,,,15,1,,,,,,,true
99E_MSQ_11_ShatteredVector_success,,57,MSQ,,,6250,8700,,QuestReward_MSQ2EG_HeavyFeet_Showshoes,,,,,,,,,,15,1,,,,,,,true
99E_MSQ_01_IGC_EdengroveStory_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_Dam_World_Vines_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ_01_Obs_AncientMuralA_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ_01_Obs_AncientMuralB_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ_01_Obs_AncientMuralC_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ_01_Dam_MuralVinesA_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ_01_Dam_MuralVinesB_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ_01_Cyclic_AncientTumblerA_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ_01_Cyclic_AncientTumblerB_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ_01_Cyclic_AncientTumblerC_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ_01_Prox_MuralBreadcrumbsA_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ_01_Prox_MuralBreadcrumbsB_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ_01_Prox_MuralBreadcrumbsC_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ_01_Prox_MuralBreadcrumbsD_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ_01_Prox_MuralBreadcrumbsE_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ_01_Prox_MuralBreadcrumbsF_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ_01_Cine_AncientMural_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ_02_MyrddinCrystalsA_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ_02_MyrddinCrystalsB_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ2_Spinning_Rings_01_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
99E_MSQ2_Spinning_Rings_02_interact,,0,Quest,,,0,0,,,,,,,0,,,,,0,0,,,,,,,true
